Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
88,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20,12,8,762,8.5,1,1,2,1,0.12,0.12,0.12,0.18,0.30,0.12,0.30
89,Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,36,31,2647,29.4,11,8,19,9,0.37,0.27,0.44,0.22,0.66,0.39,0.61
90,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,19,14,1152,12.8,0,0,0,0,0.00,0.00,0.02,0.01,0.03,0.02,0.03
91,Skelly Alvero,FRA,MF,Lyon,Ligue 1,21,8,6,426,4.7,1,0,1,1,0.21,0.00,0.09,0.00,0.09,0.09,0.09
92,Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,21,6,1,123,1.4,1,0,1,1,0.73,0.00,0.24,0.03,0.27,0.24,0.27
93,Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,16,9,889,9.9,2,1,3,2,0.20,0.10,0.26,0.09,0.35,0.26,0.35
94,Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,20,7,604,6.7,0,1,1,0,0.00,0.15,0.06,0.05,0.11,0.06,0.11
95,Amath,SEN,"FW,MF",Mallorca,La Liga,27,15,3,394,4.4,0,0,0,0,0.00,0.00,0.35,0.09,0.44,0.35,0.44
96,Lorenzo Amatucci,ITA,MF,Fiorentina,Serie A,19,2,0,22,0.2,0,0,0,0,0.00,0.00,0.04,0.00,0.04,0.04,0.04
97,Jordan Amavi,FRA,DF,Brest,Ligue 1,29,2,1,91,1.0,1,0,1,1,0.99,0.00,0.10,0.00,0.10,0.10,0.10
98,Zeki Amdouni,SUI,FW,Burnley,Premier League,22,34,27,1953,21.7,5,1,6,4,0.23,0.05,0.27,0.07,0.33,0.23,0.30
99,Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,12,11,798,8.9,0,1,1,0,0.00,0.11,0.01,0.07,0.07,0.01,0.07
100,Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,10,7,579,6.4,0,0,0,0,0.00,0.00,0.05,0.01,0.05,0.05,0.05
101,Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,27,16,10,997,11.1,3,2,5,3,0.27,0.18,0.07,0.11,0.18,0.07,0.18
102,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26,15,15,1315,14.6,1,4,5,1,0.07,0.27,0.15,0.30,0.45,0.10,0.39
103,Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,26,8,1,86,1.0,0,0,0,0,0.00,0.00,0.13,0.03,0.16,0.13,0.16
104,Kofi Amoako,GER,MF,Wolfsburg,Bundesliga,18,2,0,2,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,Premier League,26,21,10,938,10.4,0,0,0,0,0.00,0.00,0.01,0.03,0.04,0.01,0.04
106,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27,38,38,3415,37.9,2,3,5,2,0.05,0.08,0.04,0.07,0.12,0.04,0.12
107,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,20,21,10,1027,11.4,0,2,2,0,0.00,0.18,0.13,0.17,0.30,0.13,0.30
108,Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,38,33,2770,30.8,5,6,11,5,0.16,0.19,0.14,0.21,0.35,0.14,0.35
109,Benjamin André,FRA,MF,Lille,Ligue 1,32,30,29,2570,28.6,4,0,4,4,0.14,0.00,0.09,0.05,0.14,0.09,0.14
110,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,7,1,169,1.9,0,0,0,0,0.00,0.00,0.03,0.10,0.12,0.03,0.12
111,Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,28,28,18,1690,18.8,4,2,6,4,0.21,0.11,0.09,0.10,0.19,0.09,0.19
112,Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25,19,17,1560,17.3,1,0,1,1,0.06,0.00,0.05,0.00,0.05,0.05,0.05
113,Angeliño,ESP,DF,Roma,Serie A,26,16,14,1141,12.7,0,1,1,0,0.00,0.08,0.01,0.12,0.14,0.01,0.14
114,Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,11,2,164,1.8,0,0,0,0,0.00,0.00,0.00,0.73,0.73,0.00,0.73
115,Jaidon Anthony,ENG,FW,Bournemouth,Premier League,23,3,2,152,1.7,0,0,0,0,0.00,0.00,0.04,0.00,0.04,0.04,0.04
116,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,27,33,32,2886,32.1,0,3,3,0,0.00,0.09,0.05,0.03,0.09,0.05,0.09
117,Michail Antonio,JAM,FW,West Ham,Premier League,33,26,21,1695,18.8,6,2,8,6,0.32,0.11,0.31,0.05,0.35,0.31,0.35
118,Antony,BRA,FW,Manchester Utd,Premier League,23,29,15,1324,14.7,1,1,2,1,0.07,0.07,0.23,0.19,0.42,0.23,0.42
