Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
569,Nikita Contini Baranovsky,ITA,GK,Napoli,Serie A,27,1,0,17,0.2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
570,Lewis Cook,ENG,MF,Bournemouth,Premier League,26,33,32,2786,31.0,0,3,3,0,0.00,0.10,0.01,0.14,0.15,0.01,0.15
571,Copete,ESP,DF,Mallorca,La Liga,23,19,17,1333,14.8,1,1,2,1,0.07,0.07,0.04,0.05,0.09,0.04,0.09
572,Diego Coppola,ITA,DF,Hellas Verona,Serie A,19,24,18,1634,18.2,2,0,2,2,0.11,0.00,0.07,0.01,0.08,0.07,0.08
573,Francis Coquelin,FRA,MF,Villarreal,La Liga,32,17,10,910,10.1,0,0,0,0,0.00,0.00,0.01,0.01,0.02,0.01,0.02
574,Tommaso Corazza,ITA,DF,Bologna,Serie A,19,9,1,195,2.2,0,0,0,0,0.00,0.00,0.04,0.03,0.07,0.04,0.07
575,Theo Corbeanu,CAN,"MF,FW",Granada,La Liga,21,9,2,182,2.0,1,0,1,1,0.49,0.00,0.14,0.00,0.14,0.14,0.14
576,Jeppe Corfitzen,DEN,FW,Lecce,Serie A,18,1,0,9,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
577,Jack Cork,ENG,MF,Burnley,Premier League,34,4,0,27,0.3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
578,Maxwel Cornet,CIV,"MF,FW",West Ham,Premier League,26,7,1,112,1.2,1,0,1,1,0.80,0.00,0.32,0.13,0.46,0.32,0.46
579,Giacomo Corona,ITA,FW,Empoli,Serie A,19,1,0,5,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
580,Jesús Corona,MEX,"MF,DF",Sevilla,La Liga,30,2,0,17,0.2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
581,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,28,32,14,1528,17.0,9,2,11,8,0.53,0.12,0.47,0.21,0.68,0.42,0.63
582,Joaquín Correa,ARG,"FW,MF",Marseille,Ligue 1,28,12,6,430,4.8,0,0,0,0,0.00,0.00,0.13,0.16,0.29,0.13,0.29
583,Thierry Correia,POR,DF,Valencia,La Liga,24,31,25,2154,23.9,0,2,2,0,0.00,0.08,0.03,0.09,0.11,0.03,0.11
584,Oscar Cortés,COL,"FW,MF",Lens,Ligue 1,19,4,0,44,0.5,1,1,2,1,2.05,2.05,0.93,1.41,2.35,0.93,2.35
585,Danny da Costa,GER,DF,Mainz 05,Bundesliga,30,19,9,830,9.2,0,1,1,0,0.00,0.11,0.03,0.13,0.16,0.03,0.16
586,David Pereira da Costa,POR,MF,Lens,Ligue 1,22,25,17,1494,16.6,4,2,6,4,0.24,0.12,0.18,0.21,0.39,0.18,0.39
587,Jaume Costa,ESP,DF,Mallorca,La Liga,35,30,19,1682,18.7,0,1,1,0,0.00,0.05,0.02,0.06,0.08,0.02,0.08
588,João Costa,BRA,"MF,FW",Roma,Serie A,18,3,0,14,0.2,0,0,0,0,0.00,0.00,0.00,0.20,0.20,0.00,0.20
589,Logan Costa,CPV,DF,Toulouse,Ligue 1,22,31,29,2650,29.4,1,1,2,1,0.03,0.03,0.05,0.02,0.07,0.05,0.07
590,Samu Costa,POR,MF,Mallorca,La Liga,22,34,26,2303,25.6,1,1,2,1,0.04,0.04,0.04,0.02,0.06,0.04,0.06
591,Benoît Costil,FRA,GK,Salernitana,Serie A,36,13,13,1170,13.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
592,Grégoire Coudert,FRA,GK,Brest,Ligue 1,24,3,2,181,2.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
593,Vladimír Coufal,CZE,DF,West Ham,Premier League,30,36,36,3132,34.8,0,7,7,0,0.00,0.20,0.01,0.11,0.12,0.01,0.12
594,Lassana Coulibaly,MLI,MF,Salernitana,Serie A,27,28,25,2082,23.1,0,1,1,0,0.00,0.04,0.03,0.04,0.06,0.03,0.06
595,Mamadou Coulibaly,SEN,DF,Salernitana,Serie A,24,1,0,3,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
596,Mamadou Coulibaly,FRA,MF,Monaco,Ligue 1,19,5,1,118,1.3,0,0,0,0,0.00,0.00,0.13,0.04,0.18,0.13,0.18
597,Tanguy Coulibaly,FRA,"FW,MF",Montpellier,Ligue 1,22,16,7,623,6.9,1,0,1,1,0.14,0.00,0.37,0.11,0.48,0.37,0.48
598,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,31,4,4,332,3.7,0,0,0,0,0.00,0.00,0.00,0.03,0.03,0.00,0.03
599,Philippe Coutinho,BRA,"MF,FW",Aston Villa,Premier League,31,2,0,25,0.3,0,0,0,0,0.00,0.00,0.52,0.00,0.52,0.52,0.52
600,Yan Couto,BRA,"DF,FW",Girona,La Liga,21,34,24,2245,24.9,1,8,9,1,0.04,0.32,0.06,0.17,0.23,0.06,0.23
601,Nicolas Cozza,FRA,DF,Nantes,Ligue 1,24,13,10,895,9.9,0,0,0,0,0.00,0.00,0.07,0.06,0.13,0.07,0.13
602,Nicolas Cozza,FRA,DF,Wolfsburg,Bundesliga,24,6,3,276,3.1,0,0,0,0,0.00,0.00,0.01,0.03,0.03,0.01,0.03
603,Alessio Cragno,ITA,GK,Sassuolo,Serie A,29,3,3,270,3.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
604,Crespo,POR,MF,Rayo Vallecano,La Liga,26,15,4,527,5.9,0,0,0,0,0.00,0.00,0.02,0.18,0.20,0.02,0.20
605,Aaron Cresswell,ENG,"DF,FW",West Ham,Premier League,33,11,4,436,4.8,0,0,0,0,0.00,0.00,0.00,0.09,0.09,0.00,0.09
606,Bryan Cristante,ITA,"MF,DF",Roma,Serie A,28,37,37,3289,36.5,3,4,7,3,0.08,0.11,0.11,0.08,0.19,0.11,0.19
607,Cristian,ESP,GK,Valencia,La Liga,25,1,0,57,0.6,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
608,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,31,26,18,1667,18.5,0,1,1,0,0.00,0.05,0.00,0.02,0.02,0.00,0.02
609,Juan Cruz,ARG,"FW,MF",Hellas Verona,Serie A,24,4,1,109,1.2,0,0,0,0,0.00,0.00,0.03,0.09,0.12,0.03,0.12
610,Juan Cruz,ESP,FW,Betis,La Liga,23,5,0,76,0.8,0,0,0,0,0.00,0.00,0.09,0.05,0.13,0.09,0.13
611,Juan Cuadrado,COL,DF,Inter,Serie A,35,10,0,267,3.0,0,2,2,0,0.00,0.67,0.06,0.52,0.59,0.06,0.59
612,Pau Cubarsí,ESP,DF,Barcelona,La Liga,16,19,18,1558,17.3,0,0,0,0,0.00,0.00,0.01,0.02,0.03,0.01,0.03
613,Marc Cucurella,ESP,DF,Chelsea,Premier League,25,21,20,1782,19.8,0,2,2,0,0.00,0.10,0.06,0.05,0.11,0.06,0.11
614,Iván Cuéllar,ESP,GK,Mallorca,La Liga,39,1,1,90,1.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
615,Jorge Cuenca,ESP,DF,Villarreal,La Liga,23,29,21,1963,21.8,3,1,4,3,0.14,0.05,0.06,0.01,0.07,0.06,0.07
616,Josh Cullen,IRL,MF,Burnley,Premier League,27,25,23,2057,22.9,2,3,5,2,0.09,0.13,0.03,0.08,0.11,0.03,0.11
617,Matheus Cunha,BRA,"FW,MF",Wolves,Premier League,24,32,29,2440,27.1,12,7,19,11,0.44,0.26,0.35,0.12,0.47,0.32,0.44
618,Marvin Cuni,ALB,FW,Frosinone,Serie A,22,22,6,534,5.9,1,0,1,1,0.17,0.00,0.22,0.05,0.28,0.22,0.28
619,Eric Curbelo,ESP,"DF,MF",Las Palmas,La Liga,29,2,1,102,1.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
620,Sam Curtis,IRL,DF,Sheffield Utd,Premier League,17,1,0,28,0.3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
621,Tomáš Čvančara,CZE,FW,Gladbach,Bundesliga,22,21,7,896,10.0,4,1,5,3,0.40,0.10,0.59,0.07,0.66,0.43,0.51
622,Danilo D'Ambrosio,ITA,DF,Monza,Serie A,34,24,16,1536,17.1,0,0,0,0,0.00,0.00,0.04,0.01,0.05,0.04,0.05
623,Alberto Dadie,ESP,MF,Real Sociedad,La Liga,21,1,0,28,0.3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
624,Trévis Dago,CIV,"FW,MF",Lille,Ligue 1,18,4,0,23,0.3,0,1,1,0,0.00,3.91,0.16,1.63,1.78,0.16,1.78
625,Finn Dahmen,GER,GK,Augsburg,Bundesliga,25,31,31,2790,31.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
626,Mahmoud Dahoud,GER,MF,Brighton,Premier League,27,9,6,452,5.0,0,1,1,0,0.00,0.20,0.04,0.18,0.22,0.04,0.22
627,Mahmoud Dahoud,GER,MF,Stuttgart,Bundesliga,27,13,1,227,2.5,1,0,1,1,0.40,0.00,0.22,0.21,0.43,0.22,0.43
628,Ameen Al-Dakhil,BEL,DF,Burnley,Premier League,21,13,12,1056,11.7,1,0,1,1,0.09,0.00,0.11,0.01,0.12,0.11,0.12
629,Thijs Dallinga,NED,FW,Toulouse,Ligue 1,22,33,28,2510,27.9,14,2,16,13,0.50,0.07,0.51,0.04,0.55,0.42,0.47
630,Diogo Dalot,POR,DF,Manchester Utd,Premier League,24,36,35,3174,35.3,2,3,5,2,0.06,0.09,0.05,0.08,0.13,0.05,0.13
631,Mikkel Damsgaard,DEN,MF,Brentford,Premier League,23,23,7,842,9.4,0,2,2,0,0.00,0.21,0.10,0.16,0.25,0.10,0.25
632,Flavius Daniliuc,AUT,DF,Salernitana,Serie A,22,14,8,744,8.3,0,0,0,0,0.00,0.00,0.03,0.03,0.06,0.03,0.06
633,Danilo,BRA,MF,Nott'ham Forest,Premier League,22,29,20,1792,19.9,2,2,4,2,0.10,0.10,0.09,0.08,0.17,0.09,0.17
634,Danilo,BRA,DF,Juventus,Serie A,32,29,27,2452,27.2,1,1,2,1,0.04,0.04,0.05,0.03,0.08,0.05,0.08
635,Arnaut Danjuma,NED,"MF,FW",Everton,Premier League,26,14,5,595,6.6,1,0,1,1,0.15,0.00,0.40,0.17,0.57,0.40,0.57
636,Jayden Danns,ENG,FW,Liverpool,Premier League,17,2,0,9,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
637,Kevin Danso,AUT,DF,Lens,Ligue 1,24,30,30,2655,29.5,1,0,1,1,0.03,0.00,0.06,0.01,0.07,0.06,0.07
638,Dante,BRA,DF,Nice,Ligue 1,39,32,32,2843,31.6,1,1,2,1,0.03,0.03,0.03,0.03,0.06,0.03,0.06
639,Raimane Daou,COM,"DF,MF",Marseille,Ligue 1,18,1,0,25,0.3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
640,Mohammed Daramy,DEN,"FW,MF",Reims,Ligue 1,21,25,19,1648,18.3,4,5,9,3,0.22,0.27,0.25,0.13,0.38,0.21,0.34
641,Sergi Darder,ESP,MF,Mallorca,La Liga,29,36,21,2157,24.0,2,5,7,2,0.08,0.21,0.09,0.27,0.36,0.09,0.36
642,Achraf Dari,MAR,"DF,FW",Brest,Ligue 1,24,4,1,121,1.3,0,0,0,0,0.00,0.00,0.04,0.00,0.04,0.04,0.04
643,Matteo Darmian,ITA,DF,Inter,Serie A,33,33,27,2404,26.7,2,1,3,2,0.07,0.04,0.04,0.07,0.11,0.04,0.11
644,Lukas Daschner,GER,"MF,FW",Bochum,Bundesliga,24,20,3,536,6.0,1,1,2,1,0.17,0.17,0.39,0.16,0.55,0.39,0.55
645,Josh Dasilva,ENG,"DF,FW",Brentford,Premier League,24,3,0,24,0.3,0,0,0,0,0.00,0.00,0.00,0.72,0.72,0.00,0.72
646,David Datro Fofana,CIV,FW,Burnley,Premier League,20,15,10,879,9.8,4,1,5,4,0.41,0.10,0.46,0.19,0.65,0.46,0.65
647,David Datro Fofana,CIV,"FW,MF",Union Berlin,Bundesliga,20,12,8,682,7.6,1,0,1,1,0.13,0.00,0.37,0.05,0.41,0.37,0.41
648,Juan David Cabal,COL,DF,Hellas Verona,Serie A,22,22,17,1497,16.6,0,0,0,0,0.00,0.00,0.03,0.03,0.06,0.03,0.06
649,Jonathan David,CAN,FW,Lille,Ligue 1,23,34,30,2629,29.2,19,4,23,17,0.65,0.14,0.60,0.11,0.71,0.51,0.63
650,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,22,29,24,2065,22.9,2,5,7,2,0.09,0.22,0.04,0.12,0.17,0.04,0.17
651,Ben Davies,WAL,DF,Tottenham,Premier League,30,17,12,1090,12.1,1,0,1,1,0.08,0.00,0.19,0.03,0.23,0.19,0.23
652,Tom Davies,ENG,MF,Sheffield Utd,Premier League,25,9,2,221,2.5,0,0,0,0,0.00,0.00,0.14,0.03,0.17,0.14,0.17
653,Keinan Davis,ENG,"FW,MF",Udinese,Serie A,25,8,0,186,2.1,1,0,1,1,0.48,0.00,0.24,0.04,0.28,0.24,0.28
654,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,28,28,25,2143,23.8,0,0,0,0,0.00,0.00,0.02,0.00,0.02,0.02,0.02
655,Craig Dawson,ENG,DF,Wolves,Premier League,33,25,25,2209,24.5,1,1,2,1,0.04,0.04,0.06,0.06,0.12,0.06,0.12
656,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,32,18,15,1221,13.6,4,10,14,4,0.29,0.74,0.18,0.85,1.03,0.18,1.03
657,Charles De Ketelaere,BEL,"FW,MF",Atalanta,Serie A,22,35,25,2026,22.5,10,8,18,9,0.44,0.36,0.31,0.27,0.59,0.28,0.55
658,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,29,34,25,2075,23.1,3,5,8,3,0.13,0.22,0.08,0.22,0.30,0.08,0.30
659,Mattia De Sciglio,ITA,DF,Juventus,Serie A,30,1,1,45,0.5,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
660,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,35,15,7,674,7.5,2,0,2,2,0.27,0.00,0.03,0.00,0.03,0.03,0.03
661,Thibault De Smet,BEL,DF,Reims,Ligue 1,25,27,22,1831,20.3,0,0,0,0,0.00,0.00,0.01,0.04,0.05,0.01,0.05
662,Koni De Winter,BEL,DF,Genoa,Serie A,21,29,26,2380,26.4,0,1,1,0,0.00,0.04,0.03,0.04,0.07,0.03,0.07
663,Grégoire Defrel,MTQ,"FW,MF",Sassuolo,Serie A,32,20,7,757,8.4,1,2,3,1,0.12,0.24,0.12,0.14,0.26,0.12,0.26
664,Alessandro Deiola,ITA,MF,Cagliari,Serie A,27,27,19,1608,17.9,1,0,1,1,0.06,0.00,0.14,0.05,0.19,0.14,0.19
665,Romain Del Castillo,FRA,FW,Brest,Ligue 1,27,33,30,2497,27.7,8,8,16,5,0.29,0.29,0.19,0.36,0.55,0.10,0.46
666,Thomas Delaine,FRA,"DF,MF",Strasbourg,Ligue 1,31,27,24,2044,22.7,1,1,2,1,0.04,0.04,0.07,0.16,0.23,0.07,0.23
667,Sacha Delaye,FRA,"MF,FW",Montpellier,Ligue 1,21,9,0,130,1.4,0,0,0,0,0.00,0.00,0.23,0.07,0.30,0.23,0.30
668,Hannes Delcroix,BEL,DF,Burnley,Premier League,24,12,5,589,6.5,0,0,0,0,0.00,0.00,0.05,0.03,0.09,0.05,0.09
669,Alessandro Dellavalle,ITA,DF,Torino,Serie A,19,1,0,15,0.2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
670,Olivier Deman,BEL,DF,Werder Bremen,Bundesliga,23,29,14,1365,15.2,2,1,3,2,0.13,0.07,0.07,0.06,0.13,0.07,0.13
671,Karamoko Dembele,SCO,"MF,FW",Brest,Ligue 1,20,1,0,16,0.2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
672,Ousmane Dembélé,FRA,"MF,FW",Paris S-G,Ligue 1,26,26,17,1506,16.7,3,8,11,3,0.18,0.48,0.26,0.40,0.67,0.26,0.67
673,Jessy Deminguet,FRA,"MF,FW",Strasbourg,Ligue 1,25,18,9,690,7.7,0,0,0,0,0.00,0.00,0.03,0.06,0.09,0.03,0.09
674,Ermedin Demirović,BIH,"FW,MF",Augsburg,Bundesliga,25,33,33,2873,31.9,15,9,24,12,0.47,0.28,0.42,0.12,0.54,0.32,0.45
675,Diego Demme,GER,MF,Napoli,Serie A,31,2,1,73,0.8,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
676,Sepp van den Berg,NED,DF,Mainz 05,Bundesliga,21,33,31,2839,31.5,3,0,3,3,0.10,0.00,0.08,0.01,0.09,0.08,0.09
677,Leander Dendoncker,BEL,MF,Aston Villa,Premier League,28,8,1,119,1.3,1,0,1,1,0.76,0.00,0.56,0.00,0.56,0.56,0.56
678,Leander Dendoncker,BEL,MF,Napoli,Serie A,28,3,0,24,0.3,0,0,0,0,0.00,0.00,0.12,0.00,0.12,0.12,0.12
679,Rémy Descamps,FRA,GK,Nantes,Ligue 1,27,6,6,540,6.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
680,Mikkel Desler,DEN,DF,Toulouse,Ligue 1,28,24,19,1544,17.2,0,1,1,0,0.00,0.06,0.06,0.04,0.10,0.06,0.10
681,Arthur Desmas,FRA,GK,Le Havre,Ligue 1,29,33,33,2970,33.0,0,0,0,0,0.00,0.00,0.00,0.01,0.01,0.00,0.01
682,Mattia Destro,ITA,"FW,MF",Empoli,Serie A,32,15,3,366,4.1,0,0,0,0,0.00,0.00,0.29,0.08,0.37,0.29,0.37
683,Samuele Di Benedetto,GER,MF,Stuttgart,Bundesliga,18,1,0,7,0.1,0,0,0,0,0.00,0.00,0.00,0.30,0.30,0.00,0.30
684,Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,29,2,0,15,0.2,1,0,1,1,6.00,0.00,0.53,0.00,0.53,0.53,0.53
685,Raffaele Di Gennaro,ITA,GK,Inter,Serie A,29,1,0,23,0.3,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
686,Michele Di Gregorio,ITA,GK,Monza,Serie A,26,33,33,2872,31.9,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
687,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,29,36,36,3234,35.9,1,6,7,1,0.03,0.17,0.09,0.14,0.22,0.09,0.22
688,Alessandro Di Pardo,ITA,"DF,MF",Cagliari,Serie A,24,15,2,359,4.0,0,0,0,0,0.00,0.00,0.02,0.05,0.07,0.02,0.07
689,Boulaye Dia,SEN,"FW,MF",Salernitana,Serie A,26,17,12,1143,12.7,4,0,4,3,0.31,0.00,0.31,0.04,0.35,0.24,0.28
690,Moussa Diaby,FRA,"FW,MF",Aston Villa,Premier League,24,38,25,2174,24.2,6,8,14,6,0.25,0.33,0.29,0.27,0.56,0.29,0.56
691,Lamine Diack,SEN,MF,Nantes,Ligue 1,22,1,0,1,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
692,Mouctar Diakhaby,GUI,"DF,MF",Valencia,La Liga,26,14,12,1073,11.9,1,0,1,1,0.08,0.00,0.06,0.00,0.06,0.06,0.06
693,Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,17,11,1,209,2.3,0,0,0,0,0.00,0.00,0.01,0.10,0.11,0.01,0.11
694,Bafodé Diakité,FRA,DF,Lille,Ligue 1,22,21,19,1696,18.8,5,2,7,5,0.27,0.11,0.11,0.08,0.19,0.11,0.19
695,Ibrahim Diakité,GUI,DF,Reims,Ligue 1,19,5,1,109,1.2,0,0,0,0,0.00,0.00,0.00,0.16,0.16,0.00,0.16
696,Moussa Diakité,MLI,MF,Cádiz,La Liga,19,1,0,1,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
697,Oumar Diakité,CIV,FW,Reims,Ligue 1,19,28,18,1585,17.6,5,1,6,5,0.28,0.06,0.40,0.07,0.47,0.35,0.43
698,Amad Diallo,CIV,"FW,MF",Manchester Utd,Premier League,21,9,3,390,4.3,1,1,2,1,0.23,0.23,0.12,0.24,0.36,0.12,0.36
699,Amadou Diallo,ENG,MF,Newcastle Utd,Premier League,20,1,0,1,0.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
700,Assane Diao,ESP,FW,Betis,La Liga,17,18,13,1048,11.6,2,0,2,2,0.17,0.00,0.21,0.06,0.28,0.21,0.28
701,Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,19,31,28,2305,25.6,3,1,4,2,0.12,0.04,0.13,0.05,0.18,0.10,0.15
702,Moussa Diarra,MLI,DF,Toulouse,Ligue 1,22,22,15,1397,15.5,1,2,3,1,0.06,0.13,0.03,0.07,0.10,0.03,0.10
703,Rúben Dias,POR,DF,Manchester City,Premier League,26,30,28,2559,28.4,0,0,0,0,0.00,0.00,0.05,0.01,0.06,0.05,0.06
704,Krépin Diatta,SEN,"DF,FW",Monaco,Ligue 1,24,26,12,1206,13.4,0,2,2,0,0.00,0.15,0.04,0.13,0.17,0.04,0.17
705,Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,30,30,30,2700,30.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
706,Mahamadou Diawara,FRA,MF,Lyon,Ligue 1,18,11,4,358,4.0,0,0,0,0,0.00,0.00,0.19,0.03,0.22,0.19,0.22
707,Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,23,31,18,1545,17.2,8,6,14,8,0.47,0.35,0.33,0.26,0.59,0.33,0.59
708,Luis Díaz,COL,FW,Liverpool,Premier League,26,37,32,2629,29.2,8,5,13,8,0.27,0.17,0.41,0.19,0.60,0.41,0.60
709,Víctor Díaz,ESP,"DF,MF",Granada,La Liga,35,4,2,162,1.8,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
710,Famara Diedhiou,SEN,"FW,MF",Granada,La Liga,30,8,0,89,1.0,0,1,1,0,0.00,1.01,0.50,0.21,0.71,0.50,0.71
711,Justin Diehl,GER,"FW,MF",Köln,Bundesliga,18,7,1,168,1.9,0,0,0,0,0.00,0.00,0.12,0.10,0.23,0.12,0.23
712,Bamba Dieng,SEN,FW,Lorient,Ligue 1,23,16,5,549,6.1,4,1,5,4,0.66,0.16,0.53,0.27,0.79,0.53,0.79
713,Eric Dier,ENG,DF,Tottenham,Premier League,29,4,1,201,2.2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
714,Eric Dier,ENG,DF,Bayern Munich,Bundesliga,29,15,13,1166,13.0,0,0,0,0,0.00,0.00,0.05,0.01,0.06,0.05,0.06
715,Guillaume Dietsch,FRA,GK,Metz,Ligue 1,22,1,0,73,0.8,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
716,Florian Dietz,GER,"FW,MF",Köln,Bundesliga,24,5,0,70,0.8,0,0,0,0,0.00,0.00,0.34,0.12,0.46,0.34,0.46
717,Lucas Digne,FRA,DF,Aston Villa,Premier League,30,33,27,2410,26.8,1,3,4,1,0.04,0.11,0.04,0.15,0.19,0.04,0.19
718,Federico Dimarco,ITA,DF,Inter,Serie A,25,30,29,2077,23.1,5,6,11,5,0.22,0.26,0.13,0.37,0.49,0.12,0.48
719,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29,37,37,3330,37.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
720,Junior Dina Ebimbe,FRA,"MF,DF",Eint Frankfurt,Bundesliga,22,31,25,1956,21.7,5,3,8,5,0.23,0.14,0.23,0.13,0.36,0.23,0.36
721,Eren Dinkçi,GER,"FW,MF",Heidenheim,Bundesliga,21,33,33,2650,29.4,10,5,15,10,0.34,0.17,0.15,0.13,0.27,0.15,0.27
722,Sinaly Diomande,CIV,DF,Lyon,Ligue 1,22,10,10,889,9.9,0,0,0,0,0.00,0.00,0.10,0.07,0.17,0.10,0.17
723,Edan Diop,FRA,"MF,DF",Monaco,Ligue 1,18,10,0,163,1.8,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
724,Issa Diop,FRA,DF,Fulham,Premier League,26,18,16,1424,15.8,0,0,0,0,0.00,0.00,0.02,0.00,0.02,0.02,0.02
725,Sofiane Diop,FRA,FW,Nice,Ligue 1,23,10,6,499,5.5,0,0,0,0,0.00,0.00,0.22,0.14,0.36,0.22,0.36
726,Andy Diouf,FRA,MF,Lens,Ligue 1,20,25,16,1314,14.6,1,0,1,1,0.07,0.00,0.10,0.08,0.18,0.10,0.18
727,Yehvann Diouf,FRA,GK,Reims,Ligue 1,23,34,34,3060,34.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
728,Axel Disasi,FRA,DF,Chelsea,Premier League,25,31,29,2579,28.7,2,0,2,2,0.07,0.00,0.08,0.01,0.09,0.08,0.09
729,Tiago Djaló,POR,DF,Juventus,Serie A,23,1,0,17,0.2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
730,Chaim El Djebali,TUN,MF,Lyon,Ligue 1,19,1,0,12,0.1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
731,Djené,TOG,"DF,MF",Getafe,La Liga,31,33,30,2484,27.6,0,0,0,0,0.00,0.00,0.00,0.01,0.02,0.00,0.02
732,Koffi Djidji,CIV,DF,Torino,Serie A,30,13,8,759,8.4,0,0,0,0,0.00,0.00,0.01,0.00,0.01,0.01,0.01
733,Berat Djimsiti,ALB,DF,Atalanta,Serie A,30,37,32,2832,31.5,0,1,1,0,0.00,0.03,0.03,0.02,0.05,0.03,0.05
734,Marko Dmitrović,SRB,GK,Sevilla,La Liga,31,13,13,1170,13.0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
735,Ben Doak,SCO,FW,Liverpool,Premier League,17,1,0,14,0.2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
736,Ritsu Doan,JPN,"DF,MF",Freiburg,Bundesliga,25,30,26,2246,25.0,7,2,9,7,0.28,0.08,0.20,0.12,0.32,0.20,0.32
737,Lewis Dobbin,ENG,MF,Everton,Premier League,20,12,1,232,2.6,1,0,1,1,0.39,0.00,0.11,0.19,0.30,0.11,0.30
738,Dodô,BRA,DF,Fiorentina,Serie A,24,9,7,523,5.8,0,0,0,0,0.00,0.00,0.01,0.13,0.15,0.01,0.15
739,Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,25,24,24,2160,24.0,2,0,2,2,0.08,0.00,0.05,0.01,0.06,0.05,0.06
740,Matt Doherty,IRL,"DF,MF",Wolves,Premier League,31,30,9,1150,12.8,1,0,1,1,0.08,0.00,0.07,0.10,0.17,0.07,0.17
741,Josh Doig,SCO,DF,Hellas Verona,Serie A,21,12,11,830,9.2,0,0,0,0,0.00,0.00,0.02,0.04,0.06,0.02,0.06
742,Josh Doig,SCO,DF,Sassuolo,Serie A,21,16,15,1343,14.9,0,2,2,0,0.00,0.13,0.01,0.08,0.09,0.01,0.09
743,Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,21,29,18,1595,17.7,3,8,11,3,0.17,0.45,0.14,0.26,0.40,0.14,0.40
