,Player,Market Value,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
296,Diego Llorente,7.0,ESP,DF,Roma,Serie A,29.0,29,27,2170,24.1,1,1,2,1,0.04,0.04,0.01,0.02,0.04,0.01,0.04,9,4,44.4,0.37,0.17,0.11,0.25,19.8,0.3,0.3,0.04,0.7,0.7,62.28,68.38,91.1,1178.22,385.89,0.6,0.2,0.4,0.17,2.95,0.04,0.0,3.11,77.38589211618257,0.2904564315352697,0.1244813278008298,42.9,50.12448132780083,255.850622406639,122.15767634854772,0.8298755186721991,0.4149377593360995,0.0,0.4149377593360995,0.1244813278008298,56.84647302904564,0.2074688796680497,1.29,0.79,0.46,1.0,45.8,1.66,1.12,0.54,0.91,3.28,0.0
297,Connor Roberts,7.0,WAL,DF,Burnley,Premier League,27.0,14,8,823,9.1,0,1,1,0,0.0,0.11,0.0,0.02,0.02,0.0,0.02,0,0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,43.41,54.4,79.8,767.8,260.44,0.2,0.4,0.8,0.77,3.52,0.88,0.22,4.18,61.20879120879121,0.2197802197802197,0.0,0.0,33.95604395604396,127.8021978021978,68.13186813186813,0.6593406593406593,1.098901098901099,0.0,0.3296703296703296,0.1098901098901098,39.34065934065934,1.4285714285714286,1.32,0.55,0.88,1.87,47.1,0.88,0.66,0.22,0.44,2.75,0.22
298,Jamaal Lascelles,7.0,ENG,DF,Newcastle Utd,Premier League,29.0,16,13,1080,12.0,1,0,1,1,0.08,0.0,0.06,0.01,0.07,0.06,0.07,6,1,16.7,0.5,0.08,0.17,1.0,9.3,0.7,0.7,0.12,0.3,0.3,55.75,64.5,86.4,968.0,307.83,0.1,0.1,-0.1,0.17,3.17,0.08,0.0,2.58,72.66666666666667,0.25,0.0833333333333333,33.3,43.25,207.75,121.75,0.6666666666666666,0.5,0.0,0.1666666666666666,0.3333333333333333,52.833333333333336,0.25,1.17,0.75,0.5,0.92,54.5,1.42,1.0,0.42,0.42,3.5,0.0
299,Stefan de Vrij,7.0,NED,DF,Inter,Serie A,31.0,25,17,1586,17.6,1,0,1,1,0.06,0.0,0.03,0.02,0.05,0.03,0.05,10,3,30.0,0.57,0.17,0.1,0.33,12.3,0.6,0.6,0.06,0.4,0.4,52.95,57.39,92.3,932.61,306.53,0.3,0.4,-0.3,0.11,1.93,0.23,0.0,2.44,65.625,0.1136363636363636,0.1136363636363636,100.0,34.54545454545454,159.0909090909091,82.95454545454545,0.3409090909090909,0.284090909090909,0.0,0.3977272727272727,0.0,44.14772727272727,0.1136363636363636,1.02,0.74,0.45,0.85,53.3,1.25,0.57,0.68,1.36,2.9,0.0
17,Marquinhos,7.0,BRA,DF,Paris S-G,Ligue 1,29.0,21,18,1537,17.1,0,1,1,0,0.0,0.06,0.03,0.03,0.05,0.03,0.05,4,0,0.0,0.23,0.0,0.0,,6.5,0.4,0.4,0.11,-0.4,-0.4,99.77,105.67,94.4,1864.27,541.75,0.5,0.7,0.5,0.53,9.65,0.29,0.0,6.67,114.44444444444444,0.0584795321637426,0.0584795321637426,100.0,96.90058479532163,532.8654970760233,305.4970760233918,1.0526315789473684,1.461988304093567,0.0,0.4678362573099415,0.1169590643274853,92.92397660818712,0.175438596491228,1.11,0.64,0.64,0.99,64.7,1.7,1.11,0.58,0.99,3.39,0.06
825,Luca Koleosho,7.0,ITA,"MF,FW",Burnley,Premier League,18.0,15,13,974,10.8,1,1,2,1,0.09,0.09,0.18,0.12,0.3,0.18,0.3,23,5,21.7,2.13,0.46,0.04,0.2,18.5,2.0,2.0,0.09,-1.0,-1.0,17.78,25.37,70.1,232.31,43.98,1.3,1.1,-0.3,1.02,0.83,0.56,0.19,1.76,38.51851851851852,7.222222222222221,3.055555555555556,42.3,27.685185185185183,241.0185185185185,128.05555555555554,4.907407407407407,3.4259259259259256,2.685185185185185,2.0370370370370368,1.2962962962962965,28.98148148148148,7.592592592592592,0.65,0.37,0.19,0.93,20.0,1.2,0.0,1.2,0.19,0.0,0.0
588,Kacper Urbanski,7.0,POL,"MF,FW",Bologna,Serie A,18.0,22,9,926,10.3,0,1,1,0,0.0,0.1,0.1,0.08,0.19,0.1,0.19,17,6,35.3,1.65,0.58,0.0,0.0,17.6,1.1,1.1,0.07,-1.1,-1.1,30.39,37.57,80.9,467.28,98.74,0.8,0.8,0.2,1.55,2.43,0.78,0.19,3.01,49.51456310679611,3.203883495145631,1.9417475728155336,60.6,29.320388349514563,194.7572815533981,79.90291262135922,2.4271844660194173,1.6504854368932038,0.4854368932038834,2.135922330097088,1.3592233009708736,34.66019417475728,7.572815533980582,1.55,0.97,0.58,1.26,46.2,1.46,0.1,1.36,0.39,1.36,0.0
292,Sebastiaan Bornauw,7.0,BEL,DF,Wolfsburg,Bundesliga,24.0,20,16,1431,15.9,0,0,0,0,0.0,0.0,0.05,0.03,0.07,0.05,0.07,10,4,40.0,0.63,0.25,0.0,0.0,10.0,0.8,0.8,0.08,-0.8,-0.8,46.35,52.96,87.5,820.13,300.0,0.4,0.1,-0.4,0.19,1.45,0.0,0.0,2.58,63.459119496855344,0.3144654088050314,0.2515723270440251,80.0,33.899371069182386,127.0440251572327,50.75471698113208,0.1257861635220125,0.3144654088050314,0.0,0.5660377358490566,0.0628930817610062,40.880503144654085,0.1257861635220125,1.64,0.75,0.82,1.19,68.4,1.32,0.75,0.57,1.13,5.09,0.0
590,Jon Moncayola,7.0,ESP,MF,Osasuna,La Liga,25.0,33,21,1800,20.0,1,3,4,1,0.05,0.15,0.03,0.11,0.14,0.03,0.14,16,5,31.3,0.8,0.25,0.06,0.2,23.0,0.6,0.6,0.04,0.4,0.4,39.3,51.25,76.7,730.75,206.1,2.3,2.5,0.7,1.05,4.75,0.75,0.25,4.95,59.1,0.6,0.3,50.0,26.9,111.85,49.9,0.7,0.5,0.1,1.0,0.65,37.95,2.3,1.35,0.9,0.85,2.1,40.5,1.55,0.25,1.3,0.75,1.05,0.0
589,Umut Tohumcu,7.0,GER,MF,Hoffenheim,Bundesliga,18.0,20,12,1011,11.2,0,2,2,0,0.0,0.18,0.04,0.1,0.14,0.04,0.14,15,3,20.0,1.34,0.27,0.0,0.0,23.8,0.5,0.5,0.03,-0.5,-0.5,32.68,37.41,87.4,509.91,134.38,1.1,2.0,0.9,0.8,4.02,0.98,0.18,4.11,46.78571428571429,1.6071428571428572,0.2678571428571428,16.7,28.92857142857143,136.42857142857144,70.35714285714286,1.6071428571428572,1.1607142857142858,0.1785714285714285,0.8928571428571429,0.9821428571428572,33.30357142857143,2.410714285714286,1.43,1.07,0.54,1.7,31.6,0.98,0.09,0.89,0.54,1.07,0.0
587,Junior Mwanga,7.0,FRA,"MF,FW",Strasbourg,Ligue 1,20.0,22,17,1450,16.1,1,1,2,1,0.06,0.06,0.09,0.05,0.14,0.09,0.14,20,4,20.0,1.24,0.25,0.05,0.25,19.9,1.4,1.4,0.07,-0.4,-0.4,25.84,32.36,79.8,469.75,118.7,0.8,0.8,0.2,0.81,2.98,0.56,0.0,3.48,44.34782608695652,2.8571428571428568,1.7391304347826086,60.9,29.254658385093165,193.3540372670808,88.6335403726708,1.7391304347826086,1.2422360248447204,0.3726708074534161,1.9875776397515523,1.4906832298136643,26.397515527950308,2.2981366459627326,2.48,1.24,0.75,1.49,50.0,1.24,0.31,0.93,1.12,1.18,0.0
279,Maxime Estève,7.0,FRA,DF,Burnley,Premier League,21.0,16,15,1309,14.5,0,0,0,0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,7,0,0.0,0.48,0.0,0.0,,19.1,0.3,0.3,0.04,-0.3,-0.3,47.59,56.62,84.0,801.52,206.76,0.0,0.2,0.0,0.07,2.83,0.0,0.0,2.76,67.51724137931035,0.2068965517241379,0.0689655172413793,33.3,35.44827586206897,187.31034482758625,114.75862068965516,1.0344827586206895,1.2413793103448276,0.1379310344827586,0.3448275862068966,0.2068965517241379,41.37931034482759,0.2068965517241379,1.86,0.69,1.24,2.21,56.3,1.45,0.69,0.76,1.86,3.86,0.0
295,Ramy Bensebaini,7.0,ALG,DF,Dortmund,Bundesliga,28.0,17,11,1033,11.5,0,0,0,0,0.0,0.0,0.15,0.03,0.18,0.15,0.18,16,0,0.0,1.39,0.0,0.0,,17.1,1.7,1.7,0.11,-1.7,-1.7,61.04,74.0,82.5,996.96,316.43,0.4,0.9,-0.4,0.52,5.39,0.78,0.09,6.52,86.95652173913044,1.4782608695652173,1.391304347826087,94.1,50.0,218.0,104.34782608695652,1.4782608695652173,1.9130434782608696,0.0869565217391304,1.6521739130434785,0.2608695652173913,56.78260869565217,5.478260869565218,2.96,1.83,2.09,2.96,70.6,1.91,0.61,1.3,1.39,3.22,0.0
293,Unai Núñez,7.0,ESP,DF,Celta Vigo,La Liga,26.0,34,31,2801,31.1,1,0,1,1,0.03,0.0,0.05,0.02,0.07,0.05,0.07,22,5,22.7,0.71,0.16,0.05,0.2,14.4,1.4,1.4,0.07,-0.4,-0.4,41.9,52.57,79.7,854.69,347.17,0.8,1.0,-0.8,0.32,3.12,0.06,0.0,3.41,65.11254019292605,0.3858520900321543,0.3215434083601286,83.3,34.91961414790997,170.2893890675241,90.0,0.3215434083601286,0.3215434083601286,0.0643086816720257,0.9967845659163986,0.1607717041800643,36.366559485530544,0.0643086816720257,1.64,0.9,0.74,1.58,46.9,1.22,0.77,0.45,1.67,4.92,0.1
287,Javi Galán,7.0,ESP,DF,Real Sociedad,La Liga,28.0,14,13,1075,11.9,0,1,1,0,0.0,0.08,0.01,0.06,0.07,0.01,0.07,3,1,33.3,0.25,0.08,0.0,0.0,20.8,0.1,0.1,0.05,-0.1,-0.1,44.2,55.21,80.1,750.0,242.02,0.7,0.9,0.3,0.84,3.03,1.26,0.84,3.78,67.98319327731092,3.6974789915966384,1.512605042016807,40.9,35.88235294117647,223.61344537815123,133.8655462184874,3.865546218487395,1.4285714285714286,0.4201680672268907,1.3445378151260503,0.9243697478991596,39.747899159663866,5.88235294117647,3.19,1.85,1.26,2.52,50.0,2.02,0.08,1.93,1.18,1.43,0.08
694,Pedro,7.0,ESP,"FW,MF",Lazio,Serie A,36.0,33,5,816,9.1,1,1,2,1,0.11,0.11,0.17,0.23,0.39,0.17,0.39,11,4,36.4,1.21,0.44,0.09,0.25,20.0,1.5,1.5,0.14,-0.5,-0.5,39.23,47.36,82.8,557.36,107.03,2.1,1.5,-1.1,1.87,2.42,1.43,0.44,3.63,60.54945054945056,3.5164835164835164,1.5384615384615383,43.8,36.70329670329671,229.01098901098905,100.76923076923076,3.406593406593407,3.296703296703297,0.4395604395604395,3.186813186813187,1.868131868131868,48.57142857142858,8.901098901098901,1.76,1.32,0.33,1.32,25.0,1.76,0.22,1.54,0.33,0.11,0.0
284,Chrislain Matsima,7.0,FRA,DF,Clermont Foot,Ligue 1,21.0,14,13,1180,13.1,1,0,1,1,0.08,0.0,0.01,0.0,0.01,0.01,0.01,5,2,40.0,0.38,0.15,0.2,0.5,24.0,0.2,0.2,0.03,0.8,0.8,43.44,50.0,86.9,736.72,299.92,0.0,0.1,0.0,0.0,2.6,0.08,0.0,3.44,61.6030534351145,0.3816793893129771,0.1526717557251908,40.0,41.908396946564885,253.1297709923664,137.32824427480915,0.9923664122137404,0.3053435114503817,0.0763358778625954,0.4580152671755725,0.3053435114503817,37.86259541984733,0.0763358778625954,1.37,0.84,0.76,1.37,55.6,1.07,0.76,0.31,0.99,5.65,0.08
