,Player,Market Value,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
592,Kylian Mbappé,180.0,FRA,FW,Paris S-G,Ligue 1,24.0,29,24,2158,24.0,27,7,34,21,1.13,0.29,0.87,0.24,1.11,0.6,0.84,112,50,44.6,4.67,2.09,0.19,0.42,18.3,21.0,14.5,0.13,6.0,6.5,33.38,40.21,83.0,502.54,99.62,5.7,5.2,1.3,1.67,3.04,1.83,0.04,5.08,52.66666666666666,5.541666666666667,2.5416666666666665,45.9,47.833333333333336,281.2083333333333,133.875,4.75,2.875,2.75,2.333333333333333,1.4583333333333333,47.083333333333336,11.916666666666666,0.17,0.04,0.17,0.38,44.4,0.17,0.0,0.17,0.08,0.08,0.0
591,Erling Haaland,180.0,NOR,FW,Manchester City,Premier League,23.0,31,29,2552,28.4,27,5,32,20,0.95,0.18,1.03,0.15,1.18,0.81,0.96,113,50,44.2,3.99,1.76,0.18,0.4,11.9,29.2,22.9,0.2,-2.2,-2.9,10.39,13.66,76.0,113.87,19.96,4.3,2.2,0.7,1.02,0.56,0.39,0.0,0.92,22.3943661971831,1.0563380281690142,0.4225352112676057,40.0,12.570422535211268,57.32394366197183,25.633802816901408,1.2323943661971832,0.4577464788732394,0.7746478873239437,1.443661971830986,0.6690140845070423,17.21830985915493,4.436619718309859,0.21,0.11,0.07,0.11,66.7,0.39,0.04,0.35,0.07,0.56,0.0
315,Jude Bellingham,180.0,ENG,MF,Real Madrid,La Liga,20.0,28,27,2315,25.7,19,6,25,18,0.74,0.23,0.43,0.21,0.64,0.4,0.61,62,34,54.8,2.41,1.32,0.29,0.53,14.8,11.1,10.3,0.17,7.9,7.7,53.04,60.04,88.3,763.0,156.61,5.3,4.3,0.7,1.87,5.33,1.75,0.12,7.63,73.81322957198444,3.77431906614786,1.9455252918287933,51.5,48.054474708171206,265.05836575875486,133.61867704280155,3.3073929961089497,2.840466926070039,1.0116731517509727,2.0622568093385216,1.556420233463035,60.46692607003891,6.88715953307393,1.63,1.32,0.47,1.4,33.3,2.14,0.19,1.95,0.82,0.66,0.0
593,Phil Foden,150.0,ENG,"FW,MF",Manchester City,Premier League,23.0,35,33,2857,31.7,19,8,27,19,0.6,0.25,0.33,0.26,0.59,0.33,0.59,105,48,45.7,3.31,1.51,0.18,0.4,18.5,10.3,10.3,0.1,8.7,8.7,47.67,55.74,85.5,641.86,118.9,8.4,6.9,-0.4,2.3,2.24,1.8,0.16,5.3,67.69716088328076,3.217665615141956,1.4826498422712937,46.1,45.26813880126184,218.3280757097792,108.32807570977918,2.9337539432176656,2.4921135646687698,1.7665615141955835,1.9558359621451105,1.5457413249211356,55.29968454258675,8.485804416403786,0.98,0.63,0.41,0.98,41.9,0.95,0.0,0.95,0.41,0.57,0.03
594,Bukayo Saka,140.0,ENG,FW,Arsenal,Premier League,21.0,35,35,2919,32.4,16,9,25,10,0.49,0.28,0.48,0.32,0.8,0.33,0.65,102,31,30.4,3.14,0.96,0.1,0.32,16.3,15.5,10.8,0.11,0.5,-0.8,35.28,46.67,75.6,521.33,135.86,10.5,11.0,-1.5,2.81,1.2,2.25,0.37,3.89,60.24691358024692,3.765432098765432,1.5123456790123455,40.2,37.74691358024692,221.6049382716049,115.06172839506172,4.783950617283951,2.098765432098765,2.2222222222222223,1.7283950617283952,1.6358024691358026,42.99382716049383,15.679012345679013,2.04,1.08,0.8,1.82,44.1,1.33,0.06,1.27,0.46,0.74,0.03
316,Florian Wirtz,130.0,GER,MF,Leverkusen,Bundesliga,20.0,32,26,2372,26.4,11,11,22,10,0.42,0.42,0.34,0.29,0.62,0.31,0.6,70,33,47.1,2.66,1.25,0.14,0.3,18.1,8.9,8.2,0.12,2.1,1.8,58.33,70.27,83.0,769.09,212.92,7.5,9.7,3.5,2.77,3.6,3.11,0.27,8.48,85.30303030303031,6.136363636363637,2.9924242424242427,48.8,52.42424242424243,299.0909090909091,157.27272727272728,5.227272727272728,4.090909090909091,1.7045454545454546,3.143939393939394,2.9924242424242427,68.75,11.590909090909092,1.02,0.68,0.34,1.1,31.0,1.36,0.08,1.29,0.34,0.11,0.0
317,Jamal Musiala,120.0,GER,"MF,FW",Bayern Munich,Bundesliga,20.0,24,20,1755,19.5,10,5,15,10,0.51,0.26,0.4,0.31,0.71,0.4,0.71,58,21,36.2,2.97,1.08,0.17,0.48,15.8,7.9,7.9,0.14,2.1,2.1,31.85,39.59,80.4,426.92,100.36,6.0,5.8,-1.0,2.15,2.15,2.1,0.0,5.13,55.8974358974359,7.897435897435898,4.461538461538462,56.5,37.74358974358975,255.48717948717947,144.87179487179486,5.282051282051282,3.076923076923077,1.6923076923076923,3.3846153846153846,2.6153846153846154,44.30769230769231,8.35897435897436,2.05,1.28,0.72,1.85,38.9,1.28,0.05,1.23,0.82,0.26,0.0
318,Federico Valverde,120.0,URU,MF,Real Madrid,La Liga,25.0,37,33,2904,32.3,2,7,9,2,0.06,0.22,0.11,0.18,0.29,0.11,0.29,56,18,32.1,1.74,0.56,0.04,0.11,23.0,3.5,3.5,0.06,-1.5,-1.5,58.85,65.54,89.8,899.35,240.87,5.8,3.4,1.2,1.52,7.09,1.27,0.12,7.15,75.78947368421053,1.3622291021671828,0.6811145510835914,50.0,49.845201238390096,285.6656346749226,155.63467492260062,3.2198142414860684,3.1578947368421058,0.4643962848297214,0.86687306501548,0.3715170278637771,59.59752321981425,3.1578947368421058,1.46,1.05,0.74,1.3,57.1,1.21,0.06,1.15,1.33,1.24,0.0
319,Declan Rice,120.0,ENG,MF,Arsenal,Premier League,24.0,38,37,3225,35.8,7,8,15,7,0.2,0.22,0.09,0.15,0.24,0.09,0.24,58,20,34.5,1.62,0.56,0.12,0.35,20.4,3.3,3.3,0.06,3.7,3.7,57.01,64.11,88.9,956.48,261.96,5.3,4.8,2.7,1.31,6.7,1.09,0.06,7.77,74.02234636871509,1.2849162011173183,0.5865921787709497,45.7,46.78770949720671,284.7486033519553,143.54748603351956,2.094972067039106,1.9553072625698324,0.446927374301676,0.8659217877094972,0.6145251396648045,53.85474860335196,1.787709497206704,2.32,1.42,0.89,1.59,56.1,1.03,0.31,0.73,1.23,1.45,0.0
321,Rodri,120.0,ESP,"FW,MF",Betis,La Liga,23.0,29,9,1051,11.7,0,0,0,0,0.0,0.0,0.09,0.1,0.19,0.09,0.19,18,5,27.8,1.54,0.43,0.0,0.0,18.6,1.1,1.1,0.06,-1.1,-1.1,38.38,48.72,78.8,571.11,160.85,1.2,2.2,-1.2,1.28,3.08,2.74,0.51,5.56,60.76923076923077,4.871794871794872,2.0512820512820515,42.1,42.3931623931624,278.03418803418805,137.35042735042737,4.188034188034188,2.5641025641025643,1.1965811965811963,2.393162393162393,1.5384615384615383,48.20512820512821,9.914529914529917,1.45,0.85,0.68,1.79,38.1,0.94,0.0,0.94,0.68,0.17,0.0
320,Rodri,120.0,ESP,MF,Manchester City,Premier League,27.0,34,34,2931,32.6,8,9,17,8,0.25,0.28,0.12,0.12,0.24,0.12,0.24,62,22,35.5,1.9,0.68,0.13,0.36,20.6,4.1,4.1,0.07,3.9,3.9,103.22,112.15,92.0,1756.32,483.62,3.9,6.1,5.1,1.5,11.6,1.87,0.0,11.53,122.33128834355828,1.96319018404908,1.2883435582822085,65.6,77.08588957055214,355.06134969325154,196.5644171779141,2.331288343558282,2.6993865030674846,0.3680981595092024,0.705521472392638,0.98159509202454,99.4478527607362,1.687116564417178,2.15,1.32,0.89,1.84,48.3,0.98,0.25,0.74,0.8,1.26,0.12
596,Lautaro Martínez,110.0,ARG,FW,Inter,Serie A,25.0,33,31,2656,29.5,24,3,27,22,0.81,0.1,0.6,0.12,0.72,0.52,0.64,105,44,41.9,3.56,1.49,0.21,0.5,14.2,17.6,15.3,0.15,6.4,6.7,20.47,26.51,77.2,299.02,71.32,3.6,2.0,-0.6,1.22,1.53,0.71,0.07,2.71,39.86440677966102,2.305084745762712,0.6440677966101694,27.9,24.91525423728813,109.42372881355932,50.3728813559322,1.8305084745762712,0.9830508474576272,0.9491525423728814,2.305084745762712,1.5254237288135593,29.76271186440678,5.830508474576271,0.75,0.54,0.14,0.64,21.1,1.02,0.03,0.98,0.68,0.34,0.0
322,Martin Ødegaard,110.0,NOR,MF,Arsenal,Premier League,24.0,35,35,3091,34.3,8,10,18,6,0.23,0.29,0.22,0.28,0.5,0.17,0.45,75,21,28.0,2.18,0.61,0.08,0.29,20.2,7.4,5.8,0.08,0.6,0.2,49.33,58.48,84.3,751.6,230.26,9.6,11.2,0.4,2.97,4.66,3.79,0.38,10.03,67.81341107871721,2.361516034985423,1.0787172011661808,45.7,45.568513119533534,238.77551020408168,102.44897959183676,2.653061224489796,2.419825072886298,1.0787172011661808,1.545189504373178,1.6909620991253649,53.26530612244898,5.889212827988339,1.43,0.5,0.5,1.69,29.3,0.67,0.03,0.64,0.44,0.15,0.0
595,Rodrygo,110.0,BRA,FW,Real Madrid,La Liga,22.0,34,28,2380,26.4,10,5,15,10,0.38,0.19,0.44,0.15,0.59,0.41,0.56,86,35,40.7,3.25,1.32,0.12,0.29,15.2,11.7,10.9,0.13,-1.7,-0.9,33.45,38.14,87.7,394.58,71.29,4.0,4.2,1.0,1.74,1.59,1.67,0.15,3.41,51.21212121212122,5.568181818181818,2.272727272727273,40.8,37.95454545454545,280.64393939393943,164.54545454545456,6.022727272727273,4.015151515151516,3.181818181818182,2.7272727272727275,1.1363636363636365,43.371212121212125,11.401515151515152,0.61,0.57,0.19,0.72,26.3,0.53,0.0,0.53,0.3,0.23,0.0
323,Eduardo Camavinga,100.0,FRA,"MF,DF",Real Madrid,La Liga,20.0,31,21,1817,20.2,0,2,2,0,0.0,0.1,0.05,0.07,0.11,0.05,0.11,17,7,41.2,0.84,0.35,0.0,0.0,22.7,0.9,0.9,0.05,-0.9,-0.9,59.65,65.74,90.7,964.01,240.4,1.4,1.8,0.6,0.99,4.95,0.69,0.15,5.25,79.45544554455446,3.415841584158416,1.7821782178217822,52.2,50.04950495049505,287.029702970297,154.9009900990099,2.4257425742574257,2.7722772277227725,0.2475247524752475,1.2871287128712872,1.188118811881188,59.20792079207921,1.534653465346535,3.76,2.33,1.14,1.93,59.0,1.78,0.4,1.39,1.44,1.44,0.05
597,Victor Osimhen,100.0,NGA,FW,Napoli,Serie A,24.0,25,22,1982,22.0,15,3,18,12,0.68,0.14,0.7,0.14,0.84,0.52,0.66,85,36,42.4,3.86,1.63,0.14,0.33,13.4,15.4,11.4,0.13,-0.4,0.6,8.82,13.18,66.9,111.86,18.14,3.1,0.9,-0.1,1.05,0.55,0.27,0.0,1.05,24.954545454545453,1.818181818181818,0.7272727272727273,40.0,14.272727272727272,80.4090909090909,34.59090909090909,1.5454545454545454,1.0909090909090908,0.6818181818181818,2.909090909090909,1.2727272727272727,18.681818181818183,6.454545454545454,0.41,0.23,0.09,0.18,50.0,0.23,0.05,0.18,0.09,0.82,0.0
598,Harry Kane,100.0,ENG,FW,Bayern Munich,Bundesliga,30.0,32,32,2839,31.5,36,8,44,31,1.14,0.25,0.97,0.2,1.17,0.85,1.05,141,61,43.3,4.47,1.93,0.22,0.51,14.4,30.6,26.7,0.19,5.4,4.3,15.05,21.08,71.4,283.68,86.19,6.4,5.9,1.6,0.98,2.1,1.3,0.19,3.24,31.58730158730159,1.873015873015873,0.7619047619047619,40.7,20.126984126984127,98.34920634920636,40.85714285714285,1.1428571428571428,0.7936507936507936,0.4444444444444444,1.4285714285714286,1.4285714285714286,24.825396825396822,5.206349206349207,0.41,0.29,0.19,0.57,33.3,0.38,0.13,0.25,0.19,0.44,0.0
324,Aurélien Tchouaméni,100.0,FRA,"MF,DF",Real Madrid,La Liga,23.0,27,22,1987,22.1,3,1,4,3,0.14,0.05,0.06,0.04,0.1,0.06,0.1,27,7,25.9,1.22,0.32,0.11,0.43,22.2,1.3,1.3,0.05,1.7,1.7,62.31,68.78,90.6,1025.88,338.78,0.9,1.4,0.1,0.5,6.97,0.59,0.18,5.02,77.91855203619909,0.588235294117647,0.2714932126696832,46.2,52.12669683257919,288.00904977375563,161.49321266968326,1.2669683257918551,1.855203619909502,0.0452488687782805,0.588235294117647,0.5429864253393665,58.64253393665158,0.6787330316742081,1.72,1.04,0.41,0.81,50.0,0.95,0.59,0.36,1.27,2.35,0.05
601,Rafael Leão,90.0,POR,FW,Milan,Serie A,24.0,34,29,2512,27.9,9,9,18,9,0.32,0.32,0.36,0.32,0.68,0.36,0.68,70,24,34.3,2.51,0.86,0.13,0.38,17.1,10.0,10.0,0.14,-1.0,-1.0,27.24,36.99,73.6,436.45,114.87,9.1,8.1,-0.1,2.11,2.33,2.22,0.61,4.19,48.42293906810036,5.519713261648746,2.759856630824373,50.0,33.584229390681,265.3405017921147,145.51971326164875,5.734767025089606,3.548387096774194,2.939068100358423,2.3655913978494625,1.4695340501792116,40.39426523297491,10.50179211469534,0.57,0.36,0.29,0.47,61.5,0.54,0.04,0.5,0.32,0.68,0.0
600,Julián Álvarez,90.0,ARG,"MF,FW",Manchester City,Premier League,23.0,36,31,2647,29.4,11,8,19,9,0.37,0.27,0.44,0.22,0.66,0.39,0.61,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13.0,11.5,0.12,-2.0,-2.5,34.39,42.79,80.4,475.41,101.77,6.4,6.3,1.6,2.28,1.46,1.39,0.14,3.5,52.85714285714286,1.4285714285714286,0.6802721088435374,47.6,31.08843537414966,151.66666666666669,71.15646258503402,2.17687074829932,2.006802721088436,0.9523809523809524,1.9047619047619049,1.2244897959183674,37.51700680272109,6.122448979591837,0.82,0.44,0.27,1.09,25.0,1.02,0.0,1.02,0.07,0.48,0.03
325,Gavi,90.0,ESP,"MF,FW",Barcelona,La Liga,18.0,12,10,944,10.5,1,1,2,1,0.1,0.1,0.09,0.1,0.19,0.09,0.19,9,4,44.4,0.86,0.38,0.11,0.25,15.2,0.9,0.9,0.11,0.1,0.1,46.57,51.52,90.4,678.0,133.33,1.1,1.4,-0.1,1.05,3.52,0.76,0.19,3.71,64.57142857142857,2.095238095238096,1.1428571428571428,54.5,40.38095238095238,212.47619047619048,111.42857142857144,2.4761904761904763,2.2857142857142856,0.2857142857142857,1.809523809523809,1.0476190476190477,45.61904761904762,3.619047619047619,3.71,2.0,1.71,3.43,50.0,1.81,0.29,1.52,0.76,1.52,0.1
599,Lamine Yamal,90.0,ESP,FW,Barcelona,La Liga,16.0,37,22,2201,24.5,5,5,10,5,0.2,0.2,0.21,0.25,0.47,0.21,0.47,58,21,36.2,2.37,0.86,0.09,0.24,17.5,5.2,5.2,0.09,-0.2,-0.2,36.86,46.2,79.8,525.22,122.82,6.2,6.5,-1.2,1.55,1.59,2.12,0.65,3.27,60.204081632653065,6.530612244897959,2.857142857142857,43.8,41.755102040816325,270.2857142857143,158.73469387755102,5.020408163265306,3.183673469387755,2.326530612244898,2.204081632653061,1.0612244897959184,47.224489795918366,14.285714285714286,2.49,1.51,0.73,1.96,37.5,1.31,0.0,1.31,0.78,0.45,0.0
326,Bruno Guimarães,85.0,BRA,MF,Newcastle Utd,Premier League,25.0,37,37,3263,36.3,7,8,15,7,0.19,0.22,0.13,0.18,0.31,0.13,0.31,48,16,33.3,1.32,0.44,0.15,0.44,17.8,4.8,4.8,0.1,2.2,2.2,53.47,63.72,83.9,918.76,257.19,6.4,6.3,1.6,1.71,5.07,1.93,0.14,7.8,75.3168044077135,3.6363636363636367,1.983471074380165,54.5,50.74380165289256,283.66391184573007,116.83195592286502,1.790633608815427,2.0110192837465566,0.5234159779614326,1.6804407713498624,1.928374655647383,58.04407713498623,2.0110192837465566,2.42,1.46,1.1,2.12,51.9,1.43,0.39,1.05,0.96,0.55,0.0
602,Khvicha Kvaratskhelia,80.0,GEO,FW,Napoli,Serie A,22.0,34,32,2737,30.4,11,6,17,11,0.36,0.2,0.37,0.23,0.59,0.36,0.59,128,45,35.2,4.21,1.48,0.09,0.24,18.8,11.1,11.1,0.09,-0.1,-0.1,31.74,39.47,80.4,510.3,93.75,6.8,5.4,-0.8,2.07,1.51,1.12,0.07,2.93,54.01315789473684,7.236842105263158,3.322368421052632,45.9,36.8092105263158,304.60526315789474,157.10526315789474,6.052631578947369,3.5526315789473686,2.6644736842105265,1.9078947368421053,1.5789473684210529,42.631578947368425,8.75,1.38,0.69,0.49,1.61,30.6,0.49,0.03,0.46,0.43,0.3,0.0
0,William Saliba,80.0,FRA,DF,Arsenal,Premier League,22.0,38,38,3420,38.0,2,1,3,2,0.05,0.03,0.04,0.01,0.05,0.04,0.05,10,3,30.0,0.26,0.08,0.2,0.67,10.5,1.6,1.6,0.16,0.4,0.4,69.34,75.03,92.4,1147.34,419.68,0.2,0.9,0.8,0.16,4.61,0.16,0.03,4.13,81.39473684210526,0.3947368421052631,0.2631578947368421,66.7,52.42105263157895,236.8947368421053,136.8684210526316,0.4210526315789473,0.5789473684210527,0.0263157894736842,0.5789473684210527,0.3421052631578947,60.44736842105263,0.1578947368421052,1.08,0.68,0.53,0.71,74.1,0.84,0.45,0.39,0.76,2.13,0.08
328,Cole Palmer,80.0,ENG,"FW,MF",Chelsea,Premier League,21.0,33,29,2607,29.0,22,11,33,13,0.76,0.38,0.63,0.38,1.01,0.38,0.77,100,37,37.0,3.45,1.28,0.13,0.35,22.1,18.2,11.1,0.11,3.8,1.9,38.66,48.79,79.2,642.14,194.55,11.1,8.7,-0.1,2.48,4.69,2.38,0.17,6.79,60.48275862068966,3.586206896551724,1.793103448275862,50.0,39.58620689655172,249.51724137931035,120.41379310344828,4.0344827586206895,2.2758620689655173,1.5862068965517242,1.9655172413793105,1.5172413793103448,46.96551724137931,6.724137931034483,0.79,0.41,0.28,0.66,42.1,0.69,0.07,0.62,0.69,0.45,0.07
330,Nicolò Barella,80.0,ITA,MF,Inter,Serie A,26.0,37,34,2846,31.6,2,3,5,2,0.06,0.09,0.16,0.11,0.27,0.16,0.27,40,12,30.0,1.26,0.38,0.05,0.17,18.2,5.1,5.1,0.13,-3.1,-3.1,58.07,68.61,84.6,953.89,303.48,3.4,4.5,-0.4,1.33,6.71,2.47,0.35,8.8,76.74050632911393,1.8670886075949369,0.9177215189873418,49.2,49.24050632911392,230.4746835443038,107.24683544303797,2.151898734177215,2.310126582278481,0.2848101265822784,1.2341772151898731,0.9177215189873418,61.42405063291139,4.556962025316455,1.46,0.95,0.6,1.99,30.2,0.98,0.03,0.95,0.32,0.38,0.03
327,Pedri,80.0,ESP,"MF,FW",Barcelona,La Liga,20.0,24,16,1476,16.4,4,2,6,4,0.24,0.12,0.19,0.25,0.44,0.19,0.44,15,7,46.7,0.91,0.43,0.27,0.57,14.5,3.1,3.1,0.21,0.9,0.9,63.11,72.5,87.0,1047.01,239.82,4.2,4.1,-2.2,2.26,5.06,2.26,0.24,8.29,82.8658536585366,2.317073170731708,0.9756097560975612,42.1,50.1829268292683,276.5243902439025,142.25609756097563,2.5,2.5609756097560976,0.426829268292683,1.8902439024390243,0.9146341463414634,65.85365853658537,4.939024390243903,2.01,1.46,0.49,1.65,29.6,1.65,0.18,1.46,0.85,0.61,0.0
329,Xavi Simons,80.0,NED,MF,RB Leipzig,Bundesliga,20.0,32,32,2653,29.5,8,11,19,7,0.27,0.37,0.28,0.33,0.61,0.23,0.56,79,31,39.2,2.68,1.05,0.09,0.23,21.1,8.3,6.7,0.08,-0.3,0.3,38.54,48.61,79.3,607.97,169.29,9.8,9.0,1.2,2.68,3.46,2.24,0.1,6.34,61.59322033898305,5.423728813559322,2.847457627118644,52.5,41.11864406779661,282.4406779661017,157.76271186440678,5.11864406779661,4.508474576271187,1.2542372881355932,2.6440677966101696,1.6610169491525424,46.61016949152543,7.322033898305085,1.02,0.58,0.51,1.05,48.4,0.78,0.0,0.78,0.54,0.14,0.0
1,Rúben Dias,80.0,POR,DF,Manchester City,Premier League,26.0,30,28,2559,28.4,0,0,0,0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,20,8,40.0,0.7,0.28,0.0,0.0,15.2,1.4,1.4,0.07,-1.4,-1.4,86.94,92.78,93.7,1505.77,477.75,0.3,1.9,-0.3,0.25,7.75,0.42,0.11,6.09,101.30281690140846,0.0352112676056338,0.0,0.0,70.28169014084507,382.4647887323944,235.66901408450704,1.1971830985915493,2.4647887323943665,0.0352112676056338,0.352112676056338,0.2464788732394366,81.02112676056339,0.5633802816901409,1.37,0.7,0.67,0.92,73.1,1.13,0.6,0.53,1.06,2.71,0.0
331,Moisés Caicedo,75.0,ECU,MF,Chelsea,Premier League,21.0,35,33,2866,31.8,1,3,4,1,0.03,0.09,0.01,0.08,0.09,0.01,0.09,13,4,30.8,0.41,0.13,0.08,0.25,29.0,0.4,0.4,0.03,0.6,0.6,59.97,66.64,90.0,933.84,257.26,2.6,2.0,0.4,0.72,5.53,0.63,0.0,5.44,77.10691823899371,1.7610062893081762,0.8176100628930817,46.4,43.333333333333336,172.86163522012578,77.54716981132076,0.8490566037735849,0.9748427672955976,0.0314465408805031,1.1320754716981132,0.7547169811320754,57.48427672955975,0.8490566037735849,2.86,1.45,1.13,1.89,60.0,1.86,0.79,1.07,1.16,1.38,0.13
332,Enzo Fernández,75.0,ARG,MF,Chelsea,Premier League,22.0,28,26,2209,24.5,3,2,5,2,0.12,0.08,0.25,0.14,0.39,0.19,0.33,45,13,28.9,1.83,0.53,0.04,0.15,21.3,6.2,4.6,0.1,-3.2,-2.6,64.24,76.0,84.5,1174.53,343.47,3.4,3.7,-1.4,1.31,7.22,1.76,0.16,8.57,86.85714285714286,1.7959183673469388,0.9387755102040816,52.3,53.67346938775511,248.16326530612244,126.89795918367346,2.122448979591837,1.877551020408164,0.3265306122448979,1.183673469387755,0.979591836734694,68.36734693877551,2.204081632653061,2.04,0.9,1.1,2.65,41.5,1.47,0.53,0.94,0.69,1.14,0.0
333,Alexis Mac Allister,75.0,ARG,MF,Liverpool,Premier League,24.0,33,31,2599,28.9,5,5,10,4,0.17,0.17,0.13,0.12,0.25,0.1,0.22,43,8,18.6,1.49,0.28,0.09,0.5,23.3,3.7,2.9,0.07,1.3,1.1,58.96,68.06,86.6,919.2,265.02,3.6,4.9,1.4,1.63,5.61,1.42,0.07,7.23,80.03460207612457,1.1764705882352942,0.6228373702422145,52.9,46.57439446366782,198.54671280276816,104.01384083044984,1.5224913494809689,1.5570934256055364,0.1384083044982699,1.0380622837370244,1.2110726643598615,56.26297577854672,1.6608996539792389,3.43,1.9,2.04,4.33,47.2,2.25,0.28,1.97,1.21,0.87,0.03
334,Dominik Szoboszlai,75.0,HUN,MF,Liverpool,Premier League,22.0,33,25,2104,23.4,3,2,5,3,0.13,0.09,0.16,0.25,0.4,0.16,0.4,60,15,25.0,2.57,0.64,0.05,0.2,24.3,3.7,3.7,0.06,-0.7,-0.7,54.7,66.24,82.6,870.38,210.64,5.8,5.1,-3.8,2.39,4.19,1.41,0.26,6.5,77.00854700854701,2.393162393162393,1.0256410256410258,42.9,44.57264957264957,233.97435897435892,123.07692307692308,3.2051282051282053,2.863247863247864,0.9401709401709404,1.153846153846154,1.153846153846154,52.90598290598291,6.837606837606838,1.37,0.81,0.68,2.14,32.0,1.58,0.09,1.5,0.64,0.68,0.04
604,Alexander Isak,75.0,SWE,FW,Newcastle Utd,Premier League,23.0,30,27,2255,25.1,21,2,23,16,0.84,0.08,0.81,0.15,0.96,0.62,0.77,72,36,50.0,2.87,1.44,0.22,0.44,14.5,20.3,15.6,0.22,0.7,0.4,15.34,19.64,78.1,216.97,46.49,3.7,2.8,-1.7,1.08,1.12,0.84,0.0,2.83,28.88446215139442,2.948207171314741,1.6733067729083664,56.8,16.772908366533862,121.59362549800797,64.2629482071713,2.7091633466135456,1.235059760956175,1.5139442231075697,1.9521912350597608,0.9163346613545816,20.35856573705179,5.139442231075697,0.2,0.0,0.08,0.32,25.0,0.64,0.04,0.6,0.24,0.52,0.0
603,Luis Díaz,75.0,COL,FW,Liverpool,Premier League,26.0,37,32,2629,29.2,8,5,13,8,0.27,0.17,0.41,0.19,0.6,0.41,0.6,94,32,34.0,3.22,1.1,0.09,0.25,15.0,11.9,11.9,0.13,-3.9,-3.9,30.75,36.82,83.5,471.64,100.38,5.7,4.7,-0.7,2.19,2.12,1.54,0.1,3.87,49.76027397260274,4.794520547945206,2.294520547945205,47.9,34.82876712328767,256.8493150684932,126.36986301369863,4.691780821917808,2.636986301369863,2.397260273972603,2.363013698630137,2.4657534246575343,38.63013698630137,10.342465753424658,1.2,0.86,0.24,1.03,23.3,0.51,0.0,0.51,0.1,0.27,0.0
606,Darwin Núñez,70.0,URU,FW,Liverpool,Premier League,24.0,36,22,2047,22.7,11,8,19,11,0.48,0.35,0.72,0.27,0.98,0.68,0.95,107,46,43.0,4.7,2.02,0.1,0.24,15.0,16.3,15.5,0.15,-5.3,-4.5,15.02,21.72,69.2,210.57,44.93,6.0,4.5,2.0,1.45,1.01,1.15,0.0,2.38,34.229074889867846,1.9383259911894275,0.6607929515418502,34.1,20.61674008810573,118.6784140969163,56.34361233480176,2.555066079295154,1.5418502202643172,1.5859030837004406,2.3348017621145374,1.277533039647577,25.330396475770925,9.07488986784141,0.97,0.53,0.48,1.01,47.8,0.79,0.26,0.53,0.13,0.4,0.0
335,Douglas Luiz,70.0,BRA,MF,Aston Villa,Premier League,25.0,35,35,2993,33.3,9,5,14,5,0.27,0.15,0.21,0.16,0.37,0.11,0.28,44,13,29.5,1.32,0.39,0.11,0.38,23.3,6.9,3.8,0.09,2.1,1.2,54.05,63.09,85.7,936.91,234.44,5.4,5.3,-0.4,1.59,4.11,1.17,0.24,5.05,70.6006006006006,1.4114114114114116,0.7207207207207208,51.1,41.86186186186187,225.8858858858859,106.96696696696698,1.801801801801802,1.4414414414414416,0.1201201201201201,0.9909909909909912,0.930930930930931,49.18918918918919,1.5015015015015016,1.74,1.14,0.75,1.59,47.2,0.96,0.24,0.72,0.69,0.54,0.06
340,Bruno Fernandes,70.0,POR,"MF,FW",Manchester Utd,Premier League,28.0,35,35,3118,34.6,10,8,18,6,0.29,0.23,0.29,0.34,0.63,0.18,0.51,90,35,38.9,2.6,1.01,0.07,0.17,22.8,10.0,6.1,0.07,0.0,-0.1,45.95,62.98,73.0,820.92,296.91,11.8,10.2,-3.8,3.29,5.4,2.57,0.29,8.58,74.71098265895954,1.2716763005780347,0.5491329479768786,43.2,39.50867052023121,177.89017341040463,98.4971098265896,2.485549132947977,1.7630057803468209,0.6647398843930635,1.3872832369942196,1.0115606936416184,49.566473988439306,5.260115606936416,1.97,1.1,0.87,2.54,34.1,1.42,0.17,1.24,0.78,1.45,0.06
