,Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,Gls/90,Ast/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
15,16,Marcos Acuña,ARG,DF,Sevilla,La Liga,31.0,21,18,1292,14.4,1,2,3,1,0.07,0.14,0.02,0.11,0.13,0.02,0.13,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0.3,0.3,0.03,0.7,0.7,43.61,58.82,74.1,842.08,342.22,1.5,2.1,0.5,1.6,3.61,1.32,0.83,4.1,68.33333333333333,1.4583333333333333,0.6944444444444444,47.6,32.84722222222222,157.36111111111111,85.0,1.597222222222222,1.3888888888888888,0.2777777777777778,1.3888888888888888,1.1111111111111112,37.91666666666666,2.9166666666666665,2.29,1.46,0.62,0.97,64.3,0.83,0.14,0.69,0.28,1.74,0.0
18,19,Akor Adams,NGA,FW,Montpellier,Ligue 1,23.0,32,27,2252,25.0,8,1,9,8,0.32,0.04,0.5,0.07,0.57,0.5,0.57,79,32,40.5,3.16,1.28,0.1,0.25,14.5,12.4,12.4,0.16,-4.4,-4.4,10.0,15.4,64.9,147.04,31.44,1.9,1.4,-0.9,0.68,0.56,0.16,0.08,0.68,25.52,1.76,0.56,31.8,17.68,106.92,40.16,1.6,0.92,0.88,2.72,1.2,18.88,5.08,0.48,0.16,0.12,0.28,42.9,0.36,0.08,0.28,0.2,0.44,0.0
21,22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30.0,20,8,801,8.9,1,2,3,1,0.11,0.22,0.46,0.23,0.69,0.46,0.69,31,13,41.9,3.48,1.46,0.03,0.08,12.4,4.1,4.1,0.13,-3.1,-3.1,14.83,21.24,69.8,211.57,54.27,2.0,1.1,0.0,1.35,1.8,0.34,0.0,2.02,35.056179775280896,2.02247191011236,0.7865168539325842,38.9,18.202247191011235,91.46067415730336,38.651685393258425,1.6853932584269662,1.0112359550561798,0.5617977528089887,3.033707865168539,1.9101123595505616,20.56179775280899,4.719101123595506,1.57,1.01,0.67,1.24,54.5,1.8,0.11,1.69,0.56,0.79,0.0
22,23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25.0,20,18,1617,18.0,2,0,2,2,0.11,0.0,0.04,0.01,0.05,0.04,0.05,14,5,35.7,0.78,0.28,0.14,0.4,14.2,0.7,0.7,0.05,1.3,1.3,57.11,67.56,84.5,1167.22,442.0,0.1,0.3,-0.1,0.11,2.61,0.11,0.0,3.44,77.22222222222223,0.1666666666666666,0.0555555555555555,33.3,45.388888888888886,253.33333333333331,147.83333333333334,0.5555555555555556,0.6666666666666666,0.0555555555555555,0.2222222222222222,0.2222222222222222,56.05555555555556,0.2777777777777778,1.17,0.61,0.67,1.17,57.1,0.89,0.61,0.28,1.39,4.44,0.0
23,24,Elijah Adebayo,ENG,FW,Luton Town,Premier League,25.0,27,16,1419,15.8,10,0,10,10,0.63,0.0,0.37,0.04,0.42,0.37,0.42,31,14,45.2,1.97,0.89,0.32,0.71,9.6,5.9,5.9,0.19,4.1,4.1,9.11,12.91,70.6,116.9,24.37,0.7,0.4,-0.7,0.89,0.57,0.25,0.0,1.46,29.240506329113924,4.240506329113924,1.1392405063291138,26.9,16.772151898734176,95.9493670886076,26.89873417721519,1.0126582278481011,0.9493670886075948,0.8227848101265822,3.924050632911392,2.151898734177215,21.32911392405063,6.962025316455696,0.25,0.06,0.06,0.76,8.3,0.82,0.13,0.7,0.38,1.58,0.0
24,25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21.0,21,10,913,10.1,3,1,4,3,0.3,0.1,0.34,0.2,0.54,0.34,0.54,23,10,43.5,2.27,0.99,0.13,0.3,14.6,3.5,3.5,0.15,-0.5,-0.5,21.58,29.6,72.9,290.0,71.19,2.0,1.6,-1.0,0.89,0.89,0.99,0.1,2.57,45.34653465346535,5.9405940594059405,1.7821782178217822,30.0,30.693069306930692,238.91089108910893,115.94059405940594,5.148514851485149,2.1782178217821784,2.6732673267326734,2.871287128712871,2.4752475247524752,31.485148514851485,9.504950495049505,1.58,1.39,0.79,1.98,40.0,1.09,0.0,1.09,0.3,0.5,0.0
25,26,Simon Adingra,CIV,FW,Brighton,Premier League,21.0,31,25,2222,24.7,6,1,7,6,0.24,0.04,0.17,0.15,0.32,0.17,0.32,52,22,42.3,2.11,0.89,0.12,0.27,15.9,4.3,4.3,0.08,1.7,1.7,25.67,34.01,75.5,357.41,69.35,3.7,3.5,-2.7,1.34,0.69,1.34,0.45,2.02,46.92307692307693,4.979757085020244,2.0242914979757085,40.7,31.29554655870445,204.97975708502025,121.29554655870446,4.493927125506073,1.9433198380566803,2.5506072874493926,1.9433198380566803,1.1336032388663968,32.18623481781377,11.25506072874494,1.82,0.81,0.77,1.7,45.2,1.26,0.04,1.21,0.77,0.89,0.0
26,27,Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20.0,15,14,1243,13.8,0,0,0,0,0.0,0.0,0.03,0.01,0.03,0.03,0.03,4,0,0.0,0.29,0.0,0.0,,8.3,0.4,0.4,0.09,-0.4,-0.4,41.88,48.48,86.4,770.65,296.88,0.1,0.5,-0.1,0.22,2.75,0.07,0.0,2.46,58.76811594202898,0.3623188405797101,0.2898550724637681,80.0,40.14492753623188,254.05797101449275,116.59420289855072,0.7246376811594203,0.8695652173913043,0.0,0.8695652173913043,0.3623188405797101,37.028985507246375,0.2898550724637681,0.94,0.65,0.43,0.51,85.7,1.09,0.58,0.51,1.3,4.64,0.07
27,28,Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23.0,23,8,898,10.0,4,6,10,4,0.4,0.6,0.33,0.23,0.56,0.33,0.56,27,15,55.6,2.71,1.5,0.15,0.27,13.7,3.3,3.3,0.12,0.7,0.7,36.7,45.9,80.0,468.3,111.0,2.3,2.9,3.7,2.1,1.9,1.8,0.3,3.9,57.5,2.7,1.3,48.1,33.9,176.8,102.1,3.2,2.5,1.6,1.7,1.0,46.0,13.1,1.6,0.7,0.7,1.7,41.2,1.0,0.2,0.8,0.6,0.5,0.0
28,29,Yacine Adli,FRA,MF,Milan,Serie A,23.0,24,17,1407,15.6,1,2,3,1,0.06,0.13,0.02,0.14,0.16,0.02,0.16,4,1,25.0,0.26,0.06,0.25,1.0,19.8,0.3,0.3,0.07,0.7,0.7,72.12,83.33,86.5,1291.15,432.82,2.2,2.0,-0.2,1.41,9.55,1.03,0.38,8.01,92.24358974358977,2.0512820512820515,1.4102564102564104,68.8,55.96153846153846,303.0769230769231,137.43589743589743,1.9230769230769231,1.7307692307692308,0.1923076923076923,1.153846153846154,0.6410256410256411,67.5,1.6666666666666667,2.18,1.09,0.83,2.24,37.1,1.41,0.51,0.9,1.28,0.96,0.06
31,32,Michel Aebischer,SUI,MF,Bologna,Serie A,26.0,36,26,2230,24.8,0,1,1,0,0.0,0.04,0.04,0.06,0.11,0.04,0.11,18,5,27.8,0.73,0.2,0.0,0.0,22.4,1.1,1.1,0.06,-1.1,-1.1,55.24,60.6,91.2,868.35,233.79,1.5,1.0,-0.5,0.69,4.72,0.36,0.04,5.04,68.30645161290322,1.0080645161290325,0.564516129032258,56.0,41.935483870967744,181.73387096774192,90.64516129032258,1.0483870967741935,0.9274193548387096,0.1209677419354838,1.0887096774193548,0.7661290322580645,52.74193548387097,2.217741935483871,1.41,0.81,0.6,1.37,44.1,1.13,0.24,0.89,0.48,0.89,0.0
32,33,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26.0,32,29,2596,28.8,1,1,2,1,0.03,0.03,0.08,0.05,0.13,0.08,0.13,32,5,15.6,1.11,0.17,0.03,0.2,15.1,2.4,2.4,0.07,-1.4,-1.4,55.52,63.82,87.0,1137.99,381.39,1.5,1.6,-0.5,0.42,5.97,0.17,0.03,6.22,76.31944444444444,1.0763888888888888,0.5208333333333334,48.4,54.93055555555556,354.96527777777777,189.58333333333331,1.4583333333333333,0.9027777777777778,0.0694444444444444,0.8333333333333333,0.798611111111111,48.78472222222222,0.6597222222222222,2.26,1.42,1.53,2.22,68.8,1.63,0.87,0.76,1.91,4.03,0.03
35,36,Lucien Agoume,FRA,MF,Sevilla,La Liga,21.0,12,9,777,8.6,0,0,0,0,0.0,0.0,0.1,0.07,0.17,0.1,0.17,6,2,33.3,0.69,0.23,0.0,0.0,13.2,0.9,0.9,0.14,-0.9,-0.9,35.0,41.86,83.6,614.53,165.58,0.6,0.3,-0.6,1.05,4.19,0.58,0.12,4.07,50.0,0.9302325581395348,0.813953488372093,87.5,25.69767441860465,141.6279069767442,68.6046511627907,0.813953488372093,0.3488372093023256,0.2325581395348837,0.4651162790697674,0.4651162790697674,31.74418604651163,1.0465116279069768,2.67,2.09,1.05,1.4,75.0,0.7,0.12,0.58,0.81,0.93,0.0
36,37,Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23.0,24,19,1614,17.9,0,0,0,0,0.0,0.0,0.05,0.04,0.08,0.05,0.08,11,0,0.0,0.61,0.0,0.0,,19.5,0.9,0.9,0.08,-0.9,-0.9,27.26,37.37,72.9,427.77,163.18,0.6,1.4,-0.6,0.39,1.01,0.89,0.39,1.79,49.49720670391062,1.9553072625698324,0.782122905027933,40.0,25.69832402234637,128.32402234636874,68.32402234636872,1.787709497206704,0.893854748603352,0.3910614525139665,1.787709497206704,0.558659217877095,27.6536312849162,5.027932960893855,2.51,1.62,1.62,2.29,70.7,1.51,0.39,1.12,0.73,2.29,0.0
37,38,Nayef Aguerd,MAR,DF,West Ham,Premier League,27.0,21,21,1857,20.6,1,0,1,1,0.05,0.0,0.07,0.01,0.09,0.07,0.09,14,3,21.4,0.68,0.15,0.07,0.33,10.8,1.5,1.5,0.11,-0.5,-0.5,45.78,57.14,80.1,964.56,427.38,0.3,0.4,-0.3,0.19,3.59,0.1,0.0,3.3,66.6504854368932,0.2427184466019417,0.145631067961165,60.0,41.79611650485437,204.41747572815527,115.92233009708735,0.4854368932038834,0.3883495145631068,0.0,0.4854368932038834,0.0970873786407767,44.27184466019417,0.145631067961165,1.26,0.68,0.78,1.07,72.7,1.6,1.17,0.44,0.83,4.13,0.1
38,39,Ruben Aguilar,FRA,DF,Lens,Ligue 1,30.0,25,22,1922,21.4,1,3,4,1,0.05,0.14,0.07,0.14,0.2,0.07,0.2,12,4,33.3,0.56,0.19,0.08,0.25,16.1,1.4,1.4,0.12,-0.4,-0.4,48.79,59.91,81.4,718.83,279.77,2.9,4.0,0.1,1.21,3.41,1.96,0.65,5.14,71.6355140186916,0.9345794392523366,0.2803738317757009,30.0,48.55140186915888,249.25233644859816,109.01869158878506,1.6822429906542058,1.7289719626168225,0.0934579439252336,1.4485981308411215,0.4672897196261683,45.32710280373832,7.570093457943925,2.48,1.45,1.26,2.1,60.0,1.64,0.23,1.4,1.21,2.15,0.0
41,42,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24.0,31,29,2649,29.4,2,0,2,2,0.07,0.0,0.11,0.03,0.14,0.11,0.14,19,5,26.3,0.65,0.17,0.11,0.4,11.9,3.1,3.1,0.17,-1.1,-1.1,25.34,33.61,75.4,431.33,171.33,0.8,0.6,-0.8,0.24,1.39,0.1,0.03,1.46,45.27210884353742,0.7142857142857143,0.3741496598639456,52.4,20.51020408163265,118.94557823129252,66.19047619047619,0.5102040816326531,0.5102040816326531,0.1020408163265306,0.4761904761904762,0.3741496598639456,23.571428571428573,0.7142857142857143,2.18,1.22,1.02,1.67,61.2,1.46,0.88,0.58,1.19,4.66,0.07
