Rk,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG
2417,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2418,40,10,25.0,2.07,0.52,0.08,0.30,19.1,2.5,2.5,0.06,+0.5,+0.5
2419,2,0,0.0,0.19,0.00,0.00,,21.2,0.0,0.0,0.02,0.0,0.0
2420,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2421,21,7,33.3,2.02,0.67,0.14,0.43,11.9,3.5,3.5,0.19,-0.5,-0.5
2422,7,3,42.9,1.53,0.66,0.00,0.00,16.8,0.4,0.4,0.06,-0.4,-0.4
2423,1,0,0.0,5.00,0.00,0.00,,16.5,0.0,0.0,0.02,0.0,0.0
2424,31,6,19.4,1.23,0.24,0.06,0.33,25.2,5.9,1.9,0.06,+0.1,+0.1
2425,3,0,0.0,0.30,0.00,0.00,,28.2,0.2,0.2,0.06,-0.2,-0.2
2426,7,1,14.3,0.35,0.05,0.00,0.00,18.7,0.6,0.6,0.08,-0.6,-0.6
2427,15,5,33.3,1.85,0.62,0.13,0.40,19.1,3.3,2.5,0.17,-0.3,-0.5
2428,34,15,44.1,1.19,0.52,0.18,0.40,15.9,3.7,3.7,0.11,+2.3,+2.3
2429,6,1,16.7,0.87,0.14,0.00,0.00,26.9,0.2,0.2,0.04,-0.2,-0.2
2430,7,3,42.9,2.39,1.02,0.00,0.00,13.8,1.0,1.0,0.15,-1.0,-1.0
2431,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2432,14,4,28.6,0.50,0.14,0.21,0.75,9.4,0.8,0.8,0.06,+2.2,+2.2
2433,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2434,30,11,36.7,1.26,0.46,0.07,0.18,11.3,3.9,3.9,0.13,-1.9,-1.9
2435,35,12,34.3,3.94,1.35,0.03,0.08,14.6,3.4,3.4,0.10,-2.4,-2.4
2436,14,2,14.3,2.00,0.29,0.07,0.50,19.7,2.4,1.6,0.12,-1.4,-0.6
2437,2,1,50.0,1.23,0.62,0.50,1.00,6.2,0.6,0.6,0.31,+0.4,+0.4
2438,33,12,36.4,1.66,0.60,0.06,0.17,16.5,4.1,3.3,0.10,-1.1,-1.3
2439,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2440,79,31,39.2,2.68,1.05,0.09,0.23,21.1,8.3,6.7,0.08,-0.3,+0.3
2441,19,7,36.8,0.78,0.29,0.05,0.14,16.1,0.8,0.8,0.04,+0.2,+0.2
2442,27,8,29.6,3.48,1.03,0.07,0.25,13.9,2.5,2.5,0.09,-0.5,-0.5
2443,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2444,5,3,60.0,0.50,0.30,0.00,0.00,22.2,0.2,0.2,0.04,-0.2,-0.2
2445,12,2,16.7,17.42,2.90,0.00,0.00,18.1,0.9,0.9,0.08,-0.9,-0.9
2446,14,3,21.4,0.77,0.16,0.00,0.00,17.2,1.0,1.0,0.07,-1.0,-1.0
2447,10,3,30.0,0.49,0.15,0.00,0.00,16.0,1.3,1.3,0.13,-1.3,-1.3
2448,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2449,69,20,29.0,2.58,0.75,0.12,0.40,21.9,3.6,3.6,0.05,+4.4,+4.4
2450,18,8,44.4,0.75,0.33,0.11,0.25,16.7,2.3,2.3,0.13,-0.3,-0.3
2451,4,1,25.0,0.51,0.13,0.00,0.00,13.7,0.7,0.7,0.17,-0.7,-0.7
2452,7,1,14.3,0.39,0.06,0.14,1.00,13.2,0.6,0.6,0.09,+0.4,+0.4
2453,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2454,32,7,21.9,2.29,0.50,0.09,0.43,19.8,1.8,1.8,0.06,+1.2,+1.2
2455,3,1,33.3,0.17,0.06,0.00,0.00,9.5,0.2,0.2,0.06,-0.2,-0.2
2456,5,2,40.0,3.75,1.50,0.00,0.00,12.9,0.5,0.5,0.10,-0.5,-0.5
2457,1,1,100.0,0.23,0.23,0.00,0.00,7.1,0.0,0.0,0.05,0.0,0.0
2458,2,0,0.0,0.08,0.00,0.00,,26.9,0.1,0.1,0.03,-0.1,-0.1
2459,15,5,33.3,3.82,1.27,0.00,0.00,15.6,2.0,2.0,0.13,-2.0,-2.0
2460,3,1,33.3,0.78,0.26,0.33,1.00,15.5,1.0,1.0,0.34,0.0,0.0
2461,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2462,3,0,0.0,0.77,0.00,0.00,,28.4,0.0,0.0,0.01,0.0,0.0
2463,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
