Rk,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,npxG,npxG/Sh,G-xG,np:G-xG
2587,42,15,35.7,1.58,0.56,0.14,0.40,15.8,4.4,4.4,0.10,+1.6,+1.6
2588,39,11,28.2,1.67,0.47,0.03,0.09,18.3,3.4,3.4,0.09,-2.4,-2.4
2589,77,29,37.7,2.58,0.97,0.17,0.45,11.8,14.3,14.3,0.19,-1.3,-1.3
2590,21,9,42.9,1.37,0.59,0.14,0.33,17.6,2.7,2.7,0.13,+0.3,+0.3
2591,14,5,35.7,0.78,0.28,0.14,0.40,20.0,1.3,1.3,0.09,+0.7,+0.7
2592,2,0,0.0,0.15,0.00,0.00,,12.2,0.2,0.2,0.09,-0.2,-0.2
2593,52,18,34.6,1.96,0.68,0.15,0.44,15.1,8.2,8.2,0.16,-0.2,-0.2
2594,22,9,40.9,2.72,1.11,0.14,0.33,13.0,2.6,2.6,0.16,+0.4,+0.4
2595,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2596,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2597,9,1,11.1,0.31,0.03,0.00,0.00,17.9,0.6,0.6,0.07,-0.6,-0.6
2598,8,5,62.5,0.49,0.31,0.13,0.20,14.4,1.6,1.6,0.21,-0.6,-0.6
2599,15,3,20.0,1.34,0.27,0.00,0.00,23.8,0.5,0.5,0.03,-0.5,-0.5
2600,38,13,34.2,1.96,0.67,0.03,0.08,18.9,3.2,2.4,0.06,-1.2,-1.4
2601,12,3,25.0,0.52,0.13,0.00,0.00,18.6,0.6,0.6,0.05,-0.6,-0.6
2602,3,0,0.0,0.28,0.00,0.00,,19.5,0.1,0.1,0.02,-0.1,-0.1
2603,38,11,28.9,2.69,0.78,0.00,0.00,18.5,3.4,2.6,0.07,-2.4,-2.6
2604,27,10,37.0,2.35,0.87,0.04,0.10,13.5,2.7,2.7,0.10,-1.7,-1.7
2605,17,3,17.6,1.33,0.23,0.12,0.67,14.9,1.5,1.5,0.09,+0.5,+0.5
2606,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2607,17,7,41.2,0.72,0.30,0.24,0.57,9.9,3.7,3.7,0.22,+0.3,+0.3
2608,3,2,66.7,0.62,0.41,0.33,0.50,15.8,0.7,0.7,0.22,+0.3,+0.3
2609,51,21,41.2,3.17,1.30,0.08,0.19,17.4,6.0,6.0,0.12,-2.0,-2.0
2610,13,1,7.7,1.67,0.13,0.00,0.00,19.3,0.8,0.8,0.06,-0.8,-0.8
2611,3,0,0.0,0.22,0.00,0.00,,14.7,0.2,0.2,0.05,-0.2,-0.2
2612,38,15,39.5,2.82,1.11,0.18,0.47,16.6,5.5,5.5,0.15,+1.5,+1.5
2613,9,3,33.3,0.50,0.17,0.00,0.00,20.4,0.5,0.5,0.06,-0.5,-0.5
2614,12,5,41.7,0.44,0.18,0.17,0.40,15.4,1.0,1.0,0.08,+1.0,+1.0
2615,30,7,23.3,1.51,0.35,0.03,0.14,22.3,1.5,1.5,0.05,-0.5,-0.5
2616,4,0,0.0,2.31,0.00,0.00,,16.7,0.3,0.3,0.07,-0.3,-0.3
2617,1,0,0.0,0.32,0.00,0.00,,7.1,0.0,0.0,0.03,0.0,0.0
2618,31,8,25.8,1.22,0.32,0.00,0.00,27.4,3.0,1.4,0.04,-1.0,-1.4
2619,18,9,50.0,0.79,0.39,0.06,0.11,11.4,1.7,1.7,0.10,-0.7,-0.7
2620,25,6,24.0,1.43,0.34,0.00,0.00,18.0,1.5,1.5,0.06,-1.5,-1.5
2621,20,7,35.0,1.49,0.52,0.05,0.14,23.7,1.2,1.2,0.06,-0.2,-0.2
2622,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2623,11,7,63.6,2.63,1.67,0.18,0.29,16.0,1.5,1.5,0.14,+0.5,+0.5
2624,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2625,20,7,35.0,3.17,1.11,0.05,0.14,19.4,0.9,0.9,0.05,+0.1,+0.1
2626,11,1,9.1,1.21,0.11,0.00,0.00,27.9,0.3,0.3,0.03,-0.3,-0.3
2627,1,1,100.0,4.50,4.50,1.00,1.00,17.3,0.1,0.1,0.08,+0.9,+0.9
2628,1,0,0.0,5.63,0.00,0.00,,18.1,0.1,0.1,0.06,-0.1,-0.1
2629,18,2,11.1,0.71,0.08,0.00,0.00,24.3,0.5,0.5,0.03,-0.5,-0.5
2630,10,4,40.0,0.41,0.16,0.20,0.50,11.9,0.8,0.8,0.08,+1.2,+1.2
2631,11,1,9.1,0.40,0.04,0.00,0.00,28.0,0.3,0.3,0.02,-0.3,-0.3
2632,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2633,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2634,18,3,16.7,1.17,0.20,0.00,0.00,19.6,0.9,0.9,0.05,-0.9,-0.9
2635,5,0,0.0,1.07,0.00,0.00,,19.7,0.5,0.5,0.09,-0.5,-0.5
2636,6,3,50.0,1.75,0.87,0.00,0.00,20.5,0.5,0.5,0.08,-0.5,-0.5
2637,6,4,66.7,0.33,0.22,0.00,0.00,20.5,0.6,0.5,0.08,-0.6,-0.5
2638,8,2,25.0,0.32,0.08,0.13,0.50,23.8,0.7,0.7,0.08,+0.3,+0.3
2639,60,22,36.7,3.27,1.20,0.20,0.55,16.1,7.9,7.9,0.13,+4.1,+4.1
2640,20,7,35.0,0.84,0.29,0.05,0.14,20.7,1.7,1.7,0.08,-0.7,-0.7
2641,8,2,25.0,0.28,0.07,0.00,0.00,13.0,0.4,0.4,0.05,-0.4,-0.4
2642,3,0,0.0,0.40,0.00,0.00,,23.8,0.1,0.1,0.03,-0.1,-0.1
2643,44,15,34.1,1.93,0.66,0.18,0.53,17.0,6.2,6.2,0.14,+1.8,+1.8
2644,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2645,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2646,23,10,43.5,1.23,0.53,0.00,0.00,24.6,1.2,1.2,0.05,-1.2,-1.2
2647,18,7,38.9,0.62,0.24,0.06,0.14,12.7,1.4,1.4,0.08,-0.4,-0.4
2648,9,5,55.6,0.34,0.19,0.22,0.40,10.1,2.4,2.4,0.27,-0.4,-0.4
2649,19,7,36.8,0.63,0.23,0.16,0.43,12.3,1.4,1.4,0.07,+1.6,+1.6
2650,10,1,10.0,0.47,0.05,0.00,0.00,23.4,0.6,0.6,0.06,-0.6,-0.6
2651,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2652,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2653,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2654,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2655,23,8,34.8,6.31,2.20,0.09,0.25,12.5,2.9,2.9,0.13,-0.9,-0.9
2656,1,0,0.0,0.64,0.00,0.00,,18.5,0.1,0.1,0.10,-0.1,-0.1
2657,106,51,48.1,4.57,2.20,0.17,0.35,17.4,15.0,14.3,0.13,+3.0,+3.7
2658,11,4,36.4,0.56,0.20,0.09,0.25,10.5,1.7,1.7,0.15,-0.7,-0.7
2659,17,6,35.3,1.65,0.58,0.00,0.00,17.6,1.1,1.1,0.07,-1.1,-1.1
2660,12,5,41.7,2.90,1.21,0.00,0.00,14.9,2.0,2.0,0.17,-2.0,-2.0
2661,58,24,41.4,2.13,0.88,0.12,0.29,17.9,12.9,9.0,0.16,-1.9,-2.0
2662,17,6,35.3,1.29,0.46,0.12,0.33,17.2,1.3,1.3,0.08,+0.7,+0.7
2663,15,7,46.7,0.50,0.23,0.07,0.14,12.7,1.7,1.7,0.11,-0.7,-0.7
2664,19,3,15.8,1.45,0.23,0.00,0.00,24.4,0.9,0.9,0.05,-0.9,-0.9
2665,9,0,0.0,0.34,0.00,0.00,,19.6,0.3,0.3,0.04,-0.3,-0.3
2666,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2667,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2668,56,18,32.1,1.74,0.56,0.04,0.11,23.0,3.5,3.5,0.06,-1.5,-1.5
2669,21,7,33.3,0.99,0.33,0.05,0.14,19.3,1.5,1.5,0.07,-0.5,-0.5
2670,2,0,0.0,0.63,0.00,0.00,,9.8,0.2,0.2,0.08,-0.2,-0.2
2671,45,14,31.1,1.27,0.40,0.04,0.14,12.6,2.8,2.8,0.06,-0.8,-0.8
2672,30,10,33.3,1.65,0.55,0.10,0.30,21.6,2.1,2.1,0.07,+0.9,+0.9
2673,8,2,25.0,0.52,0.13,0.13,0.50,9.2,1.3,1.3,0.16,-0.3,-0.3
2674,49,17,34.7,2.25,0.78,0.08,0.24,17.4,3.9,3.9,0.08,+0.1,+0.1
2675,34,10,29.4,1.07,0.32,0.03,0.10,13.6,1.9,1.9,0.05,-0.9,-0.9
2676,27,5,18.5,0.74,0.14,0.00,0.00,33.8,7.3,1.0,0.04,-0.3,-1.0
2677,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2678,7,2,28.6,0.88,0.25,0.14,0.50,14.1,1.2,1.2,0.17,-0.2,-0.2
2679,2,1,50.0,0.26,0.13,0.00,0.00,20.8,0.0,0.0,0.02,0.0,0.0
2680,12,7,58.3,0.76,0.44,0.25,0.43,13.4,1.2,1.1,0.09,+1.8,+1.9
2681,33,11,33.3,2.58,0.86,0.18,0.55,15.7,3.7,3.7,0.11,+2.3,+2.3
2682,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2683,2,1,50.0,3.60,1.80,0.50,1.00,8.9,0.2,0.2,0.12,+0.8,+0.8
2684,2,2,100.0,5.14,5.14,0.00,0.00,10.1,0.2,0.2,0.11,-0.2,-0.2
2685,6,3,50.0,0.28,0.14,0.33,0.67,16.1,1.7,1.7,0.29,+0.3,+0.3
2686,5,3,60.0,0.28,0.17,0.20,0.33,14.2,0.4,0.4,0.08,+0.6,+0.6
2687,8,3,37.5,0.31,0.12,0.38,1.00,16.0,0.6,0.6,0.08,+2.4,+2.4
2688,3,1,33.3,0.74,0.25,0.00,0.00,25.9,0.1,0.1,0.03,-0.1,-0.1
2689,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2690,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2691,36,8,22.2,1.48,0.33,0.03,0.13,22.9,2.9,2.9,0.08,-1.9,-1.9
2692,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2693,24,9,37.5,3.64,1.37,0.13,0.33,16.8,2.7,2.7,0.11,+0.3,+0.3
2694,17,5,29.4,1.00,0.29,0.06,0.20,20.7,2.7,1.1,0.07,+0.3,-0.1
2695,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2696,15,8,53.3,1.21,0.65,0.13,0.25,15.2,2.3,2.3,0.16,-0.3,-0.3
2697,3,1,33.3,2.81,0.94,0.33,1.00,12.4,0.3,0.3,0.10,+0.7,+0.7
2698,8,3,37.5,1.73,0.65,0.00,0.00,12.3,1.0,1.0,0.13,-1.0,-1.0
2699,6,1,16.7,1.82,0.30,0.00,0.00,18.0,1.3,0.5,0.08,-0.3,-0.5
2700,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2701,12,4,33.3,1.75,0.58,0.00,0.00,24.0,2.3,0.7,0.06,-0.3,-0.7
2702,12,5,41.7,1.18,0.49,0.00,0.00,18.7,1.3,1.3,0.11,-1.3,-1.3
2703,1,0,0.0,0.29,0.00,0.00,,15.6,0.0,0.0,0.03,0.0,0.0
2704,7,4,57.1,1.84,1.05,0.14,0.25,15.1,1.7,1.7,0.24,-0.7,-0.7
2705,28,10,35.7,1.83,0.66,0.14,0.40,14.7,4.1,4.1,0.15,-0.1,-0.1
2706,1,1,100.0,6.92,6.92,0.00,0.00,18.9,0.0,0.0,0.02,0.0,0.0
2707,12,6,50.0,2.11,1.05,0.17,0.33,11.5,1.7,1.7,0.14,+0.3,+0.3
2708,22,4,18.2,1.10,0.20,0.05,0.25,22.5,1.9,1.9,0.08,-0.9,-0.9
2709,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2710,8,2,25.0,0.71,0.18,0.00,0.00,22.3,0.3,0.3,0.04,-0.3,-0.3
2711,2,0,0.0,0.64,0.00,0.00,,31.5,0.0,0.0,0.02,0.0,0.0
2712,9,5,55.6,2.57,1.43,0.22,0.40,10.9,1.6,1.6,0.18,+0.4,+0.4
2713,37,11,29.7,2.76,0.82,0.14,0.45,22.3,3.4,2.6,0.07,+1.6,+2.4
2714,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2715,10,6,60.0,0.96,0.58,0.00,0.00,15.0,1.3,1.3,0.13,-1.3,-1.3
2716,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2717,4,1,25.0,0.37,0.09,0.25,1.00,6.3,1.0,1.0,0.24,0.0,0.0
2718,14,5,35.7,4.42,1.58,0.14,0.40,14.4,1.1,1.1,0.08,+0.9,+0.9
2719,37,9,24.3,3.61,0.88,0.08,0.33,12.1,5.1,5.1,0.14,-2.1,-2.1
2720,45,19,42.2,1.90,0.80,0.16,0.37,21.5,3.1,3.1,0.07,+3.9,+3.9
2721,25,4,16.0,0.97,0.16,0.00,0.00,18.0,1.6,1.6,0.06,-1.6,-1.6
2722,11,1,9.1,0.34,0.03,0.00,0.00,13.5,0.6,0.6,0.05,-0.6,-0.6
2723,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2724,106,35,33.0,4.14,1.37,0.13,0.40,15.8,16.6,13.3,0.13,-0.6,+0.7
2725,46,11,23.9,1.59,0.38,0.07,0.27,20.1,2.4,2.4,0.05,+0.6,+0.6
2726,5,0,0.0,0.38,0.00,0.00,,13.9,0.4,0.4,0.08,-0.4,-0.4
2727,2,1,50.0,0.14,0.07,0.00,0.00,18.8,0.7,0.7,0.34,-0.7,-0.7
2728,1,0,0.0,0.07,0.00,0.00,,14.3,0.0,0.0,0.03,0.0,0.0
2729,9,4,44.4,0.59,0.26,0.00,0.00,21.0,0.4,0.4,0.04,-0.4,-0.4
2730,33,10,30.3,2.21,0.67,0.03,0.10,19.7,5.3,2.9,0.09,-2.3,-1.9
2731,12,6,50.0,1.67,0.84,0.08,0.17,23.2,0.5,0.5,0.04,+0.5,+0.5
2732,4,2,50.0,0.31,0.16,0.00,0.00,24.5,0.1,0.1,0.03,-0.1,-0.1
2733,10,3,30.0,0.57,0.17,0.10,0.33,12.3,0.6,0.6,0.06,+0.4,+0.4
2734,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2735,59,30,50.8,3.14,1.60,0.14,0.27,13.3,11.5,10.7,0.18,-2.5,-2.7
2736,27,9,33.3,0.75,0.25,0.07,0.22,27.3,0.8,0.8,0.03,+1.2,+1.2
2737,42,15,35.7,3.30,1.18,0.07,0.20,22.3,2.9,2.1,0.05,+0.1,+0.9
2738,16,3,18.8,0.52,0.10,0.00,0.00,29.4,0.4,0.4,0.02,-0.4,-0.4
2739,4,2,50.0,0.18,0.09,0.00,0.00,18.5,0.1,0.1,0.04,-0.1,-0.1
2740,3,1,33.3,0.15,0.05,0.00,0.00,20.2,0.1,0.1,0.04,-0.1,-0.1
2741,10,0,0.0,0.45,0.00,0.00,,18.0,0.9,0.9,0.09,-0.9,-0.9
2742,42,16,38.1,1.26,0.48,0.12,0.31,22.8,6.0,4.4,0.11,+1.0,+0.6
2743,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2744,1,0,0.0,6.92,0.00,0.00,,9.0,0.5,0.5,0.47,-0.5,-0.5
2745,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2746,107,47,43.9,2.99,1.31,0.18,0.40,12.8,16.8,16.8,0.16,+2.2,+2.2
2747,12,2,16.7,0.86,0.14,0.00,0.00,20.0,1.5,1.5,0.13,-1.5,-1.5
2748,8,0,0.0,0.63,0.00,0.00,,9.9,0.4,0.4,0.05,-0.4,-0.4
2749,38,14,36.8,1.73,0.64,0.16,0.43,13.3,7.2,6.4,0.17,-0.2,-0.4
2750,17,4,23.5,0.55,0.13,0.00,0.00,25.2,2.4,0.9,0.05,-0.4,-0.9
2751,2,0,0.0,1.45,0.00,0.00,,8.2,0.5,0.5,0.24,-0.5,-0.5
2752,44,13,29.5,1.50,0.44,0.07,0.23,14.7,3.8,3.8,0.09,-0.8,-0.8
2753,3,1,33.3,0.36,0.12,0.33,1.00,13.9,0.4,0.4,0.14,+0.6,+0.6
2754,6,1,16.7,1.09,0.18,0.17,1.00,11.2,1.0,1.0,0.17,0.0,0.0
2755,1,0,0.0,1.10,0.00,0.00,,13.1,0.0,0.0,0.04,0.0,0.0
2756,41,16,39.0,2.18,0.85,0.12,0.31,14.5,5.3,5.3,0.13,-0.3,-0.3
2757,29,7,24.1,3.23,0.78,0.07,0.29,14.1,3.7,3.7,0.13,-1.7,-1.7
2758,8,5,62.5,3.48,2.17,0.13,0.20,17.8,2.4,1.6,0.20,-0.4,-0.6
2759,10,1,10.0,0.69,0.07,0.00,0.00,24.2,0.3,0.3,0.03,-0.3,-0.3
2760,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2761,13,6,46.2,0.39,0.18,0.31,0.67,13.2,1.2,1.2,0.09,+2.8,+2.8
2762,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2763,14,3,21.4,1.01,0.22,0.07,0.33,15.4,1.4,1.4,0.10,-0.4,-0.4
2764,4,0,0.0,0.37,0.00,0.00,,9.8,0.3,0.3,0.08,-0.3,-0.3
2765,3,2,66.7,1.55,1.03,0.33,0.50,10.1,0.1,0.1,0.03,+0.9,+0.9
2766,93,43,46.2,2.94,1.36,0.13,0.28,15.4,9.4,9.4,0.10,+2.6,+2.6
2767,15,4,26.7,0.82,0.22,0.00,0.00,18.9,0.8,0.8,0.05,-0.8,-0.8
2768,56,19,33.9,2.23,0.76,0.09,0.26,15.7,6.0,6.0,0.11,-1.0,-1.0
2769,43,16,37.2,1.89,0.70,0.05,0.13,20.4,5.1,3.6,0.08,-1.1,-1.6
2770,7,3,42.9,1.50,0.64,0.14,0.33,10.9,0.8,0.8,0.12,+0.2,+0.2
2771,33,18,54.5,3.00,1.63,0.21,0.39,11.8,8.8,7.2,0.22,+0.2,-0.2
2772,40,13,32.5,2.22,0.72,0.10,0.31,19.1,3.4,3.4,0.08,+0.6,+0.6
2773,4,1,25.0,0.78,0.20,0.25,1.00,20.0,0.1,0.1,0.04,+0.9,+0.9
2774,10,4,40.0,1.53,0.61,0.20,0.50,16.2,1.4,1.4,0.14,+0.6,+0.6
2775,72,34,47.2,2.44,1.15,0.15,0.32,16.1,9.4,8.5,0.12,+1.6,+2.5
2776,70,33,47.1,2.66,1.25,0.14,0.30,18.1,8.9,8.2,0.12,+2.1,+1.8
2777,67,24,35.8,2.42,0.87,0.18,0.50,12.9,10.6,10.6,0.16,+1.4,+1.4
2778,7,3,42.9,0.23,0.10,0.29,0.67,8.0,1.0,1.0,0.14,+1.0,+1.0
2779,26,8,30.8,2.19,0.67,0.12,0.38,25.5,1.3,1.3,0.05,+1.7,+1.7
2780,19,3,15.8,0.83,0.13,0.11,0.67,14.1,1.3,1.3,0.07,+0.7,+0.7
2781,9,1,11.1,0.69,0.08,0.00,0.00,17.4,0.6,0.6,0.06,-0.6,-0.6
2782,22,6,27.3,1.67,0.45,0.09,0.33,14.2,2.4,2.4,0.11,-0.4,-0.4
2783,18,8,44.4,2.56,1.14,0.11,0.25,17.5,1.8,1.8,0.10,+0.2,+0.2
2784,48,26,54.2,2.38,1.29,0.29,0.54,10.2,11.9,11.9,0.25,+2.1,+2.1
2785,16,4,25.0,3.37,0.84,0.06,0.25,18.7,1.4,1.4,0.09,-0.4,-0.4
2786,10,2,20.0,0.65,0.13,0.10,0.50,9.0,1.3,1.3,0.14,-0.3,-0.3
2787,2,0,0.0,0.41,0.00,0.00,,10.6,0.1,0.1,0.06,-0.1,-0.1
2788,5,0,0.0,1.49,0.00,0.00,,16.4,0.4,0.4,0.07,-0.4,-0.4
2789,45,14,31.1,1.44,0.45,0.07,0.21,25.5,1.8,1.8,0.04,+1.2,+1.2
2790,5,2,40.0,0.56,0.22,0.00,0.00,18.8,0.2,0.2,0.04,-0.2,-0.2
2791,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2792,58,21,36.2,2.37,0.86,0.09,0.24,17.5,5.2,5.2,0.09,-0.2,-0.2
2793,18,9,50.0,1.75,0.87,0.17,0.33,12.3,4.6,4.6,0.26,-1.6,-1.6
2794,11,5,45.5,1.44,0.65,0.00,0.00,18.9,1.0,1.0,0.09,-1.0,-1.0
2795,32,7,21.9,1.45,0.32,0.03,0.14,18.2,2.6,2.6,0.08,-1.6,-1.6
2796,40,14,35.0,2.74,0.96,0.13,0.36,16.5,5.4,5.4,0.14,-0.4,-0.4
2797,6,3,50.0,1.96,0.98,0.00,0.00,15.3,0.5,0.5,0.08,-0.5,-0.5
2798,10,4,40.0,1.92,0.77,0.00,0.00,11.9,1.4,1.4,0.14,-1.4,-1.4
2799,19,7,36.8,1.80,0.66,0.11,0.29,16.6,1.6,1.6,0.09,+0.4,+0.4
2800,15,5,33.3,1.16,0.39,0.07,0.20,20.6,0.7,0.7,0.05,+0.3,+0.3
2801,14,8,57.1,0.47,0.27,0.14,0.25,9.6,1.5,1.5,0.11,+0.5,+0.5
2802,13,2,15.4,0.51,0.08,0.00,0.00,21.9,0.6,0.6,0.05,-0.6,-0.6
2803,6,0,0.0,0.28,0.00,0.00,,11.4,0.4,0.4,0.06,-0.4,-0.4
2804,8,2,25.0,0.22,0.05,0.13,0.50,7.5,1.1,1.1,0.14,-0.1,-0.1
2805,42,13,31.0,1.93,0.60,0.14,0.46,17.6,4.7,4.7,0.12,+1.3,+1.3
2806,11,2,18.2,0.68,0.12,0.09,0.50,11.0,1.0,1.0,0.09,0.0,0.0
2807,2,1,50.0,0.48,0.24,0.50,1.00,19.3,0.3,0.3,0.15,+0.7,+0.7
2808,14,4,28.6,0.64,0.18,0.14,0.50,17.9,1.4,1.4,0.10,+0.6,+0.6
2809,26,10,38.5,1.09,0.42,0.15,0.40,21.6,1.4,1.4,0.05,+2.6,+2.6
2810,33,9,27.3,2.42,0.66,0.03,0.11,21.6,2.4,2.4,0.07,-1.4,-1.4
2811,1,0,0.0,0.13,0.00,0.00,,34.5,0.0,0.0,0.01,0.0,0.0
2812,16,1,6.3,1.49,0.09,0.00,0.00,19.8,0.8,0.8,0.05,-0.8,-0.8
2813,33,6,18.2,1.07,0.19,0.00,0.00,16.6,3.4,3.3,0.10,-3.4,-3.3
2814,27,10,37.0,2.90,1.07,0.07,0.20,14.0,2.6,2.6,0.09,-0.6,-0.6
2815,3,1,33.3,0.29,0.10,0.00,0.00,12.7,0.2,0.2,0.06,-0.2,-0.2
2816,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2817,99,38,38.4,3.09,1.19,0.12,0.32,13.3,10.9,10.9,0.11,+1.1,+1.1
2818,5,2,40.0,4.02,1.61,0.20,0.50,12.3,0.4,0.4,0.08,+0.6,+0.6
2819,19,5,26.3,0.67,0.18,0.05,0.20,18.7,1.5,1.5,0.08,-0.5,-0.5
2820,37,10,27.0,1.78,0.48,0.05,0.20,17.1,2.2,2.2,0.06,-0.2,-0.2
2821,33,18,54.5,1.81,0.99,0.15,0.28,17.7,3.8,3.0,0.09,+2.2,+2.0
2822,7,4,57.1,3.44,1.97,0.00,0.00,15.4,0.5,0.5,0.07,-0.5,-0.5
2823,3,1,33.3,1.78,0.59,0.00,0.00,20.9,0.2,0.2,0.06,-0.2,-0.2
2824,6,2,33.3,1.34,0.45,0.33,1.00,19.7,0.6,0.6,0.10,+1.4,+1.4
2825,19,1,5.3,1.39,0.07,0.00,0.00,19.3,1.4,1.4,0.08,-1.4,-1.4
2826,5,3,60.0,0.43,0.26,0.20,0.33,13.0,0.8,0.8,0.16,+0.2,+0.2
2827,1,0,0.0,0.03,0.00,0.00,,12.3,0.0,0.0,0.01,0.0,0.0
2828,6,2,33.3,0.79,0.26,0.00,0.00,20.1,0.4,0.4,0.06,-0.4,-0.4
2829,3,1,33.3,1.80,0.60,0.00,0.00,18.7,0.2,0.2,0.08,-0.2,-0.2
2830,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2831,16,2,12.5,0.88,0.11,0.00,0.00,20.3,1.3,1.3,0.08,-1.3,-1.3
2832,1,0,0.0,0.04,0.00,0.00,,9.5,0.1,0.1,0.10,-0.1,-0.1
2833,3,0,0.0,0.26,0.00,0.00,,16.9,0.3,0.3,0.11,-0.3,-0.3
2834,82,29,35.4,3.23,1.14,0.07,0.21,20.3,6.2,6.2,0.08,-0.2,-0.2
2835,29,8,27.6,1.36,0.37,0.07,0.25,21.4,2.6,1.8,0.06,+0.4,+0.2
2836,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2837,4,1,25.0,0.30,0.07,0.00,0.00,13.8,0.3,0.3,0.07,-0.3,-0.3
2838,17,3,17.6,0.89,0.16,0.06,0.33,24.0,0.6,0.6,0.03,+0.4,+0.4
2839,84,29,34.5,2.74,0.95,0.11,0.31,17.8,9.0,7.4,0.09,+2.0,+1.6
2840,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2841,0,0,,0.00,0.00,,,,0.0,0.0,,0.0,0.0
2842,10,4,40.0,0.72,0.29,0.10,0.25,22.3,0.4,0.4,0.04,+0.6,+0.6
2843,2,1,50.0,1.21,0.60,0.50,1.00,22.2,0.1,0.1,0.04,+0.9,+0.9
2844,16,7,43.8,0.51,0.22,0.19,0.43,9.1,1.8,1.8,0.12,+1.2,+1.2
2845,12,0,0.0,0.43,0.00,0.00,,13.4,0.8,0.8,0.06,-0.8,-0.8
2846,22,11,50.0,0.75,0.37,0.18,0.36,14.8,2.7,2.7,0.12,+1.3,+1.3
2847,16,6,37.5,1.66,0.62,0.25,0.67,18.1,1.0,1.0,0.06,+3.0,+3.0
2848,1,1,100.0,0.55,0.55,1.00,1.00,16.8,0.1,0.1,0.07,+0.9,+0.9
2849,75,21,28.0,2.18,0.61,0.08,0.29,20.2,7.4,5.8,0.08,+0.6,+0.2
2850,22,13,59.1,1.64,0.97,0.18,0.31,12.5,4.5,2.2,0.10,+0.5,+1.8
2851,26,6,23.1,1.86,0.43,0.15,0.67,10.7,3.0,3.0,0.11,+1.0,+1.0
2852,7,1,14.3,0.55,0.08,0.00,0.00,20.5,0.2,0.2,0.03,-0.2,-0.2
