Rk,Touches90,TakeOnAtt90,TakeOnSucc90,Succ%,Carries90,CarriesTotDist90,CarriesPrgDist90,PrgC90,Caries1/3(90),CPA90,Mis90,Dis90,Rec90,PrgR90
1,51.89781021897811,2.4817518248175183,1.0218978102189782,41.2,26.56934306569343,158.68613138686132,81.82481751824818,1.6058394160583942,0.8759124087591241,0.5109489051094891,0.9489051094890512,0.5839416058394161,27.08029197080292,1.8978102189781023
2,47.87234042553192,5.460992907801419,2.4113475177304964,44.2,28.79432624113475,192.97872340425533,98.36879432624114,2.624113475177305,2.0567375886524824,0.6382978723404256,2.9078014184397163,2.6950354609929077,32.4113475177305,6.453900709219858
3,65.45454545454545,6.363636363636363,1.8181818181818181,28.6,39.090909090909086,175.45454545454544,45.45454545454545,1.8181818181818181,0.0,0.9090909090909091,4.545454545454545,3.6363636363636362,41.81818181818181,6.363636363636363
4,inf,,,,inf,inf,,,,,,,inf,
5,70.71197411003237,0.4854368932038835,0.25889967637540456,53.3,48.737864077669904,280.3559870550162,159.25566343042073,1.1650485436893205,0.6148867313915858,0.0,0.7443365695792881,0.12944983818770228,45.40453074433657,0.29126213592233013
6,60.473372781065095,1.124260355029586,0.4142011834319527,36.8,48.69822485207101,258.0473372781065,99.58579881656806,0.5325443786982249,1.9526627218934913,0.0,1.3609467455621302,0.6508875739644971,46.15384615384616,1.183431952662722
7,43.5,0.0,0.0,,23.5,163.0,91.5,0.0,0.0,0.0,0.5,0.5,27.0,0.0
8,68.0503144654088,2.044025157232704,1.3836477987421383,67.7,51.855345911949684,273.80503144654085,122.38993710691824,1.1949685534591195,1.540880503144654,0.09433962264150943,1.0062893081761006,0.9433962264150944,47.23270440251572,1.6037735849056602
9,33.275862068965516,2.844827586206897,1.6379310344827587,57.6,25.344827586206897,170.60344827586206,78.10344827586208,2.413793103448276,2.0689655172413794,1.206896551724138,4.310344827586207,1.206896551724138,24.74137931034483,7.5
10,61.92307692307693,0.8333333333333334,0.44871794871794873,53.8,28.653846153846153,115.51282051282051,60.833333333333336,0.8974358974358975,0.6410256410256411,0.32051282051282054,1.153846153846154,0.7051282051282052,32.17948717948718,3.717948717948718
11,36.30952380952381,3.6904761904761902,0.9523809523809523,25.8,27.738095238095237,196.54761904761904,88.69047619047619,2.738095238095238,1.5476190476190474,0.9523809523809523,2.619047619047619,1.4285714285714286,27.26190476190476,8.928571428571429
12,40.1556420233463,0.19455252918287938,0.11673151750972763,60.0,19.14396887159533,95.71984435797665,55.175097276264594,0.27237354085603116,0.23346303501945526,0.0,0.5836575875486382,0.038910505836575876,19.416342412451364,0.038910505836575876
13,25.555555555555554,2.222222222222222,0.7407407407407407,33.3,13.703703703703702,77.03703703703704,41.11111111111111,2.222222222222222,0.7407407407407407,0.7407407407407407,3.333333333333333,0.7407407407407407,19.62962962962963,5.555555555555555
14,74.60377358490567,0.11320754716981132,0.07547169811320754,66.7,45.698113207547166,218.0754716981132,116.26415094339623,0.7924528301886793,0.41509433962264153,0.0,0.1509433962264151,0.03773584905660377,54.56603773584906,0.9056603773584906
15,60.0,0.0,0.0,,10.0,180.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,68.33333333333333,1.4583333333333333,0.6944444444444444,47.6,32.84722222222222,157.36111111111111,85.0,1.597222222222222,1.3888888888888888,0.2777777777777778,1.3888888888888888,1.1111111111111112,37.916666666666664,2.9166666666666665
17,26.046511627906977,5.116279069767442,1.1627906976744187,22.7,16.74418604651163,107.44186046511628,40.46511627906977,1.627906976744186,1.1627906976744187,0.6976744186046512,2.3255813953488373,1.627906976744186,16.046511627906977,3.255813953488372
18,37.85714285714286,4.464285714285714,2.3214285714285716,52.0,27.142857142857146,213.39285714285717,104.46428571428572,4.107142857142858,2.678571428571429,1.25,3.3928571428571432,1.6071428571428572,25.0,8.035714285714286
19,25.52,1.76,0.56,31.8,17.68,106.92,40.16,1.6,0.92,0.88,2.72,1.2,18.88,5.08
20,70.0,2.3076923076923075,1.5384615384615383,66.7,33.84615384615385,148.46153846153845,89.23076923076923,3.0769230769230766,0.7692307692307692,1.5384615384615383,2.3076923076923075,0.0,40.0,0.7692307692307692
21,45.0,2.5,0.0,0.0,24.166666666666668,117.5,40.0,0.8333333333333334,0.8333333333333334,0.0,4.166666666666667,4.166666666666667,27.5,4.166666666666667
22,35.056179775280896,2.0224719101123596,0.7865168539325842,38.9,18.202247191011235,91.46067415730337,38.651685393258425,1.6853932584269662,1.0112359550561798,0.5617977528089887,3.033707865168539,1.9101123595505618,20.56179775280899,4.719101123595506
23,77.22222222222223,0.16666666666666666,0.05555555555555555,33.3,45.388888888888886,253.33333333333334,147.83333333333334,0.5555555555555556,0.6666666666666666,0.05555555555555555,0.2222222222222222,0.2222222222222222,56.05555555555556,0.2777777777777778
24,29.240506329113924,4.240506329113924,1.1392405063291138,26.9,16.772151898734176,95.94936708860759,26.89873417721519,1.0126582278481011,0.9493670886075949,0.8227848101265822,3.9240506329113924,2.151898734177215,21.32911392405063,6.962025316455696
25,45.34653465346535,5.9405940594059405,1.7821782178217822,30.0,30.693069306930695,238.91089108910893,115.94059405940594,5.148514851485149,2.1782178217821784,2.6732673267326734,2.871287128712871,2.4752475247524752,31.485148514851485,9.504950495049505
26,46.92307692307693,4.9797570850202435,2.0242914979757085,40.7,31.295546558704455,204.97975708502025,121.29554655870446,4.493927125506073,1.9433198380566803,2.5506072874493926,1.9433198380566803,1.1336032388663968,32.18623481781377,11.25506072874494
27,58.768115942028984,0.36231884057971014,0.2898550724637681,80.0,40.14492753623188,254.05797101449275,116.59420289855072,0.7246376811594203,0.8695652173913043,0.0,0.8695652173913043,0.36231884057971014,37.028985507246375,0.2898550724637681
28,57.5,2.7,1.3,48.1,33.9,176.8,102.1,3.2,2.5,1.6,1.7,1.0,46.0,13.1
29,92.24358974358975,2.0512820512820515,1.4102564102564104,68.8,55.96153846153846,303.0769230769231,137.43589743589743,1.9230769230769231,1.7307692307692308,0.19230769230769232,1.153846153846154,0.6410256410256411,67.5,1.6666666666666667
30,90.0,0.0,0.0,,50.0,220.0,90.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
31,62.69230769230769,3.0769230769230766,1.923076923076923,62.5,52.69230769230769,359.2307692307692,173.46153846153845,6.9230769230769225,3.4615384615384612,1.5384615384615383,1.5384615384615383,1.5384615384615383,48.84615384615385,7.3076923076923075
32,68.30645161290322,1.0080645161290323,0.564516129032258,56.0,41.935483870967744,181.73387096774192,90.64516129032258,1.0483870967741935,0.9274193548387096,0.12096774193548386,1.0887096774193548,0.7661290322580645,52.74193548387097,2.217741935483871
33,76.31944444444444,1.0763888888888888,0.5208333333333334,48.4,54.93055555555556,354.96527777777777,189.58333333333334,1.4583333333333333,0.9027777777777778,0.06944444444444445,0.8333333333333333,0.798611111111111,48.78472222222222,0.6597222222222222
