Rk,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90
700,17.24,22.76,75.8,198.02,35.34,0.7,0.8,-0.7,0.86,0.34,0.52,0.09,1.72
701,28.71,34.14,84.1,556.02,107.46,1.3,1.8,-0.3,0.82,2.85,0.9,0.04,4.18
702,35.48,43.87,80.9,619.35,251.55,1.1,0.9,0.9,0.65,3.61,1.23,0.26,4.52
703,86.94,92.78,93.7,1505.77,477.75,0.3,1.9,-0.3,0.25,7.75,0.42,0.11,6.09
704,44.93,58.73,76.5,733.21,274.78,1.8,2.2,0.2,1.72,3.43,1.64,0.37,5.97
705,28.27,41.5,68.1,843.3,607.53,0.1,0.1,-0.1,0.07,1.17,0.03,0.0,0.03
706,31.25,36.75,85.0,471.5,82.25,0.1,0.2,-0.1,0.75,2.0,0.5,0.0,5.0
707,36.28,43.02,84.3,458.84,106.69,4.4,4.7,1.6,1.74,2.44,1.98,0.41,4.36
708,30.75,36.82,83.5,471.64,100.38,5.7,4.7,-0.7,2.19,2.12,1.54,0.1,3.87
709,26.11,41.11,63.5,560.56,199.44,0.0,0.0,0.0,0.0,1.11,0.0,0.0,1.11
710,20.0,41.0,48.8,278.0,22.0,0.2,0.2,0.8,1.0,0.0,0.0,0.0,0.0
711,21.58,33.68,64.1,345.79,99.47,0.2,0.2,-0.2,2.63,0.53,1.05,0.53,1.05
712,14.75,19.18,76.9,195.08,17.21,1.6,0.9,-0.6,1.31,0.49,0.33,0.0,0.66
713,56.82,64.09,88.7,940.91,471.36,0.0,0.0,0.0,0.0,1.36,0.0,0.0,1.36
714,80.15,87.92,91.2,1593.38,623.23,0.1,0.4,-0.1,0.15,4.69,0.08,0.08,4.08
715,18.75,32.5,57.7,652.5,512.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,16.25,23.75,68.4,168.75,15.0,0.1,0.0,-0.1,2.5,0.0,0.0,0.0,0.0
717,37.87,50.41,75.1,606.12,208.77,4.1,3.6,-1.1,1.38,1.83,1.27,0.56,2.87
718,44.46,57.49,77.3,761.73,238.66,8.5,7.5,-2.5,2.64,2.6,2.47,1.3,4.33
719,19.78,32.38,61.1,595.76,449.97,0.1,0.1,-0.1,0.05,0.76,0.0,0.0,0.0
720,32.95,43.09,76.5,506.68,138.2,2.9,3.7,0.1,0.92,2.86,0.88,0.14,3.64
721,17.28,27.86,62.0,282.48,105.71,3.7,3.7,1.3,1.22,2.21,1.12,0.51,3.03
722,52.63,57.58,91.4,979.29,387.98,0.7,0.4,-0.7,0.3,3.43,0.2,0.1,4.34
723,39.44,53.89,73.2,705.56,255.56,0.0,0.0,0.0,0.0,5.0,0.56,0.0,3.89
724,60.13,68.35,88.0,1116.84,403.23,0.0,0.4,0.0,0.0,3.8,0.19,0.0,4.18
725,26.0,32.0,81.3,377.45,89.27,0.8,0.9,-0.8,1.45,1.27,1.27,0.36,3.09
726,40.48,50.48,80.2,584.59,146.85,1.1,1.7,-1.1,1.44,3.15,0.96,0.0,5.48
727,30.0,38.26,78.4,764.18,498.44,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.09
728,70.77,78.61,90.0,1187.49,399.44,0.3,1.0,-0.3,0.1,4.01,0.28,0.03,3.9
729,60.0,65.0,92.3,1160.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
730,70.0,90.0,77.8,1200.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
731,31.2,40.62,76.8,572.83,210.65,0.3,0.7,-0.3,0.25,2.32,0.4,0.18,3.55
732,44.29,51.67,85.7,747.86,242.14,0.0,0.1,0.0,0.0,2.02,0.0,0.0,2.26
733,46.16,52.73,87.5,875.02,266.79,0.7,0.5,0.3,0.22,1.27,0.16,0.03,2.51
734,22.46,30.31,74.1,600.85,458.0,0.0,0.0,0.0,0.08,0.62,0.0,0.0,0.08
735,20.0,20.0,100.0,225.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,20.16,28.52,70.7,295.64,106.52,3.1,4.2,-1.1,1.24,1.96,0.88,0.16,3.12
737,16.92,25.0,67.7,206.54,36.54,0.5,0.1,-0.5,1.54,0.0,1.15,0.38,1.15
738,47.93,59.83,80.1,895.86,287.93,0.8,0.6,-0.8,1.72,4.31,1.55,0.52,6.72
739,30.75,38.29,80.3,572.29,218.0,0.2,1.0,-0.2,0.17,2.79,0.38,0.04,2.71
740,40.23,51.02,78.9,609.22,164.45,1.3,0.9,-1.3,0.94,1.72,0.55,0.08,2.42
741,27.28,36.74,74.3,492.17,170.11,0.3,0.4,-0.3,0.54,1.63,0.54,0.43,1.63
742,27.11,39.66,68.4,427.18,182.35,1.1,0.7,0.9,0.94,2.62,0.6,0.47,2.21
743,39.15,48.14,81.3,547.97,86.89,4.6,5.9,3.4,2.54,0.79,2.26,0.4,3.22
744,35.83,40.83,87.8,519.17,110.83,0.2,0.6,-0.2,2.5,0.0,2.5,0.83,4.17
745,14.44,34.44,41.9,411.11,314.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
746,38.69,49.09,78.8,715.62,269.83,0.1,0.3,-0.1,0.17,4.09,0.17,0.0,3.58
747,13.33,16.67,80.0,186.67,73.33,0.0,0.0,0.0,0.0,3.33,0.0,0.0,3.33
748,43.01,50.78,84.7,656.27,194.16,1.0,1.3,1.0,0.6,3.67,0.96,0.06,5.48
749,75.45,83.64,90.2,1160.0,336.36,0.0,0.1,0.0,0.91,4.55,0.91,0.0,8.18
750,95.0,115.0,82.6,1640.0,532.5,0.2,0.2,-0.2,7.5,0.0,2.5,2.5,7.5
751,inf,inf,100.0,inf,,0.0,0.0,0.0,,,,,
752,28.46,32.07,88.7,605.27,335.93,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
753,33.45,41.9,79.8,524.08,154.89,1.6,0.7,-1.6,1.03,1.78,0.75,0.4,2.82
754,35.39,40.78,86.8,631.1,155.52,0.1,0.3,-0.1,0.19,2.66,0.13,0.06,3.05
755,31.48,39.43,79.8,672.93,235.92,2.1,1.3,1.9,0.36,2.15,0.12,0.0,2.69
756,36.58,44.3,82.6,542.91,126.2,0.1,0.3,-0.1,0.13,3.29,0.38,0.13,3.8
757,23.39,30.58,76.5,335.86,79.76,2.9,1.5,-1.9,1.16,1.47,0.62,0.03,3.32
758,35.98,41.37,87.0,561.27,181.27,0.7,0.8,-0.7,0.98,3.82,0.49,0.0,4.8
759,15.11,20.0,75.5,194.26,44.26,1.3,0.6,1.7,2.13,0.85,0.21,0.0,1.06
760,31.82,43.04,73.9,551.99,168.34,3.7,3.7,0.3,1.71,3.54,2.49,0.44,6.69
761,36.64,48.83,75.0,660.58,206.64,1.1,1.4,0.9,1.24,3.43,0.95,0.44,3.87
762,34.49,51.88,66.5,644.8,256.15,6.3,5.4,1.7,2.15,2.18,1.32,0.74,3.26
763,45.89,52.79,86.9,789.29,221.57,1.1,1.6,-1.1,0.86,4.31,0.56,0.05,5.33
764,35.87,41.9,85.6,698.04,202.88,0.2,0.4,-0.2,0.49,3.37,0.27,0.0,4.35
765,42.86,49.69,86.2,647.04,152.76,0.9,0.7,4.1,1.22,4.29,0.61,0.0,4.9
766,10.4,16.44,63.3,137.33,21.39,1.3,0.6,-0.3,0.79,0.69,0.59,0.1,1.29
767,9.65,13.66,70.7,114.01,16.41,6.2,3.7,1.8,0.94,0.31,0.35,0.0,0.91
768,17.12,27.95,61.3,296.16,80.68,0.6,0.8,0.4,1.1,1.64,0.41,0.0,3.01
769,12.0,18.0,66.7,158.0,24.0,0.0,0.1,0.0,0.0,0.0,0.5,0.5,0.0
770,58.9,70.22,83.9,1115.0,309.41,0.4,0.9,-0.4,0.59,6.32,0.51,0.15,5.96
771,67.92,77.08,88.1,1173.54,371.25,0.0,0.0,0.0,0.0,2.08,0.0,0.0,1.67
772,31.16,37.95,82.1,550.53,177.47,0.8,0.9,0.2,0.37,1.16,0.11,0.0,1.53
773,17.69,24.62,71.9,264.15,51.54,0.5,0.8,-0.5,1.23,0.77,1.23,0.15,3.08
774,49.22,54.53,90.3,784.53,239.38,0.0,0.0,0.0,0.16,2.19,0.0,0.0,1.88
775,29.11,37.62,77.4,668.61,255.74,0.1,0.1,-0.1,0.2,3.96,0.1,0.1,4.65
776,27.08,39.57,68.4,529.67,255.55,1.5,1.5,-0.5,0.81,2.78,0.72,0.48,3.88
777,23.48,29.46,79.7,537.06,314.07,0.1,0.0,-0.1,0.05,0.05,0.0,0.0,0.0
778,18.87,31.67,59.6,327.93,108.53,7.8,6.5,1.2,1.93,1.37,1.0,0.07,2.93
779,33.19,44.29,74.9,632.27,201.61,3.3,3.0,0.7,1.94,4.32,0.77,0.15,4.29
780,33.74,44.01,76.7,547.03,160.71,4.9,3.2,-0.9,1.48,1.87,1.59,0.71,2.8
781,105.0,115.0,91.3,1600.0,380.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0
782,38.1,49.05,77.7,744.67,215.9,2.0,2.8,3.0,1.71,4.81,1.24,0.52,6.33
783,93.32,101.35,92.1,1592.19,610.6,0.9,2.2,0.1,0.41,6.39,0.25,0.03,4.76
784,15.66,22.83,68.6,206.6,41.51,0.3,0.2,-0.3,0.75,1.13,0.19,0.0,1.7
785,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,12.27,17.22,71.2,153.35,21.51,1.3,0.6,0.7,0.42,0.57,0.12,0.0,1.03
787,39.8,49.53,80.3,670.6,284.8,0.2,0.3,-0.2,0.2,3.0,0.53,0.2,4.27
788,36.24,45.87,79.0,593.76,137.61,4.3,4.0,4.7,2.29,3.07,1.7,0.0,5.6
789,24.18,32.26,75.0,417.46,120.28,2.1,3.0,-1.1,1.36,2.03,1.3,0.11,3.73
790,40.0,42.5,94.1,457.5,107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
791,85.0,105.0,81.0,1505.0,300.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0
792,14.71,22.17,66.3,245.03,86.56,1.8,1.5,-1.8,0.79,1.16,0.58,0.26,1.85
793,120.0,150.0,80.0,2220.0,570.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
794,34.92,46.72,74.7,556.56,211.97,0.9,0.6,0.1,0.9,1.8,0.74,0.33,3.03
795,34.85,39.94,87.3,838.12,568.87,0.1,0.1,-0.1,0.03,0.81,0.03,0.0,0.13
796,43.57,52.1,83.6,788.93,270.28,1.4,2.3,-0.4,0.56,5.64,1.25,0.16,6.71
797,14.39,20.23,71.1,179.54,40.69,1.2,1.1,-1.2,1.04,0.69,0.87,0.06,2.08
798,23.7,34.26,69.2,453.52,182.96,0.0,0.0,0.0,0.0,0.93,0.19,0.0,0.93
799,33.33,41.05,81.2,522.93,156.42,2.8,2.4,-0.8,0.77,3.18,0.62,0.03,5.0
800,26.67,34.17,78.0,400.83,109.17,0.0,0.0,0.0,0.0,1.67,0.0,0.0,1.67
801,16.51,24.25,68.1,256.79,87.55,0.7,0.5,0.3,0.75,0.94,0.66,0.47,1.42
802,38.98,44.29,88.0,694.69,191.43,0.1,0.0,-0.1,0.2,1.63,0.0,0.0,2.24
803,70.0,80.0,87.5,600.0,170.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0
804,16.38,24.12,67.9,241.75,43.5,1.7,1.5,0.3,1.5,1.62,0.38,0.12,1.12
805,10.0,10.0,100.0,120.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
806,10.95,16.75,65.4,147.14,37.78,1.4,0.7,-0.4,1.27,0.63,0.48,0.0,1.19
807,18.44,26.37,69.9,246.48,58.11,6.7,4.0,2.3,1.19,1.04,0.89,0.19,1.81
808,13.06,18.47,70.7,186.24,45.53,0.9,0.4,-0.9,1.18,1.29,0.24,0.0,1.65
809,55.0,65.73,83.7,872.07,206.73,3.5,4.6,2.5,2.47,5.07,3.0,0.73,8.53
810,43.95,50.26,87.4,598.95,123.42,0.2,0.3,-0.2,1.58,3.68,0.26,0.0,4.21
811,33.33,40.0,83.3,429.33,97.0,0.1,0.4,-0.1,0.67,2.0,0.67,0.0,3.0
812,130.0,133.33,97.5,2080.0,490.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,3.33
813,44.67,52.0,85.9,832.56,286.22,0.6,0.1,0.4,0.78,2.44,0.0,0.0,3.44
814,54.35,61.23,88.8,952.21,291.09,0.1,0.4,0.9,0.11,2.68,0.14,0.04,3.95
815,22.15,33.75,65.6,358.58,110.51,4.4,3.6,-2.4,1.89,1.45,0.91,0.58,2.11
816,18.5,23.0,80.4,295.5,76.0,0.1,0.2,-0.1,1.5,2.0,1.0,0.0,3.5
817,9.31,12.73,73.1,117.79,16.36,0.4,0.4,0.6,0.39,0.48,0.09,0.0,0.48
818,72.64,80.47,90.3,1058.29,287.91,0.4,0.9,-0.4,0.23,3.26,0.54,0.16,4.42
819,7.17,11.12,64.5,97.8,16.47,1.3,0.9,0.7,0.31,0.38,0.17,0.0,0.59
820,24.91,33.58,74.2,347.55,106.04,1.7,1.3,0.3,1.7,2.26,0.75,0.38,3.96
821,60.58,68.85,88.0,933.09,264.29,1.7,1.5,-1.7,0.84,5.71,0.94,0.1,5.29
822,25.26,37.63,67.1,460.19,165.58,1.2,1.8,0.8,1.22,2.24,1.09,0.38,3.33
823,51.02,63.39,80.5,827.09,212.76,2.3,2.3,-0.3,2.13,5.2,1.34,0.24,5.35
824,33.4,41.72,80.1,675.4,242.1,0.0,0.4,0.0,0.0,2.61,0.21,0.0,2.68
825,28.41,37.62,75.5,466.19,124.81,1.7,1.6,0.3,0.58,3.17,0.37,0.0,3.49
826,37.65,50.59,74.4,928.82,689.41,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0
827,38.03,51.0,74.6,633.73,280.68,2.8,2.9,-1.8,1.0,2.65,0.9,0.36,4.05
828,inf,inf,87.5,inf,inf,0.0,0.0,0.0,,,,,
829,47.59,56.62,84.0,801.52,206.76,0.0,0.2,0.0,0.07,2.83,0.0,0.0,2.76
830,26.04,33.24,78.3,468.47,164.5,0.3,0.6,0.7,0.45,1.44,0.0,0.0,2.07
831,14.14,21.03,67.2,216.21,25.52,0.0,0.1,0.0,0.34,0.69,0.34,0.0,0.69
832,58.62,69.71,84.1,850.43,262.1,3.5,2.3,-0.5,1.88,4.78,1.81,0.8,6.01
833,10.0,10.0,100.0,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
834,47.03,53.68,87.6,771.1,247.94,1.2,0.3,-0.2,0.39,1.87,0.19,0.0,2.39
835,30.7,39.87,77.0,489.04,141.49,5.2,5.6,-1.2,2.37,2.11,1.97,0.31,4.08
836,28.75,46.25,62.2,361.25,103.75,0.1,0.0,-0.1,2.5,0.0,2.5,1.25,1.25
837,24.17,36.77,65.7,289.27,80.1,0.3,0.5,-0.3,0.42,1.15,0.94,0.1,2.6
838,19.23,24.53,78.4,238.72,49.57,1.9,0.8,0.1,1.37,1.2,0.26,0.09,1.45
839,20.0,29.88,66.9,657.38,481.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12
840,39.39,45.51,86.5,695.92,158.37,0.7,0.9,1.3,2.24,3.47,1.22,0.2,4.69
841,38.0,52.0,73.1,502.0,228.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,10.0
842,30.75,37.33,82.4,447.2,150.31,1.7,2.0,-0.7,0.99,3.29,1.55,0.12,6.34
843,18.0,23.0,78.3,287.0,90.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0
844,20.44,24.44,83.6,244.22,41.33,0.3,0.3,-0.3,0.89,1.11,0.44,0.0,1.56
845,20.47,30.13,67.9,519.58,391.79,0.2,0.0,-0.2,0.03,0.18,0.0,0.0,0.03
846,28.23,37.1,76.1,618.73,240.88,0.1,0.3,-0.1,0.14,2.69,0.18,0.04,2.9
847,34.03,45.37,75.0,615.07,269.85,0.4,0.3,0.6,1.19,4.18,0.9,0.3,4.18
848,43.18,56.36,76.6,784.32,249.32,0.4,0.6,0.6,0.91,3.41,1.14,0.91,3.86
849,30.69,36.21,84.8,402.07,89.31,0.8,0.6,-0.8,1.03,2.41,1.21,0.0,4.83
850,40.0,46.67,85.7,536.67,145.0,0.0,0.1,0.0,0.0,3.33,1.67,0.0,6.67
851,24.21,30.26,80.0,379.3,95.35,0.5,0.5,-0.5,0.7,2.72,0.35,0.09,3.07
852,29.14,38.87,75.0,555.76,231.39,0.1,0.3,-0.1,0.2,1.72,0.07,0.0,1.79
853,25.04,36.42,68.7,402.99,132.55,2.3,1.7,-1.3,1.75,2.34,0.66,0.22,3.43
854,41.2,52.22,78.9,571.11,192.82,2.3,2.7,-0.3,2.56,4.53,1.79,0.26,5.73
855,43.57,51.19,85.1,870.0,336.19,0.1,0.0,-0.1,0.48,2.38,0.0,0.0,1.43
856,37.75,42.25,89.3,647.75,249.0,0.2,0.2,-0.2,0.25,1.0,0.0,0.0,1.0
857,31.46,38.77,81.1,428.6,80.23,3.1,2.6,-0.1,1.11,1.81,1.17,0.06,3.98
858,41.51,51.02,81.4,794.65,297.88,0.8,1.3,-0.8,0.28,2.86,0.15,0.0,3.11
859,53.35,63.69,83.8,873.52,339.09,0.6,0.7,-0.6,0.4,4.77,0.34,0.17,5.68
860,16.05,19.93,80.5,199.21,22.96,0.5,0.8,-0.5,0.39,0.72,0.26,0.0,0.99
861,52.19,59.07,88.4,751.13,150.07,2.3,2.7,0.7,1.06,4.82,0.83,0.1,4.72
862,45.95,62.98,73.0,820.92,296.91,11.8,10.2,-3.8,3.29,5.4,2.57,0.29,8.58
863,43.01,56.01,76.8,896.08,352.59,0.7,1.9,1.3,1.26,3.78,0.77,0.21,3.71
864,20.82,32.46,64.1,731.48,605.9,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.16
865,37.69,45.38,83.1,616.08,188.88,0.8,1.4,0.2,0.91,3.22,0.63,0.28,3.64
866,9.78,18.44,53.0,130.89,19.11,0.5,0.2,0.5,0.22,0.89,0.22,0.0,0.89
867,64.24,76.0,84.5,1174.53,343.47,3.4,3.7,-1.4,1.31,7.22,1.76,0.16,8.57
868,22.26,34.52,64.5,663.55,493.55,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0
869,33.57,39.46,85.1,435.89,73.39,0.8,0.5,-0.8,0.89,0.71,1.61,0.54,2.14
870,27.5,40.0,68.8,793.75,577.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
871,40.98,47.45,86.4,723.73,209.61,0.3,0.3,-0.3,0.39,4.12,0.98,0.39,4.71
872,inf,inf,100.0,inf,inf,0.0,0.0,0.0,,,,,
873,40.0,40.0,100.0,600.0,90.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
874,24.09,33.42,72.1,671.88,486.38,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0
875,32.13,42.48,75.6,599.31,268.86,0.9,0.9,0.1,0.64,2.97,0.54,0.3,3.02
876,48.72,58.89,82.7,876.06,285.62,1.9,2.1,-0.9,1.24,5.22,1.15,0.44,7.65
877,16.25,32.5,50.0,186.25,57.5,0.0,0.0,0.0,1.25,2.5,0.0,0.0,2.5
878,20.0,30.0,66.7,230.0,100.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
879,22.5,35.0,64.3,295.0,85.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0
880,30.67,44.05,69.6,527.18,209.08,1.6,1.6,-1.6,1.18,2.36,0.62,0.36,2.72
881,13.25,32.0,41.4,531.5,448.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
882,32.5,46.25,70.3,540.0,183.75,0.1,0.3,-0.1,0.62,1.56,0.94,0.31,1.88
883,29.0,40.0,72.5,408.0,88.0,0.4,0.3,-0.4,2.0,1.0,1.0,0.0,3.0
884,30.99,43.29,71.6,896.77,613.29,0.5,0.2,0.5,0.11,1.01,0.03,0.0,0.14
885,54.95,66.51,82.6,1034.64,357.19,3.4,3.5,0.6,2.34,5.05,1.3,0.47,5.52
886,47.67,55.74,85.5,641.86,118.9,8.4,6.9,-0.4,2.3,2.24,1.8,0.16,5.3
887,20.24,35.85,56.5,666.39,534.15,0.1,0.1,-0.1,0.03,0.65,0.07,0.0,0.0
888,23.06,29.03,79.4,337.42,50.65,0.5,0.5,-0.5,0.97,0.65,0.97,0.16,1.61
889,48.43,59.63,81.2,793.33,301.3,3.4,4.7,0.6,1.33,6.47,1.43,0.07,8.3
890,33.74,47.16,71.5,667.84,298.71,0.8,1.4,-0.8,0.42,2.39,0.77,0.42,3.1
891,42.25,52.4,80.6,719.9,206.81,0.9,1.4,0.1,0.54,2.55,0.49,0.34,3.19
892,15.73,25.76,61.1,270.29,70.78,1.4,1.1,-0.4,0.58,1.39,0.32,0.19,1.75
893,22.0,30.0,73.3,324.0,124.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0
894,34.47,44.68,77.1,553.62,151.7,0.3,0.3,-0.3,1.06,4.04,1.28,0.21,6.17
895,39.06,52.5,74.4,611.25,210.7,1.6,2.0,0.4,1.8,4.38,1.95,0.47,6.95
896,31.35,38.27,81.9,494.62,105.96,0.9,0.4,0.1,1.15,2.69,0.58,0.0,4.23
897,37.5,41.25,90.9,466.25,97.5,0.2,0.0,0.8,2.5,2.5,1.25,0.0,2.5
898,36.28,48.37,75.0,581.16,161.4,0.5,0.8,-0.5,2.09,2.09,1.86,0.7,4.88
899,57.14,65.71,87.0,858.29,213.71,0.8,0.5,1.2,0.86,2.86,0.86,0.29,2.0
900,14.79,21.85,67.7,211.9,39.57,1.9,1.3,1.1,0.9,1.0,0.57,0.0,1.75
901,37.37,50.83,73.5,578.44,228.05,1.2,0.8,-1.2,0.68,2.29,0.68,0.29,3.51
902,47.88,58.47,81.9,788.9,294.07,0.9,0.9,0.1,0.42,4.24,0.59,0.17,4.32
903,19.62,30.38,64.6,350.0,98.46,0.9,0.5,0.1,2.31,1.54,0.77,0.0,3.08
904,33.72,40.58,83.1,588.91,142.26,0.2,0.3,0.8,0.15,2.85,0.15,0.07,3.65
905,41.31,54.1,76.4,667.17,230.08,3.8,5.0,-1.8,1.6,3.07,1.76,0.61,4.59
906,15.71,20.0,78.6,180.95,21.43,0.1,0.1,-0.1,0.95,0.0,0.95,0.0,0.95
907,22.17,28.4,78.1,327.17,98.77,1.9,2.0,1.1,0.94,1.7,1.23,0.09,3.49
908,30.83,38.33,80.4,568.33,125.83,0.0,0.0,0.0,0.0,2.5,0.0,0.0,4.17
909,28.05,35.07,80.0,408.42,100.09,1.6,1.4,3.4,0.37,1.98,0.4,0.03,3.01
910,58.56,64.73,90.5,866.27,226.13,1.1,1.3,-0.1,0.65,4.55,0.51,0.0,5.65
911,38.11,44.3,86.0,800.94,269.1,0.1,0.3,-0.1,0.04,2.01,0.16,0.04,2.42
912,43.39,52.01,83.4,745.92,297.53,0.2,0.1,-0.2,0.29,1.67,0.06,0.0,1.95
913,31.88,41.04,77.7,436.92,92.04,5.9,5.4,1.1,1.8,0.8,1.44,0.6,1.96
914,20.0,28.08,71.2,298.95,75.93,1.4,1.2,-1.4,0.99,1.34,1.16,0.47,2.33
915,39.02,48.07,81.2,539.79,147.47,8.0,9.2,-1.0,1.86,2.07,2.14,0.32,5.09
916,7.5,15.0,50.0,85.0,12.5,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
917,37.19,51.57,72.1,614.12,185.29,3.2,4.0,-1.2,2.48,3.01,1.31,0.39,4.84
918,24.0,33.0,72.7,399.5,137.0,0.3,0.4,-0.3,1.0,3.5,1.0,0.0,4.5
919,15.37,23.25,66.1,196.02,46.38,3.1,3.3,4.9,1.38,1.02,0.65,0.04,1.99
920,25.0,35.0,71.4,230.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
921,50.0,100.0,50.0,1850.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
922,57.39,63.52,90.4,1139.01,348.31,0.3,0.2,0.7,0.21,3.24,0.0,0.0,2.96
923,50.38,56.42,89.3,983.02,329.25,0.1,0.1,-0.1,0.19,2.83,0.19,0.0,1.7
924,20.6,28.43,72.5,321.2,111.69,1.3,0.6,-0.3,1.93,3.61,1.2,0.12,4.94
925,38.89,43.89,88.6,572.22,142.78,0.5,0.4,-0.5,2.78,2.22,1.67,1.67,3.33
926,51.11,56.76,90.0,901.18,215.88,1.7,2.0,0.3,0.76,4.35,0.38,0.04,4.58
927,23.83,30.82,77.3,334.97,94.97,2.9,2.7,2.1,1.37,2.35,1.75,0.27,4.54
928,45.0,60.0,75.0,666.0,154.0,0.1,0.1,-0.1,2.0,0.0,2.0,1.0,4.0
929,44.2,55.21,80.1,750.0,242.02,0.7,0.9,0.3,0.84,3.03,1.26,0.84,3.78
930,42.8,53.1,80.6,755.91,221.29,2.3,2.5,-1.3,1.12,5.47,0.99,0.17,6.34
931,210.0,230.0,91.3,4110.0,1730.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,50.0
932,51.75,57.99,89.2,768.16,171.09,5.0,3.5,2.0,1.49,3.88,0.92,0.11,4.94
933,35.92,50.83,70.7,669.13,287.33,4.5,3.1,-1.5,1.7,3.07,1.59,1.16,4.51
934,26.52,35.98,73.7,481.29,184.7,0.5,0.9,0.5,0.76,2.12,0.91,0.45,2.5
935,24.87,30.73,80.9,358.27,79.6,2.7,3.0,-0.7,1.6,1.87,0.67,0.07,2.93
936,36.27,42.97,84.4,559.23,154.83,1.1,0.8,-1.1,0.72,3.35,0.43,0.05,3.97
937,15.5,26.5,58.5,237.5,84.5,0.6,0.5,-0.6,2.0,0.5,1.5,0.5,2.5
938,72.31,82.68,87.5,1324.42,401.72,5.5,6.0,0.5,1.61,8.62,0.76,0.23,8.28
939,18.84,30.0,62.8,280.91,83.2,3.0,2.9,-2.0,1.42,1.09,1.24,0.76,2.29
940,33.61,39.88,84.3,552.41,151.2,0.2,0.2,-0.2,0.24,2.89,0.36,0.0,4.34
941,42.82,51.7,82.8,847.61,327.14,1.3,1.0,-0.3,0.19,4.98,0.19,0.0,5.14
942,76.67,80.0,95.8,1336.67,513.33,0.0,0.0,0.0,0.0,6.67,0.0,0.0,8.33
943,70.44,78.7,89.5,1270.68,503.04,0.5,1.1,-0.5,0.34,7.61,0.58,0.07,7.54
944,54.26,64.32,84.4,783.42,213.68,2.4,1.8,2.6,1.03,2.45,0.9,0.39,3.87
945,29.64,41.43,71.6,443.57,111.61,0.6,0.5,-0.6,1.61,1.25,1.07,0.18,3.57
946,20.0,35.0,57.1,175.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
947,17.5,27.5,63.6,210.0,117.5,0.0,0.0,0.0,0.0,2.5,2.5,0.0,5.0
948,16.81,29.36,57.2,234.47,66.6,0.0,0.6,0.0,0.0,2.55,0.64,0.0,4.04
949,30.17,45.0,67.1,478.02,134.07,3.3,3.5,-1.3,1.8,1.8,1.51,0.52,3.43
950,20.0,23.33,85.7,230.0,133.33,0.0,0.1,0.0,0.0,0.0,6.67,0.0,6.67
951,44.46,56.44,78.8,711.19,195.54,0.9,1.1,-0.9,0.79,2.97,0.69,0.5,5.15
952,25.48,32.58,78.2,565.0,197.74,0.0,0.0,0.0,0.16,0.97,0.0,0.0,1.94
953,23.68,31.61,74.9,325.23,47.89,5.1,2.9,-1.1,1.61,0.91,0.77,0.14,2.18
954,28.68,37.25,77.0,481.05,132.69,4.6,3.7,-2.6,1.32,2.93,0.72,0.18,2.99
955,27.22,40.74,66.8,410.93,148.89,0.3,0.4,-0.3,0.74,3.52,0.56,0.19,4.26
