Rk,Cmp90,Att90,Cmp%,PassTotDist90,PassPrgDist90,xAG,xA,A-xAG,KP90,Pass1/3(90),PPA90,CrsPA90,PrgP90
305,55.91,62.85,89.0,1038.83,274.38,0.3,0.2,0.7,0.22,2.04,0.07,0.0,1.82
306,30.94,38.44,80.5,522.81,169.38,0.2,0.3,-0.2,1.25,4.69,1.25,0.62,5.0
307,27.8,35.43,78.5,580.0,258.45,0.2,0.5,-0.2,0.13,1.72,0.09,0.0,1.81
308,20.91,28.64,73.0,279.32,41.14,0.8,0.6,-0.8,1.59,0.45,1.14,0.0,2.5
309,26.06,34.65,75.2,389.48,115.55,3.2,2.1,-1.2,1.48,2.52,0.97,0.26,3.42
310,52.98,70.31,75.4,978.85,346.64,3.6,4.3,1.4,1.76,4.5,1.18,0.76,4.92
311,31.0,37.0,83.8,684.0,308.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0
312,40.27,49.29,81.7,693.88,201.12,2.9,2.4,-0.9,1.07,2.63,1.12,0.62,3.12
313,45.0,56.0,80.4,750.5,266.0,0.8,0.8,1.2,2.5,5.5,2.0,1.0,9.0
314,73.43,80.09,91.7,1090.35,313.65,0.4,1.7,-0.4,0.48,6.78,0.52,0.0,7.35
315,38.0,47.37,80.2,617.83,155.03,2.9,2.7,-0.9,1.49,3.66,1.14,0.4,4.86
316,25.81,34.38,75.1,797.84,592.91,0.1,0.1,-0.1,0.09,0.47,0.0,0.0,0.03
317,30.04,39.0,77.0,525.93,203.81,1.2,1.1,-0.2,0.74,3.7,0.7,0.3,4.93
318,33.08,39.23,84.3,804.62,588.46,0.0,0.0,0.0,0.0,1.54,0.0,0.0,1.54
319,116.0,118.0,98.3,2032.0,570.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
320,22.7,29.08,78.1,403.68,106.44,1.7,1.9,-0.7,1.15,2.13,1.03,0.23,3.39
321,39.81,45.57,87.4,914.62,484.95,0.1,0.1,-0.1,0.05,0.48,0.0,0.0,0.14
322,36.87,42.8,86.1,636.21,188.79,0.7,0.7,1.3,0.38,2.8,0.38,0.11,3.3
323,69.82,78.33,89.1,1197.18,479.09,1.1,1.9,0.9,0.52,7.76,0.79,0.09,6.33
324,11.11,16.67,66.7,126.67,25.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11
325,32.5,50.0,65.0,470.0,75.0,0.1,0.1,-0.1,2.5,0.0,0.0,0.0,5.0
326,40.77,48.46,84.1,893.08,342.31,0.1,0.1,-0.1,0.38,3.85,0.77,0.0,3.46
327,45.59,52.06,87.6,604.71,140.59,1.2,1.3,-0.2,2.65,0.88,5.59,0.29,7.35
328,48.33,57.5,84.1,620.83,175.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,4.17
329,26.26,33.92,77.4,400.32,94.28,4.2,4.3,1.8,1.49,1.26,1.26,0.18,2.88
330,22.06,31.23,70.7,341.58,126.65,1.0,1.2,-1.0,0.32,1.45,0.65,0.16,1.94
331,43.33,56.67,76.5,658.33,261.67,0.1,0.1,-0.1,3.33,6.67,3.33,1.67,5.0
332,44.41,56.44,78.7,689.66,174.75,0.2,0.1,-0.2,0.85,3.05,0.34,0.0,4.41
333,18.89,30.0,63.0,202.22,73.33,0.0,0.1,0.0,1.11,0.0,0.0,0.0,1.11
334,42.49,47.29,89.8,774.67,191.56,0.4,0.5,-0.4,0.62,4.31,0.22,0.04,4.84
335,31.44,41.94,75.0,585.12,253.69,1.3,0.8,-0.3,0.56,2.12,0.5,0.0,2.0
336,36.68,44.51,82.4,618.38,144.15,3.6,5.4,-0.6,1.62,3.2,1.78,0.43,5.53
337,21.42,27.79,77.1,356.19,47.26,1.1,0.5,-0.1,0.71,1.86,0.62,0.0,2.3
338,33.96,37.87,89.7,579.51,96.71,0.3,0.2,0.7,0.43,2.44,0.12,0.06,2.62
339,46.0,57.0,80.7,797.0,245.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
340,16.16,22.38,72.2,226.28,42.56,3.7,3.3,4.3,1.28,0.76,0.76,0.0,1.98
341,72.0,82.0,87.8,1259.0,518.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
342,36.18,42.65,84.8,596.76,215.0,0.1,0.0,-0.1,0.29,3.53,0.29,0.0,2.06
343,37.25,48.63,76.6,796.67,374.71,0.3,0.1,-0.3,0.39,3.33,0.39,0.2,4.12
344,24.59,34.92,70.4,403.11,153.69,3.3,3.0,-0.3,2.13,2.62,2.05,0.74,4.84
345,41.0,50.79,80.7,644.64,233.64,2.8,2.5,-1.8,0.89,2.21,0.61,0.36,3.14
346,35.0,55.0,63.6,635.0,50.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
347,46.35,52.96,87.5,820.13,300.0,0.4,0.1,-0.4,0.19,1.45,0.0,0.0,2.58
348,20.27,27.36,74.1,306.82,61.73,1.8,1.9,-1.8,1.18,1.82,0.82,0.27,2.55
349,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,36.67,46.67,78.6,703.33,203.33,0.0,0.0,0.0,0.0,6.67,0.0,0.0,3.33
351,13.71,18.57,73.8,186.57,21.71,0.0,0.1,0.0,0.0,0.57,0.29,0.0,1.43
352,60.2,66.47,90.6,1112.88,441.83,1.0,0.6,1.0,0.33,2.48,0.07,0.0,2.29
353,30.0,34.0,88.2,440.0,84.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0
354,68.67,76.67,89.6,1188.67,396.0,0.0,0.0,0.0,0.67,6.67,0.67,0.67,8.0
355,30.0,38.89,77.1,532.78,115.0,0.5,0.4,-0.5,3.33,0.56,1.67,1.67,1.11
356,29.8,36.73,81.1,563.88,162.45,0.9,1.0,-0.9,1.84,2.65,2.65,0.41,6.53
357,26.67,26.67,100.0,406.67,163.33,0.2,0.0,-0.2,3.33,3.33,0.0,0.0,3.33
358,33.58,40.06,83.8,507.71,132.4,1.8,1.3,-1.8,1.17,2.46,1.06,0.11,4.36
359,20.0,31.0,64.5,673.0,573.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
360,34.55,44.55,77.6,415.45,99.09,0.0,0.0,0.0,0.45,2.27,0.45,0.45,3.18
361,44.5,58.22,76.4,864.39,271.56,6.7,6.2,-0.7,2.57,5.06,1.64,0.37,6.62
362,26.5,38.35,69.1,396.99,122.91,1.7,1.5,-0.7,1.17,2.52,1.65,0.87,4.17
363,10.0,10.0,100.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
