Rk,TklAPlayers90,TklW90,TklADribblers90,TklAttDri90,Tkl%,Bl90,ShBl90,PassBl90,Int90,Clr90,Err90
2393,2.12,1.33,1.06,2.48,42.9,1.24,0.35,0.88,1.06,1.59,0.18
2394,0.03,0.0,0.03,0.06,50.0,0.03,0.0,0.03,0.03,0.29,0.0
2395,1.59,0.23,0.68,1.14,60.0,0.68,0.23,0.45,0.23,0.23,0.0
2396,3.08,1.54,2.31,2.31,100.0,2.31,0.0,2.31,0.0,0.77,0.0
2397,1.06,0.64,0.64,0.85,75.0,0.21,0.0,0.21,0.21,0.0,0.0
2398,2.12,1.21,1.21,1.52,80.0,0.91,0.0,0.91,0.3,0.3,0.0
2399,1.33,0.95,0.95,1.52,62.5,0.76,0.38,0.38,1.24,4.1,0.0
2400,3.18,1.36,2.12,2.88,73.7,1.67,0.45,1.21,1.52,1.97,0.0
2401,2.54,1.9,1.9,2.46,77.4,1.19,0.56,0.63,1.98,2.94,0.0
2402,4.12,2.25,2.0,3.12,64.0,1.5,0.25,1.25,1.0,1.88,0.0
2403,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2404,0.28,0.14,0.0,0.14,0.0,0.35,0.21,0.14,0.0,1.42,0.0
2405,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.69,0.06
2406,0.0,0.0,0.0,0.0,,0.11,0.0,0.11,0.0,0.68,0.05
2407,2.3,1.4,1.11,1.87,59.4,1.28,0.23,1.05,1.05,2.48,0.03
2408,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2409,1.03,0.73,0.38,1.15,33.3,1.67,0.09,1.58,0.26,0.9,0.0
2410,3.03,2.23,1.76,2.86,61.8,1.68,0.55,1.13,1.72,2.86,0.0
2411,2.21,1.29,0.96,2.25,42.9,2.01,0.92,1.08,1.41,4.38,0.04
2412,2.0,2.0,2.0,6.0,33.3,2.0,0.0,2.0,2.0,0.0,0.0
2413,2.77,2.12,1.2,2.45,48.9,1.58,0.38,1.2,1.09,1.36,0.05
2414,0.76,0.29,0.12,0.53,22.2,1.35,0.12,1.24,0.18,1.59,0.0
2415,1.52,0.89,0.62,1.43,43.8,1.07,0.09,0.98,0.36,1.52,0.0
2416,0.43,0.29,0.0,0.43,0.0,1.16,0.29,0.87,0.14,1.3,0.0
2417,3.33,3.33,3.33,6.67,50.0,0.0,0.0,0.0,0.0,0.0,0.0
2418,1.09,0.67,0.31,0.78,40.0,0.57,0.21,0.36,0.67,0.78,0.1
2419,1.03,0.75,0.84,1.4,60.0,1.68,1.03,0.65,0.56,3.64,0.0
2420,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0
2421,1.06,0.38,0.58,0.96,60.0,0.48,0.0,0.48,0.38,0.38,0.0
2422,0.0,0.0,0.0,0.87,0.0,0.43,0.22,0.22,0.22,0.0,0.0
2423,10.0,0.0,5.0,10.0,50.0,5.0,0.0,5.0,10.0,0.0,0.0
2424,1.63,0.96,1.08,3.07,35.1,1.47,0.52,0.96,1.08,1.31,0.0
2425,2.67,1.09,0.79,1.98,40.0,1.58,0.99,0.59,2.08,2.87,0.1
2426,2.14,0.95,1.29,2.09,61.9,1.64,0.75,0.9,1.09,3.18,0.0
2427,0.25,0.25,0.0,0.49,0.0,0.37,0.0,0.37,0.12,0.37,0.0
2428,1.78,0.8,0.87,1.99,43.9,1.12,0.14,0.98,0.59,0.52,0.03
2429,1.88,1.01,0.87,1.3,66.7,1.16,0.29,0.87,0.87,1.3,0.0
2430,2.41,1.38,0.69,1.03,66.7,0.34,0.0,0.34,0.69,0.0,0.0
2431,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.04,0.47,0.04
2432,1.03,0.53,0.71,1.21,58.8,1.17,0.85,0.32,0.93,5.44,0.14
2433,0.0,0.0,0.0,0.18,0.0,0.06,0.0,0.06,0.0,0.29,0.18
2434,2.02,1.22,1.34,1.85,72.7,1.51,0.59,0.92,1.22,2.9,0.0
2435,1.35,0.45,0.34,1.35,25.0,1.24,0.0,1.24,0.11,0.79,0.0
2436,1.0,0.71,0.71,2.43,29.4,1.43,0.0,1.43,0.71,0.43,0.0
2437,0.62,0.62,0.0,0.0,,3.12,2.5,0.62,0.0,1.88,0.0
2438,0.35,0.25,0.1,0.4,25.0,0.45,0.05,0.4,0.15,0.25,0.05
2439,0.06,0.03,0.06,0.08,66.7,0.0,0.0,0.0,0.03,0.25,0.0
2440,1.02,0.58,0.51,1.05,48.4,0.78,0.0,0.78,0.54,0.14,0.0
2441,1.4,1.03,0.7,1.07,65.4,1.11,0.58,0.53,2.1,3.33,0.08
2442,2.95,1.54,1.15,2.05,56.3,2.31,0.0,2.31,1.03,0.51,0.0
2443,2.56,1.16,0.47,1.86,25.0,1.16,0.7,0.47,1.4,2.09,0.0
2444,2.7,1.8,1.3,2.4,54.2,1.3,0.5,0.8,1.2,3.2,0.0
2445,4.29,1.43,1.43,2.86,50.0,1.43,0.0,1.43,0.0,0.0,0.0
2446,2.58,1.81,1.26,1.65,76.7,1.15,0.44,0.71,1.04,1.65,0.0
2447,1.34,0.79,0.59,1.24,48.0,0.4,0.1,0.3,0.59,1.53,0.0
2448,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.5,0.03
2449,0.97,0.6,0.37,1.05,35.7,0.94,0.07,0.86,0.22,0.75,0.0
2450,1.83,1.0,0.79,1.49,52.8,1.37,0.17,1.2,1.62,1.95,0.08
2451,2.28,1.52,1.39,2.28,61.1,1.52,0.13,1.39,0.38,1.14,0.0
2452,1.33,0.66,0.33,0.61,54.5,0.99,0.66,0.33,0.88,3.59,0.0
2453,0.06,0.06,0.06,0.09,66.7,0.0,0.0,0.0,0.03,0.34,0.09
2454,1.71,1.14,1.21,2.57,47.2,1.21,0.29,0.93,0.71,1.64,0.07
2455,1.33,0.99,0.77,1.22,63.6,1.05,0.55,0.5,0.66,2.82,0.11
2456,3.08,3.08,0.77,0.77,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2457,0.23,0.23,0.23,0.93,25.0,1.4,1.16,0.23,1.16,1.86,0.0
2458,1.55,0.96,0.79,1.63,48.7,1.17,0.46,0.71,0.88,2.59,0.0
2459,1.03,0.26,0.51,1.03,50.0,0.77,0.26,0.51,0.77,0.26,0.0
2460,1.79,0.77,1.03,1.28,80.0,0.77,0.26,0.51,1.54,5.9,0.26
2461,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2462,2.56,1.54,1.28,2.05,62.5,1.54,0.0,1.54,1.79,2.82,0.0
2463,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.33,0.0
2464,2.84,1.53,1.2,2.79,43.1,1.42,0.11,1.31,0.87,0.98,0.0
2465,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2466,1.67,0.83,0.83,2.5,33.3,5.0,0.0,5.0,0.83,2.5,0.0
2467,1.93,1.07,1.0,1.86,53.8,1.29,0.14,1.14,0.79,1.14,0.0
2468,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.33,6.67,0.0
2469,0.62,0.3,0.27,0.79,34.5,0.65,0.14,0.51,0.19,1.17,0.0
2470,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2471,1.24,0.83,0.5,1.74,28.6,0.83,0.25,0.58,0.41,0.91,0.08
2472,2.33,1.86,0.93,2.79,33.3,1.86,0.7,1.16,1.86,1.63,0.23
2473,1.36,1.36,0.45,0.91,50.0,1.82,0.0,1.82,1.36,0.91,0.0
2474,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2475,0.06,0.03,0.06,0.06,100.0,0.03,0.0,0.03,0.0,0.21,0.03
2476,1.0,1.0,1.0,3.0,33.3,1.0,0.0,1.0,0.0,1.5,0.5
2477,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.55,0.16
2478,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2479,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2480,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2481,2.38,2.12,1.0,2.5,40.0,0.88,0.12,0.75,0.25,0.62,0.0
2482,1.14,0.76,0.59,1.31,44.7,1.42,0.14,1.28,0.69,1.18,0.0
2483,0.81,0.41,0.24,0.65,37.5,0.98,0.0,0.98,0.16,0.16,0.0
2484,1.66,1.1,0.66,1.47,44.7,1.72,0.88,0.85,1.16,3.42,0.0
2485,1.18,0.78,0.55,1.15,47.5,1.1,0.12,0.98,0.52,0.26,0.0
2486,1.54,1.1,0.55,1.02,53.8,0.98,0.28,0.71,1.02,0.79,0.04
2487,0.77,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.77,0.0
2488,4.22,2.57,1.39,2.5,55.4,1.93,0.57,1.35,1.08,2.53,0.03
2489,1.73,1.3,0.56,1.54,36.0,1.23,0.19,1.05,1.05,0.49,0.06
2490,2.5,1.5,1.12,1.62,69.2,0.88,0.5,0.38,1.5,4.5,0.38
2491,0.77,0.77,0.0,0.0,,0.77,0.0,0.77,0.77,5.38,0.0
2492,1.68,1.05,0.84,1.05,80.0,2.11,0.53,1.58,0.84,2.95,0.0
2493,3.15,2.38,1.73,3.1,55.8,1.31,0.3,1.01,1.55,1.9,0.0
2494,0.77,0.0,0.77,0.77,100.0,1.54,0.77,0.77,1.54,0.77,0.0
2495,1.03,0.48,0.55,1.23,44.4,0.55,0.14,0.41,0.21,1.03,0.0
2496,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.29,0.0
2497,2.83,1.63,1.28,2.44,52.4,1.47,0.47,1.01,2.79,2.6,0.04
2498,1.58,0.0,1.05,2.11,50.0,2.63,0.0,2.63,1.05,2.63,0.0
2499,2.01,0.85,0.69,1.93,36.0,1.62,0.89,0.73,0.89,2.12,0.0
2500,2.81,2.19,1.88,3.44,54.5,0.94,0.31,0.62,0.62,2.5,0.0
2501,2.71,1.43,1.57,2.36,66.7,1.29,0.21,1.07,0.64,1.86,0.0
2502,1.46,1.22,0.77,1.14,67.9,1.42,1.14,0.28,1.38,6.46,0.08
2503,2.15,1.24,0.99,1.49,66.7,1.16,0.58,0.58,1.57,5.04,0.08
2504,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.47,0.06
2505,1.53,0.68,0.85,2.54,33.3,1.86,0.68,1.19,1.27,2.2,0.0
2506,2.27,1.21,1.36,1.97,69.2,1.21,0.15,1.06,0.76,1.97,0.0
2507,0.95,0.45,0.55,1.18,46.2,0.59,0.0,0.59,0.59,0.41,0.05
2508,0.0,0.0,0.0,0.0,,0.91,0.0,0.91,0.0,0.0,0.0
2509,0.0,0.0,0.0,1.11,0.0,2.22,0.0,2.22,0.0,3.33,0.0
2510,1.84,1.1,0.8,1.4,57.1,1.37,0.43,0.94,0.94,0.84,0.07
2511,1.66,1.01,0.84,2.13,39.7,1.55,0.14,1.42,0.64,0.61,0.0
2512,0.59,0.59,0.0,0.0,,0.0,0.0,0.0,0.0,0.59,0.0
2513,0.17,0.08,0.0,0.25,0.0,0.93,0.59,0.34,0.85,1.78,0.0
2514,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2515,0.66,0.35,0.25,1.19,21.1,0.47,0.03,0.44,0.16,0.53,0.0
2516,1.94,1.37,1.13,1.61,70.0,1.37,0.0,1.37,0.56,0.89,0.0
2517,2.54,1.42,1.12,2.31,48.4,1.49,0.45,1.04,0.52,1.64,0.0
2518,1.57,1.24,0.45,0.79,57.1,1.01,0.22,0.79,0.56,1.46,0.0
2519,1.86,1.26,1.09,1.3,83.8,1.16,0.49,0.67,0.63,2.95,0.0
2520,2.5,1.46,1.81,3.12,57.8,0.9,0.21,0.69,0.69,2.15,0.0
2521,0.0,0.0,0.0,1.33,0.0,1.33,1.33,0.0,0.0,2.67,0.0
2522,2.52,1.22,1.45,3.28,44.2,1.41,0.15,1.26,0.99,1.26,0.0
2523,0.61,0.41,0.1,0.31,33.3,0.61,0.1,0.51,0.2,1.12,0.0
2524,1.07,0.6,0.65,0.95,68.8,1.49,0.83,0.65,1.49,3.45,0.12
2525,2.42,0.94,1.14,1.81,63.0,1.61,0.34,1.28,0.47,1.54,0.0
2526,1.81,1.29,0.65,2.03,31.9,0.65,0.0,0.65,0.26,0.34,0.0
2527,1.42,1.01,0.47,1.66,28.6,0.53,0.0,0.53,0.3,0.24,0.0
2528,1.94,0.89,0.63,1.99,31.6,1.31,0.26,1.05,1.1,1.47,0.0
2529,inf,,,,,,,,,,
2530,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.13,0.07
2531,1.84,0.82,1.02,1.63,62.5,2.24,0.2,2.04,0.0,0.82,0.0
2532,1.25,0.54,0.36,0.54,66.7,1.07,0.71,0.36,0.18,1.43,0.0
2533,2.71,1.16,1.46,2.01,72.5,2.01,0.55,1.46,1.31,3.52,0.1
2534,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,4.0,0.0
2535,1.73,1.05,0.99,2.1,47.1,1.3,0.43,0.86,1.42,3.27,0.0
2536,0.0,0.0,0.0,0.0,,5.0,5.0,0.0,0.0,5.0,0.0
2537,0.94,0.31,0.31,1.25,25.0,1.88,0.62,1.25,0.31,2.19,0.0
2538,0.91,0.91,0.91,1.82,50.0,4.55,1.82,2.73,0.91,10.0,0.91
2539,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03,0.31,0.06
2540,1.37,0.81,0.68,2.14,32.0,1.58,0.09,1.5,0.64,0.68,0.04
2541,0.0,0.0,0.0,0.0,,10.0,10.0,0.0,0.0,0.0,0.0
2542,0.22,0.11,0.07,0.22,33.3,0.32,0.14,0.18,0.0,0.94,0.0
2543,0.93,0.75,0.42,0.98,42.9,0.84,0.09,0.75,0.19,0.23,0.0
2544,2.29,1.44,0.93,2.08,44.9,1.06,0.34,0.72,1.19,1.82,0.0
2545,0.65,0.31,0.17,0.55,31.3,0.96,0.79,0.17,0.79,3.32,0.03
2546,1.55,0.9,0.78,1.31,59.4,1.59,0.94,0.65,1.31,4.65,0.0
2547,,,,,,,,,,,
2548,1.47,0.67,0.76,1.55,48.6,1.01,0.46,0.55,1.97,1.05,0.08
2549,2.75,1.95,0.94,1.68,56.0,2.08,0.47,1.61,1.41,3.36,0.07
2550,1.47,1.08,0.73,1.03,70.8,0.91,0.43,0.47,1.03,2.24,0.13
