,,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
286,285.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
287,286.0,276,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,25,1997,12.8,2,11,1,9.1,0.86,0.08,0.09,1.00,21.6,1,1,1,1.7,0.9,0.08,+0.3,+0.1,Matches
288,287.0,277,Saïd Benrahma,dz ALG,"FW,MF",West Ham,eng Premier League,27,1995,6.9,0,18,5,27.8,2.61,0.73,0.00,0.00,19.8,0,0,1,1.8,1.0,0.06,-1.8,-1.0,Matches
289,288.0,278,Saïd Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,27,1995,8.6,3,25,9,36.0,2.92,1.05,0.12,0.33,21.5,2,0,0,1.6,1.6,0.06,+1.4,+1.4,Matches
290,289.0,279,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,28,1995,11.5,0,16,0,0.0,1.39,0.00,0.00,,17.1,0,0,0,1.7,1.7,0.11,-1.7,-1.7,Matches
291,290.0,280,Nabil Bentaleb,dz ALG,MF,Lille,fr Ligue 1,28,1994,21.9,0,10,2,20.0,0.46,0.09,0.00,0.00,29.3,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
292,291.0,281,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,26,1997,11.2,1,18,4,22.2,1.61,0.36,0.06,0.25,16.3,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
293,292.0,282,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30,1993,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
294,293.0,283,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,19,2003,11.2,1,5,2,40.0,0.45,0.18,0.20,0.50,10.8,0,0,0,1.0,1.0,0.20,0.0,0.0,Matches
295,294.0,284,Domenico Berardi,it ITA,FW,Sassuolo,it Serie A,28,1994,15.9,9,46,19,41.3,2.89,1.19,0.09,0.21,23.3,2,5,5,6.5,2.6,0.06,+2.5,+1.4,Matches
296,295.0,285,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,33,1990,21.4,3,18,6,33.3,0.84,0.28,0.17,0.50,19.1,0,0,0,0.9,0.7,0.04,+2.1,+2.3,Matches
297,296.0,286,Álex Berenguer,es ESP,FW,Athletic Club,es La Liga,28,1995,17.7,7,31,11,35.5,1.75,0.62,0.19,0.55,16.4,3,1,1,5.2,4.4,0.14,+1.8,+1.6,Matches
298,297.0,287,Bartosz Bereszyński,pl POL,DF,Empoli,it Serie A,31,1992,19.6,0,3,1,33.3,0.15,0.05,0.00,0.00,27.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
299,298.0,288,Jóhann Berg Guðmundsson,is ISL,"MF,FW",Burnley,eng Premier League,32,1990,13.2,1,15,6,40.0,1.13,0.45,0.07,0.17,15.6,1,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches
300,299.0,289,Sander Berge,no NOR,MF,Burnley,eng Premier League,25,1998,33.4,1,25,3,12.0,0.75,0.09,0.04,0.33,17.6,0,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches
301,300.0,290,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34,1989,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
302,301.0,291,Medon Berisha,al ALB,"FW,MF",Lecce,it Serie A,19,2003,2.3,0,2,0,0.0,0.88,0.00,0.00,,17.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
303,302.0,292,Mergim Berisha,de GER,FW,Hoffenheim,de Bundesliga,25,1998,1.6,0,6,1,16.7,3.75,0.62,0.00,0.00,16.2,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
304,303.0,293,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,25,1998,1.4,0,5,0,0.0,3.69,0.00,0.00,,30.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
305,304.0,294,Isaac Bernal,es ESP,FW,Sevilla,es La Liga,23,2000,11.5,4,42,17,40.5,3.64,1.47,0.10,0.24,14.8,0,0,0,7.3,7.3,0.17,-3.3,-3.3,Matches
306,305.0,295,Bernardo,br BRA,DF,Bochum,de Bundesliga,28,1995,32.5,1,29,8,27.6,0.89,0.25,0.03,0.13,12.4,0,0,0,1.9,1.9,0.07,-0.9,-0.9,Matches
307,306.0,296,Victor Bernth Kristiansen,dk DEN,DF,Bologna,it Serie A,20,2002,25.6,0,6,2,33.3,0.23,0.08,0.00,0.00,18.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
308,307.0,297,Matúš Bero,sk SVK,"MF,FW",Bochum,de Bundesliga,27,1995,18.5,1,30,6,20.0,1.63,0.33,0.03,0.17,19.9,0,0,0,2.9,2.9,0.10,-1.9,-1.9,Matches
