,,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
739,738.0,711,Justin Diehl,de GER,"FW,MF",Köln,de Bundesliga,18,2004,1.9,0,7,2,28.6,3.75,1.07,0.00,0.00,23.1,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
740,739.0,712,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,23,2000,6.1,4,17,7,41.2,2.79,1.15,0.24,0.57,16.1,2,0,0,3.2,3.2,0.19,+0.8,+0.8,Matches
741,740.0,713,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,29,1994,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
742,741.0,714,Eric Dier,eng ENG,DF,Bayern Munich,de Bundesliga,29,1994,13.0,0,9,3,33.3,0.69,0.23,0.00,0.00,10.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
743,742.0,715,Guillaume Dietsch,fr FRA,GK,Metz,fr Ligue 1,22,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
744,743.0,716,Florian Dietz,de GER,"FW,MF",Köln,de Bundesliga,24,1998,0.8,0,3,1,33.3,3.86,1.29,0.00,0.00,15.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
745,744.0,717,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,30,1993,26.8,1,20,4,20.0,0.75,0.15,0.05,0.25,20.0,6,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
746,745.0,718,Federico Dimarco,it ITA,DF,Inter,it Serie A,25,1997,23.1,5,51,19,37.3,2.21,0.82,0.10,0.26,21.0,3,0,0,2.9,2.7,0.05,+2.1,+2.3,Matches
747,746.0,719,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29,1993,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
748,747.0,720,Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,de Bundesliga,22,2000,21.7,5,52,15,28.8,2.39,0.69,0.10,0.33,15.1,0,0,0,5.0,5.0,0.10,0.0,0.0,Matches
749,748.0,721,Eren Dinkçi,de GER,"FW,MF",Heidenheim,de Bundesliga,21,2001,29.4,10,49,21,42.9,1.66,0.71,0.20,0.48,19.7,0,0,0,4.3,4.3,0.09,+5.7,+5.7,Matches
750,749.0,722,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,22,2001,9.9,0,6,1,16.7,0.61,0.10,0.00,0.00,11.1,0,0,0,1.0,1.0,0.17,-1.0,-1.0,Matches
751,750.0,723,Edan Diop,fr FRA,"MF,DF",Monaco,fr Ligue 1,18,2004,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
752,751.0,724,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26,1997,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,14.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
753,752.0,725,Sofiane Diop,fr FRA,FW,Nice,fr Ligue 1,23,2000,5.5,0,14,6,42.9,2.53,1.08,0.00,0.00,20.7,2,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
754,753.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
755,754.0,726,Andy Diouf,fr FRA,MF,Lens,fr Ligue 1,20,2003,14.6,1,27,8,29.6,1.85,0.55,0.04,0.13,24.1,1,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
756,755.0,727,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23,1999,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
757,756.0,728,Axel Disasi,fr FRA,DF,Chelsea,eng Premier League,25,1998,28.7,2,16,4,25.0,0.56,0.14,0.13,0.50,10.3,0,0,0,2.4,2.4,0.15,-0.4,-0.4,Matches
758,757.0,729,Tiago Djaló,pt POR,DF,Juventus,it Serie A,23,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
759,758.0,730,Chaim El Djebali,tn TUN,MF,Lyon,fr Ligue 1,19,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
760,759.0,731,Djené,tg TOG,"DF,MF",Getafe,es La Liga,31,1991,27.6,0,6,1,16.7,0.22,0.04,0.00,0.00,23.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
761,760.0,732,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30,1992,8.4,0,2,0,0.0,0.24,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
762,761.0,733,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30,1993,31.5,0,13,0,0.0,0.41,0.00,0.00,,10.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
763,762.0,734,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31,1992,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
764,763.0,735,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
765,764.0,736,Ritsu Doan,jp JPN,"DF,MF",Freiburg,de Bundesliga,25,1998,25.0,7,37,19,51.4,1.48,0.76,0.19,0.37,15.4,0,0,0,5.0,5.0,0.13,+2.0,+2.0,Matches
766,765.0,737,Lewis Dobbin,eng ENG,MF,Everton,eng Premier League,20,2003,2.6,1,5,2,40.0,1.94,0.78,0.20,0.50,15.6,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
767,766.0,738,Dodô,br BRA,DF,Fiorentina,it Serie A,24,1998,5.8,0,2,1,50.0,0.34,0.17,0.00,0.00,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
768,767.0,739,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,25,1998,24.0,2,16,2,12.5,0.67,0.08,0.13,1.00,10.0,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
769,768.0,740,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,31,1992,12.8,1,9,3,33.3,0.70,0.23,0.11,0.33,10.8,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
770,769.0,741,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,21,2002,9.2,0,5,1,20.0,0.54,0.11,0.00,0.00,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
771,770.0,742,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,21,2002,14.9,0,8,2,25.0,0.54,0.13,0.00,0.00,20.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
772,771.0,743,Jeremy Doku,be BEL,"FW,MF",Manchester City,eng Premier League,21,2002,17.7,3,55,19,34.5,3.10,1.07,0.05,0.16,16.4,0,0,0,2.5,2.5,0.05,+0.5,+0.5,Matches
773,772.0,744,Jeremy Doku,be BEL,FW,Rennes,fr Ligue 1,21,2002,1.2,1,6,4,66.7,4.86,3.24,0.17,0.25,13.6,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches
774,773.0,745,Jaume Doménech,es ESP,GK,Valencia,es La Liga,32,1990,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
775,774.0,746,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22,2001,17.6,0,5,0,0.0,0.28,0.00,0.00,,15.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
776,775.0,747,Mario Dominguez,es ESP,FW,Valencia,es La Liga,19,2004,0.3,0,3,1,33.3,10.80,3.60,0.00,0.00,17.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
777,776.0,748,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,eng Premier League,25,1998,16.6,2,22,6,27.3,1.32,0.36,0.09,0.33,16.9,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
778,777.0,749,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,25,1998,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
779,778.0,750,Giulio Donati,it ITA,DF,Monza,it Serie A,33,1990,0.4,0,1,1,100.0,2.50,2.50,0.00,0.00,27.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
780,779.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
781,780.0,751,Jamie Donley,eng ENG,FW,Tottenham,eng Premier League,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
782,781.0,752,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24,1999,24.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
783,782.0,753,Patrick Dorgu,dk DEN,"DF,MF",Lecce,it Serie A,18,2004,17.4,2,18,7,38.9,1.04,0.40,0.11,0.29,17.8,0,0,0,2.0,2.0,0.11,0.0,0.0,Matches
784,783.0,754,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,25,1998,15.4,0,14,0,0.0,0.91,0.00,0.00,,25.1,2,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
785,784.0,755,Alberto Dossena,it ITA,DF,Cagliari,it Serie A,24,1998,33.1,2,24,6,25.0,0.73,0.18,0.08,0.33,11.3,0,0,0,2.2,2.2,0.09,-0.2,-0.2,Matches
786,785.0,756,Carlos Dotor,es ESP,MF,Celta Vigo,es La Liga,22,2001,7.9,0,4,0,0.0,0.51,0.00,0.00,,22.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
787,786.0,757,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,30,1993,29.2,7,47,21,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,8.8,8.8,0.20,-1.8,-1.8,Matches
788,787.0,758,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,23,2000,10.2,0,6,2,33.3,0.59,0.20,0.00,0.00,21.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
789,788.0,759,Siriné Doucouré,ml MLI,FW,Lorient,fr Ligue 1,21,2002,4.7,1,9,5,55.6,1.91,1.06,0.11,0.20,12.6,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
790,789.0,760,Désiré Doué,fr FRA,"MF,FW",Rennes,fr Ligue 1,18,2005,18.1,4,34,13,38.2,1.88,0.72,0.12,0.31,19.1,0,0,0,2.4,2.4,0.07,+1.6,+1.6,Matches
791,790.0,761,Guela Doué,ci CIV,DF,Rennes,fr Ligue 1,20,2002,13.7,0,15,3,20.0,1.09,0.22,0.00,0.00,22.0,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
792,791.0,762,Alfie Doughty,eng ENG,DF,Luton Town,eng Premier League,23,1999,32.5,2,26,8,30.8,0.80,0.25,0.08,0.25,16.3,2,0,0,1.3,1.3,0.05,+0.7,+0.7,Matches
793,792.0,763,Douglas,br BRA,MF,Nantes,fr Ligue 1,26,1997,19.7,0,16,5,31.3,0.81,0.25,0.00,0.00,20.0,0,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
794,793.0,764,Ismaël Doukouré,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,20,2003,18.4,0,9,0,0.0,0.49,0.00,0.00,,25.5,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
795,794.0,765,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,20,2003,9.8,6,25,11,44.0,2.56,1.13,0.24,0.55,17.1,0,0,0,4.2,4.2,0.17,+1.8,+1.8,Matches
796,795.0,766,Anastasios Douvikas,gr GRE,FW,Celta Vigo,es La Liga,23,1999,10.1,7,26,15,57.7,2.59,1.49,0.27,0.47,13.5,0,0,0,4.6,4.6,0.18,+2.4,+2.4,Matches
797,796.0,767,Artem Dovbyk,ua UKR,FW,Girona,es La Liga,26,1997,28.7,24,77,36,46.8,2.68,1.25,0.22,0.47,12.4,1,7,8,24.2,17.9,0.23,-0.2,-0.9,Matches
798,797.0,768,Nikola Dovedan,at AUT,"MF,FW",Heidenheim,de Bundesliga,29,1994,7.3,3,14,5,35.7,1.92,0.69,0.21,0.60,16.1,0,0,0,1.9,1.9,0.14,+1.1,+1.1,Matches
799,798.0,769,Damion Downs,de GER,"FW,MF",Köln,de Bundesliga,19,2004,2.0,2,5,2,40.0,2.49,0.99,0.40,1.00,10.9,0,0,0,1.0,1.0,0.21,+1.0,+1.0,Matches
800,799.0,770,Tommy Doyle,eng ENG,MF,Wolves,eng Premier League,21,2001,13.6,0,14,3,21.4,1.03,0.22,0.00,0.00,26.2,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
801,800.0,771,Radu Drăgușin,ro ROU,DF,Tottenham,eng Premier League,21,2002,4.8,0,1,0,0.0,0.21,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
802,801.0,772,Radu Drăgușin,ro ROU,DF,Genoa,it Serie A,21,2002,19.0,2,17,4,23.5,0.89,0.21,0.12,0.50,12.5,0,0,0,1.0,1.0,0.06,+1.0,+1.0,Matches
803,802.0,773,Dion Drena Beljo,hr CRO,"FW,MF",Augsburg,de Bundesliga,21,2002,6.5,2,19,7,36.8,2.94,1.08,0.11,0.29,13.4,0,0,0,3.0,3.0,0.16,-1.0,-1.0,Matches
804,803.0,774,Tim Drexler,de GER,DF,Hoffenheim,de Bundesliga,18,2005,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
805,804.0,775,Domingos Duarte,pt POR,DF,Getafe,es La Liga,28,1995,10.1,0,1,0,0.0,0.10,0.00,0.00,,2.8,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
806,805.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
807,806.0,776,Rubén Duarte,es ESP,DF,Alavés,es La Liga,27,1995,20.9,2,15,5,33.3,0.72,0.24,0.13,0.40,24.6,3,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches
808,807.0,777,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,34,1989,22.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
809,808.0,778,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,29,1994,30.0,12,74,32,43.2,2.47,1.07,0.09,0.22,18.9,12,5,6,12.8,7.9,0.11,-0.8,-0.9,Matches
810,809.0,779,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,28,1994,27.3,1,23,6,26.1,0.84,0.22,0.04,0.17,23.5,3,0,1,2.2,1.4,0.06,-1.2,-0.4,Matches
811,810.0,780,Denzel Dumfries,nl NED,DF,Inter,it Serie A,27,1996,18.2,4,24,6,25.0,1.32,0.33,0.17,0.67,11.8,0,0,0,2.3,2.3,0.09,+1.7,+1.7,Matches
812,811.0,781,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,31,1991,0.2,0,1,0,0.0,4.50,0.00,0.00,,16.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
813,812.0,782,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,30,1993,21.0,2,23,6,26.1,1.10,0.29,0.09,0.33,23.4,0,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
814,813.0,783,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,31,1991,31.9,3,33,12,36.4,1.04,0.38,0.09,0.25,13.4,4,0,0,3.1,3.1,0.09,-0.1,-0.1,Matches
815,814.0,784,Jhon Durán,co COL,"FW,MF",Aston Villa,eng Premier League,19,2003,5.3,5,20,7,35.0,3.79,1.33,0.25,0.71,16.8,0,0,0,2.0,2.0,0.10,+3.0,+3.0,Matches
816,815.0,785,Julien Duranville,be BEL,"FW,MF",Dortmund,de Bundesliga,17,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
817,816.0,786,Hugo Duro,es ESP,FW,Valencia,es La Liga,23,1999,33.1,13,66,29,43.9,2.00,0.88,0.20,0.45,12.9,2,0,0,11.5,11.5,0.17,+1.5,+1.5,Matches
818,817.0,787,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,26,1997,15.0,0,4,1,25.0,0.27,0.07,0.00,0.00,20.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
819,818.0,788,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,29,1993,21.8,13,52,16,30.8,2.39,0.74,0.12,0.38,21.2,5,7,7,10.6,5.1,0.10,+2.4,+0.9,Matches
820,819.0,789,Aron Dønnum,no NOR,"FW,MF",Toulouse,fr Ligue 1,25,1998,17.7,0,21,9,42.9,1.18,0.51,0.00,0.00,19.5,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
821,820.0,790,George Earthy,eng ENG,FW,West Ham,eng Premier League,18,2004,0.4,1,1,1,100.0,2.65,2.65,1.00,1.00,3.8,0,0,0,0.3,0.3,0.31,+0.7,+0.7,Matches
822,821.0,791,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,18,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
823,822.0,792,Festy Ebosele,ie IRL,DF,Udinese,it Serie A,20,2002,18.9,0,16,5,31.3,0.85,0.26,0.00,0.00,21.1,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
824,823.0,793,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,24,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
825,824.0,794,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,27,1995,12.2,0,5,1,20.0,0.41,0.08,0.00,0.00,15.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
826,825.0,795,Ederson,br BRA,GK,Manchester City,eng Premier League,29,1993,30.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
827,826.0,796,Éderson,br BRA,MF,Atalanta,it Serie A,24,1999,31.9,6,38,11,28.9,1.19,0.35,0.16,0.55,18.1,0,0,0,3.5,3.5,0.09,+2.5,+2.5,Matches
828,827.0,797,Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,eng Premier League,25,1998,17.3,7,51,19,37.3,2.95,1.10,0.14,0.37,13.7,3,0,0,6.2,6.2,0.12,+0.8,+0.8,Matches
829,828.0,798,John Egan,ie IRL,DF,Sheffield Utd,eng Premier League,30,1992,5.4,0,3,1,33.3,0.56,0.19,0.00,0.00,10.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
830,829.0,799,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,26,1996,32.4,1,39,8,20.5,1.20,0.25,0.03,0.13,19.9,0,0,0,2.4,2.4,0.06,-1.4,-1.4,Matches
831,830.0,800,Lilian Egloff,de GER,"MF,DF",Stuttgart,de Bundesliga,20,2002,1.2,0,3,0,0.0,2.55,0.00,0.00,,19.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
832,831.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
833,832.0,801,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,28,1995,10.6,0,18,3,16.7,1.70,0.28,0.00,0.00,18.5,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
834,833.0,802,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,24,1998,4.9,0,2,1,50.0,0.41,0.21,0.00,0.00,16.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
835,834.0,803,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,21,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
836,835.0,804,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,de Bundesliga,21,2002,8.0,4,30,9,30.0,3.77,1.13,0.13,0.44,14.1,0,0,0,2.4,2.4,0.08,+1.6,+1.6,Matches
837,836.0,805,Emmanuel Ekong,se SWE,FW,Empoli,it Serie A,21,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
838,837.0,806,Caleb Ekuban,gh GHA,FW,Genoa,it Serie A,29,1994,12.6,4,27,12,44.4,2.15,0.95,0.15,0.33,14.7,0,0,0,2.9,2.9,0.11,+1.1,+1.1,Matches
839,838.0,807,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,eng Premier League,21,2002,27.0,5,54,22,40.7,2.00,0.81,0.09,0.23,16.2,0,0,0,6.6,6.6,0.12,-1.6,-1.6,Matches
840,839.0,808,Simon Elisor,fr FRA,FW,Metz,fr Ligue 1,24,1999,8.5,1,13,6,46.2,1.53,0.70,0.08,0.17,16.7,0,0,1,2.3,1.5,0.11,-1.3,-0.5,Matches
841,840.0,809,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,20,2003,15.0,3,49,16,32.7,3.26,1.07,0.06,0.19,20.8,2,0,0,2.7,2.7,0.06,+0.3,+0.3,Matches
842,841.0,810,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,23,1999,3.8,2,6,6,100.0,1.59,1.59,0.33,0.33,19.1,0,0,0,0.5,0.5,0.08,+1.5,+1.5,Matches
843,842.0,811,Elif Elmas,mk MKD,"MF,FW",RB Leipzig,de Bundesliga,23,1999,3.0,0,10,4,40.0,3.38,1.35,0.00,0.00,16.4,1,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
844,843.0,812,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,31,1992,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
845,844.0,813,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,29,1994,9.0,0,7,2,28.6,0.78,0.22,0.00,0.00,11.0,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
846,845.0,814,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,26,1996,27.6,2,18,6,33.3,0.65,0.22,0.11,0.33,11.4,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
847,846.0,815,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,31,1992,27.5,3,63,24,38.1,2.29,0.87,0.03,0.08,24.1,12,1,1,4.3,3.5,0.06,-1.3,-1.5,Matches
848,847.0,816,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,26,1997,2.0,1,6,3,50.0,2.97,1.48,0.17,0.33,15.9,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches
849,848.0,817,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,20,2003,23.1,8,47,20,42.6,2.04,0.87,0.17,0.40,12.0,0,0,1,10.8,10.0,0.21,-2.8,-2.0,Matches
850,849.0,818,Emerson,br BRA,DF,Tottenham,eng Premier League,24,1999,12.9,1,6,3,50.0,0.47,0.23,0.17,0.33,22.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
851,850.0,819,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,26,1997,28.6,16,72,29,40.3,2.52,1.02,0.21,0.52,12.1,0,1,1,10.8,10.0,0.14,+5.2,+5.0,Matches
852,851.0,820,Julio Enciso,py PAR,"MF,FW",Brighton,eng Premier League,19,2004,5.3,0,28,8,28.6,5.31,1.52,0.00,0.00,21.2,0,0,0,1.4,1.4,0.05,-1.4,-1.4,Matches
853,852.0,821,Wataru Endo,jp JPN,MF,Liverpool,eng Premier League,30,1993,19.1,1,10,3,30.0,0.52,0.16,0.10,0.33,22.0,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
854,853.0,822,Arne Engels,be BEL,"MF,DF",Augsburg,de Bundesliga,19,2003,15.6,3,20,7,35.0,1.28,0.45,0.15,0.43,19.9,2,0,0,1.8,1.8,0.09,+1.2,+1.2,Matches
855,854.0,823,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,31,1992,12.7,1,13,4,30.8,1.03,0.32,0.08,0.25,22.0,2,0,0,1.0,1.0,0.08,0.0,0.0,Matches
856,855.0,824,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,25,1998,29.1,1,8,3,37.5,0.28,0.10,0.13,0.33,10.2,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
857,856.0,825,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,30,1993,18.9,1,14,3,21.4,0.74,0.16,0.07,0.33,17.4,0,0,0,1.9,1.9,0.14,-0.9,-0.9,Matches
858,857.0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
859,858.0,826,Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,27,1995,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
860,859.0,827,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,31,1992,27.9,0,18,5,27.8,0.65,0.18,0.00,0.00,22.2,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
861,860.0,828,Bernardo Espinosa,co COL,DF,Girona,es La Liga,34,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
862,861.0,829,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,21,2002,14.5,0,7,0,0.0,0.48,0.00,0.00,,19.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
863,862.0,830,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,21,2002,11.1,1,5,2,40.0,0.45,0.18,0.20,0.50,9.7,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
864,863.0,831,Oscar Estupiñan,co COL,FW,Metz,fr Ligue 1,26,1996,2.9,0,6,1,16.7,2.08,0.35,0.00,0.00,15.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
865,864.0,832,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,25,1998,13.8,2,11,6,54.5,0.80,0.43,0.18,0.33,18.8,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Matches
866,865.0,833,Karl Etta,cm CMR,FW,Cádiz,es La Liga,19,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
